Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,0.8,2000,2000
0,0,0,40.0,40,0,1.7,2000,2000
0,0,0,60.0,60,0,1.9,2000,2000
0,0,0,80.0,80,0,2.3,2000,2000
0,0,0,100.0,100,0,3.0,2000,2000
0,0,0,120.0,120,0,3.3,2000,2000
0,0,0,140.0,140,0,3.9,2000,2000
0,0,0,159.9,160,0,4.1,2000,2000
0,0,0,179.9,180,0,4.9,2000,2000
0,0,0,199.7,200,0,4.7,1998,1998
0,0,0,219.8,220,0,5.2,2000,2000
0,0,0,240.0,240,0,5.4,2000,2000
0,0,0,259.9,260,0,5.9,2000,2000
0,0,0,279.2,280,0,6.5,2000,2000
0,0,0,299.5,300,0,7.2,2000,2000
0,0,0,319.8,320,0,8.4,2000,2000
0,0,0,339.1,340,0,9.9,1996,1996
0,0,0,307.4,360,0,59.4,1875,1877
0,0,0,309.9,380,0,45.1,1921,1928
0,0,0,266.9,400,0,125.5,1552,1601
0,0,0,261.6,420,0,154.0,1443,1504
0,0,0,232.9,440,0,219.2,1183,1292
0,0,0,250.9,460,0,215.9,1247,1341
0,0,0,238.9,480,0,238.9,1125,1234
0,0,0,236.0,500,0,236.0,1011,1179
0,0,0,237.2,520,0,218.0,989,1149
0,0,0,238.8,540,0,228.8,949,1123
0,0,0,233.6,560,0,240.8,893,1069
0,0,0,230.0,580,0,237.0,892,1023
0,0,0,224.8,600,0,253.4,782,974
0,0,0,233.6,620,0,255.4,819,987
0,0,0,235.1,640,0,246.2,788,974
0,0,0,244.0,660,0,243.4,840,983
0,0,0,256.1,680,0,229.3,894,1009
0,0,0,249.3,700,0,243.2,784,963
0,0,0,253.2,720,0,244.9,778,956
0,0,0,255.7,740,0,234.5,805,951
0,0,0,280.0,760,0,233.0,858,1017
0,0,0,239.3,780,0,243.5,707,854
0,0,0,241.6,800,0,233.2,663,853
0,0,0,228.3,820,0,279.7,574,785
0,0,0,235.9,840,0,265.4,630,802
0,0,0,240.3,860,0,276.8,597,802
0,0,0,218.2,880,0,307.6,518,714
0,0,0,207.9,900,0,307.7,452,672
0,0,0,226.6,920,0,317.0,524,719
0,0,0,198.9,940,0,325.1,418,622
0,0,0,216.4,960,0,334.2,422,667
0,0,0,214.8,980,0,280.7,443,660
0,0,0,221.5,1000,0,278.8,437,670
