Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.3,2000,2000
0,0,0,40.0,40,0,1.3,2000,2000
0,0,0,60.0,60,0,2.0,2000,2000
0,0,0,80.0,80,0,2.7,2000,2000
0,0,0,100.0,100,0,3.1,2000,2000
0,0,0,120.0,120,0,3.7,2000,2000
0,0,0,140.0,140,0,4.0,2000,2000
0,0,0,159.9,160,0,4.4,2000,2000
0,0,0,180.0,180,0,6.0,2000,2000
0,0,0,197.8,200,0,18.1,1983,1983
0,0,0,219.8,220,0,5.8,2000,2000
0,0,0,239.9,240,0,6.2,2000,2000
0,0,0,259.7,260,0,6.8,2000,2000
0,0,0,279.6,280,0,7.8,2000,2000
0,0,0,299.6,300,0,7.9,2000,2000
0,0,0,319.4,320,0,9.6,2000,2000
0,0,0,339.3,340,0,13.8,1999,1999
0,0,0,359.1,360,0,12.6,2000,2000
0,0,0,309.3,380,0,52.8,1923,1927
0,0,0,280.9,400,0,117.9,1652,1679
0,0,0,282.1,420,0,133.9,1599,1618
0,0,0,217.8,440,0,268.6,1105,1203
0,0,0,245.1,460,0,226.6,1217,1308
0,0,0,234.9,480,0,254.3,1093,1213
0,0,0,227.2,500,0,259.0,1046,1136
0,0,0,236.3,520,0,238.4,1066,1144
0,0,0,238.3,540,0,244.5,1007,1120
0,0,0,226.8,560,0,253.8,924,1036
0,0,0,232.3,580,0,249.4,935,1033
0,0,0,244.5,600,0,230.1,940,1060
0,0,0,249.5,620,0,232.4,954,1053
0,0,0,258.0,640,0,228.5,972,1064
0,0,0,251.5,660,0,246.5,883,1012
0,0,0,159.5,680,0,151.3,526,631
0,0,0,250.7,700,0,253.4,880,966
0,0,0,239.3,720,0,284.4,759,904
0,0,0,233.4,740,0,290.3,730,867
0,0,0,232.9,760,0,265.3,698,844
0,0,0,218.6,780,0,287.2,627,779
0,0,0,221.5,800,0,289.0,612,775
0,0,0,216.0,820,0,294.9,593,742
0,0,0,210.4,840,0,342.4,547,711
0,0,0,161.5,860,0,226.8,327,537
0,0,0,174.6,880,0,382.6,406,570
0,0,0,184.8,900,0,351.2,419,595
0,0,0,165.1,920,0,408.2,369,524
0,0,0,175.4,940,0,379.4,362,554
0,0,0,184.6,960,0,347.0,422,569
0,0,0,182.2,980,0,358.9,388,554
0,0,0,162.7,1000,0,406.3,327,488
