Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,6.0,19.0,19.0,1.0,2000,19.0,3.0,0,19.0,12.0,21.0,1.0,0,19.0,5.0,20.0,1.0,0,2000,1.0,19.0,20,19.0
1.0,0,39.0,1.0,9.0,39.0,39.0,2.0,2000,39.0,6.0,0,39.0,16.0,40.0,2.0,0,39.0,8.0,40.0,4.0,0,2000,2.0,39.0,40,39.0
1.0,0,60.0,1.0,10.0,59.0,59.0,2.4,2000,59.0,7.0,0,59.0,16.0,61.0,3.0,0,60.0,9.0,60.0,6.0,0,2000,3.0,59.0,60,59.0
2.0,0,80.0,1.0,13.0,79.0,79.0,2.9,2000,80.0,8.0,0,79.0,20.0,81.0,3.0,0,80.0,11.0,80.0,6.0,0,2000,4.0,79.0,80,80.0
3.0,0,101.0,2.0,15.0,99.0,99.0,3.4,2000,100.0,9.0,0,99.0,20.0,102.0,4.0,0,101.0,12.0,100.0,7.0,0,2000,5.0,99.0,100,101.0
4.0,0,120.0,2.0,15.0,119.0,119.0,3.9,2000,119.0,9.0,0,119.0,24.0,121.0,5.0,0,120.0,12.0,120.0,8.0,0,2000,6.0,119.0,120,120.0
4.0,0,141.0,3.0,15.0,139.0,140.0,4.4,2000,140.0,11.0,0,140.0,25.0,142.0,6.0,0,141.0,13.0,140.0,8.0,0,2000,6.0,139.0,140,141.0
5.0,0,160.0,3.0,16.0,159.0,160.0,4.7,2000,160.0,11.0,0,160.0,23.0,161.0,6.0,0,160.0,14.0,160.0,9.0,0,2000,7.0,159.0,160,160.0
5.0,0,181.0,4.0,32.0,180.0,180.0,6.0,2000,180.0,17.0,0,180.0,50.0,182.0,7.0,0,181.0,25.0,179.9,12.0,0,2000,8.0,179.0,180,181.0
6.0,0,203.0,4.0,309.0,199.0,201.0,16.5,1975,202.0,39.0,0,201.0,979.0,204.0,8.0,0,203.0,238.0,197.4,16.0,0,1971,9.0,198.0,200,203.0
6.0,0,220.0,4.0,20.0,219.0,219.0,6.1,2000,220.0,14.0,0,220.0,32.0,221.0,8.0,0,220.0,17.0,219.8,11.0,0,2000,8.0,218.0,220,220.0
6.0,0,241.0,5.0,18.0,240.0,240.0,6.1,2000,241.0,13.0,0,241.0,28.0,242.0,7.0,0,241.0,16.0,240.0,11.0,0,2000,8.0,240.0,240,241.0
7.0,0,261.0,5.0,19.0,260.0,260.0,6.7,2000,261.0,14.0,0,260.0,36.0,262.0,8.0,0,261.0,16.0,259.7,12.0,0,2000,9.0,259.0,260,261.0
8.0,0,281.0,6.0,28.0,280.0,280.0,7.5,2000,281.0,16.0,0,280.0,45.0,282.0,9.0,0,281.0,22.0,279.5,14.0,0,2000,10.0,280.0,280,281.0
9.0,0,304.0,7.0,26.0,299.0,299.0,8.5,2000,304.0,19.0,0,299.0,38.0,305.0,11.0,0,304.0,23.0,299.7,15.0,0,2000,12.0,297.0,300,304.0
11.0,0,321.0,8.0,92.0,317.0,320.0,13.7,2000,321.0,45.0,0,320.0,244.0,322.0,14.0,0,321.0,72.0,317.5,24.0,0,2000,15.0,316.0,320,321.0
15.0,0,352.0,10.0,109.0,339.0,339.0,17.6,1995,352.0,60.0,0,339.0,121.0,353.0,19.0,0,352.0,83.0,332.8,41.0,0,1995,22.0,339.0,340,352.0
21.0,0,366.0,13.0,167.0,360.0,360.0,25.2,1987,366.0,83.0,0,360.0,316.0,367.0,30.0,0,366.0,110.0,356.4,58.0,0,1987,36.0,358.0,360,366.0
25.0,0,383.0,16.0,354.0,369.0,370.0,42.4,1955,383.0,159.0,0,370.0,702.0,384.0,45.0,0,383.0,275.0,312.4,103.0,0,1953,60.0,336.0,380,383.0
95.0,0,356.0,71.0,712.0,352.0,352.0,107.3,1674,356.0,339.0,0,352.0,960.0,357.0,114.0,0,356.0,585.0,279.1,290.0,0,1617,129.0,303.0,400,356.0
64.0,0,382.0,48.0,615.0,376.0,376.0,77.6,1815,382.0,297.0,0,376.0,943.0,383.0,74.0,0,382.0,385.0,321.4,164.0,0,1806,85.0,361.0,420,382.0
198.0,0,304.0,138.0,874.0,270.0,270.0,200.7,1348,304.0,650.0,0,270.0,995.0,305.0,276.0,0,304.0,817.0,244.5,459.0,0,1222,330.0,256.0,440,304.0
170.0,0,351.0,104.0,880.0,331.0,331.0,189.5,1485,351.0,658.0,0,331.0,994.0,352.0,286.0,0,351.0,800.0,280.1,427.0,0,1411,321.0,278.0,460,351.0
259.0,0,260.0,161.0,900.0,224.0,224.0,253.5,1224,260.0,794.0,0,224.0,973.0,261.0,382.0,0,260.0,859.0,237.3,608.0,0,1100,413.0,224.0,480,260.0
177.0,0,355.0,111.0,800.0,299.0,299.0,182.0,1410,355.0,647.0,0,299.0,951.0,356.0,269.0,0,355.0,731.0,281.7,427.0,0,1325,320.0,285.0,500,355.0
178.0,0,316.0,123.0,887.0,286.0,286.0,188.9,1073,316.0,634.0,0,316.0,991.0,317.0,288.0,0,316.0,828.0,221.5,409.0,0,930,333.0,128.0,520,316.0
350.0,0,238.0,190.0,932.0,237.0,237.0,284.7,1098,238.0,826.0,0,238.0,996.0,239.0,406.0,0,238.0,891.0,233.7,674.0,0,939,430.0,212.0,540,238.0
192.0,0,342.0,138.0,860.0,253.0,253.0,212.3,1187,342.0,713.0,0,342.0,988.0,343.0,347.0,0,342.0,831.0,259.5,477.0,0,1107,384.0,237.0,560,342.0
340.0,0,271.0,177.0,933.0,212.0,212.0,279.5,1001,271.0,852.0,0,271.0,999.0,272.0,408.0,0,271.0,890.0,225.1,724.0,0,858,433.0,176.0,580,271.0
270.0,0,325.0,158.0,980.0,223.0,223.0,244.4,1084,325.0,788.0,0,325.0,998.0,326.0,358.0,0,325.0,873.0,250.3,656.0,0,973,395.0,220.0,600,325.0
306.0,0,291.0,153.0,892.0,262.0,262.0,242.3,1064,291.0,740.0,0,291.0,967.0,292.0,367.0,0,291.0,854.0,252.0,611.0,0,935,383.0,190.0,620,291.0
273.0,0,341.0,180.0,916.0,192.0,192.0,247.3,988,341.0,807.0,0,341.0,991.0,342.0,358.0,0,341.0,885.0,239.1,595.0,0,845,402.0,188.0,640,341.0
334.0,0,279.0,168.0,913.0,211.0,211.0,265.9,978,279.0,795.0,0,279.0,990.0,280.0,374.0,0,279.0,884.0,242.7,666.0,0,855,403.0,204.0,660,279.0
231.0,0,314.0,140.0,881.0,248.0,314.0,228.5,1022,314.0,765.0,0,314.0,971.0,315.0,326.0,0,314.0,841.0,259.4,632.0,0,898,369.0,248.0,680,314.0
308.0,0,299.0,161.0,911.0,227.0,299.0,255.0,974,299.0,803.0,0,299.0,977.0,300.0,365.0,0,299.0,851.0,252.6,663.0,0,833,414.0,227.0,700,299.0
289.0,0,303.0,172.0,909.0,233.0,303.0,263.0,941,303.0,816.0,0,303.0,985.0,304.0,368.0,0,303.0,862.0,249.3,741.0,0,805,415.0,233.0,720,303.0
343.0,0,276.0,179.0,960.0,186.0,276.0,275.5,892,276.0,802.0,0,276.0,998.0,277.0,407.0,0,276.0,895.0,239.0,704.0,0,734,461.0,186.0,740,276.0
399.0,0,199.0,268.0,975.0,190.0,199.0,331.3,786,199.0,894.0,0,199.0,997.0,200.0,441.0,0,199.0,950.0,217.2,814.0,0,616,476.0,190.0,760,199.0
367.0,0,226.0,227.0,977.0,148.0,226.0,311.4,723,226.0,889.0,0,226.0,990.0,227.0,445.0,0,226.0,953.0,203.1,784.0,0,523,496.0,148.0,780,226.0
370.0,0,235.0,202.0,971.0,157.0,235.0,294.8,756,235.0,836.0,0,235.0,999.0,236.0,425.0,0,235.0,946.0,215.2,711.0,0,576,479.0,157.0,800,235.0
367.0,0,255.0,256.0,964.0,148.0,255.0,320.2,739,255.0,849.0,0,255.0,992.0,256.0,457.0,0,255.0,928.0,214.9,747.0,0,530,511.0,148.0,820,255.0
399.0,0,248.0,278.0,974.0,128.0,248.0,326.9,670,248.0,918.0,0,248.0,980.0,249.0,455.0,0,248.0,970.0,198.2,720.0,0,494,533.0,128.0,840,248.0
443.0,0,177.0,293.0,990.0,145.0,177.0,372.5,636,177.0,904.0,0,177.0,1003.0,178.0,499.0,0,177.0,984.0,189.5,797.0,0,441,617.0,145.0,860,177.0
