Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,8.0,19.0,19.0,1.3,2000,19.0,4.0,0,19.0,21.0,21.0,1.0,0,20.0,6.0,20.0,2.0,0,2000,1.0,19.0,20,20.0
1.0,0,40.0,1.0,8.0,39.0,39.0,1.5,2000,39.0,5.0,0,39.0,16.0,40.0,1.0,0,40.0,7.0,40.0,3.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,11.0,59.0,59.0,2.2,2000,59.0,7.0,0,59.0,18.0,60.0,2.0,0,60.0,9.0,60.0,5.0,0,2000,3.0,59.0,60,59.0
1.0,0,80.0,1.0,12.0,79.0,79.0,2.3,2000,79.0,7.0,0,79.0,29.0,81.0,2.0,0,80.0,10.0,80.0,5.0,0,2000,3.0,79.0,80,79.0
3.0,0,100.0,1.0,14.0,99.0,99.0,3.3,2000,99.0,8.0,0,99.0,23.0,101.0,4.0,0,100.0,11.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
3.0,0,120.0,2.0,13.0,119.0,119.0,3.3,2000,120.0,9.0,0,119.0,21.0,121.0,4.0,0,120.0,12.0,120.0,7.0,0,2000,5.0,119.0,120,120.0
4.0,0,140.0,2.0,15.0,139.0,139.0,3.8,2000,140.0,9.0,0,140.0,32.0,141.0,5.0,0,140.0,12.0,140.0,7.0,0,2000,5.0,139.0,140,140.0
4.0,0,166.0,2.0,16.0,159.0,161.0,4.1,2000,161.0,10.0,0,161.0,39.0,167.0,5.0,0,166.0,13.0,160.0,8.0,0,2000,6.0,158.0,160,166.0
7.0,0,205.0,4.0,149.0,179.0,180.0,13.7,2000,180.0,61.0,0,180.0,163.0,206.0,10.0,0,205.0,138.0,180.0,32.0,0,2000,14.0,179.0,180,205.0
5.0,0,203.0,3.0,17.0,199.0,199.0,5.2,2000,202.0,12.0,0,199.0,270.0,204.0,6.0,0,203.0,15.0,199.9,9.0,0,2000,7.0,199.0,200,203.0
