Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,0.9,2000,2000
0,0,0,40.0,40,0,1.1,2000,2000
0,0,0,60.0,60,0,1.9,2000,2000
0,0,0,80.0,80,0,2.9,2000,2000
0,0,0,100.0,100,0,3.1,2000,2000
0,0,0,120.0,120,0,3.3,2000,2000
0,0,0,140.0,140,0,3.8,2000,2000
0,0,0,160.0,160,0,4.2,2000,2000
0,0,0,180.0,180,0,5.2,2000,2000
0,0,0,195.7,200,0,17.8,1957,1957
0,0,0,219.8,220,0,5.2,2000,2000
0,0,0,239.9,240,0,6.2,2000,2000
0,0,0,259.6,260,0,6.3,2000,2000
0,0,0,280.0,280,0,7.1,2000,2000
0,0,0,298.8,300,0,8.2,2000,2000
0,0,0,319.5,320,0,10.1,2000,2000
0,0,0,339.0,340,0,11.6,2000,2000
0,0,0,359.4,360,0,14.3,2000,2000
0,0,0,288.9,380,0,97.2,1786,1809
0,0,0,223.2,400,0,190.6,1233,1339
0,0,0,213.1,420,0,233.4,1087,1227
0,0,0,227.0,440,0,237.6,1156,1257
0,0,0,232.4,460,0,235.1,1120,1243
0,0,0,245.5,480,0,203.3,1152,1268
0,0,0,219.8,500,0,255.6,967,1099
0,0,0,231.0,520,0,255.9,951,1119
0,0,0,154.6,540,0,206.0,587,727
0,0,0,207.5,560,0,268.5,775,948
0,0,0,234.0,580,0,253.6,922,1040
0,0,0,244.9,600,0,236.8,934,1061
0,0,0,221.1,620,0,282.2,793,934
0,0,0,256.0,640,0,252.2,934,1055
0,0,0,230.8,660,0,276.3,797,930
0,0,0,226.1,680,0,287.6,746,891
0,0,0,231.7,700,0,282.5,704,894
0,0,0,209.0,720,0,318.2,598,789
0,0,0,229.8,740,0,282.4,667,850
0,0,0,212.9,760,0,286.6,616,774
0,0,0,203.3,780,0,305.9,530,726
0,0,0,229.1,800,0,230.7,640,803
0,0,0,231.0,820,0,287.1,601,794
0,0,0,210.1,840,0,324.1,520,710
0,0,0,200.9,860,0,282.5,425,668
0,0,0,203.2,880,0,299.1,430,665
0,0,0,190.7,900,0,327.8,440,616
0,0,0,195.8,920,0,346.8,416,624
0,0,0,187.4,940,0,387.4,349,586
0,0,0,166.3,960,0,352.6,278,518
0,0,0,165.7,980,0,363.8,332,507
0,0,0,172.9,1000,0,391.0,255,519
