Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,4.0,19.0,19.0,0.7,2000,19.0,1.0,0,19.0,9.0,21.0,1.0,0,20.0,2.0,20.0,1.0,0,2000,1.0,19.0,20,19.0
1.0,0,39.0,1.0,8.0,39.0,39.0,1.5,2000,39.0,5.0,0,39.0,15.0,40.0,1.0,0,39.0,7.0,40.0,3.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,10.0,59.0,59.0,1.6,2000,59.0,5.0,0,59.0,17.0,61.0,1.0,0,60.0,7.0,60.0,4.0,0,2000,1.0,59.0,60,60.0
2.0,0,79.0,1.0,12.0,79.0,79.0,2.8,2000,79.0,8.0,0,79.0,24.0,80.0,3.0,0,79.0,10.0,80.0,6.0,0,2000,4.0,79.0,80,79.0
3.0,0,100.0,2.0,12.0,99.0,100.0,3.3,2000,100.0,8.0,0,100.0,18.0,101.0,4.0,0,100.0,11.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
4.0,0,120.0,2.0,14.0,119.0,120.0,3.7,2000,120.0,10.0,0,120.0,24.0,121.0,5.0,0,120.0,12.0,120.0,7.0,0,2000,5.0,119.0,120,120.0
4.0,0,140.0,2.0,16.0,139.0,139.0,3.8,2000,140.0,10.0,0,140.0,28.0,141.0,5.0,0,140.0,13.0,140.0,7.0,0,2000,5.0,139.0,140,140.0
4.0,0,160.0,3.0,16.0,159.0,160.0,4.3,2000,160.0,11.0,0,160.0,21.0,161.0,5.0,0,160.0,13.0,159.9,8.0,0,2000,6.0,159.0,160,160.0
5.0,0,181.0,3.0,22.0,180.0,180.0,5.0,2000,181.0,13.0,0,180.0,40.0,182.0,6.0,0,181.0,19.0,180.0,10.0,0,2000,7.0,179.0,180,181.0
7.0,0,216.0,5.0,266.0,200.0,200.0,25.4,1981,201.0,163.0,0,200.0,603.0,217.0,9.0,0,216.0,222.0,198.0,99.0,0,1981,12.0,198.0,200,216.0
5.0,0,221.0,4.0,17.0,219.0,219.0,5.4,2000,221.0,13.0,0,220.0,30.0,222.0,7.0,0,221.0,15.0,219.9,10.0,0,2000,7.0,219.0,220,221.0
6.0,0,240.0,4.0,16.0,239.0,239.0,5.6,2000,240.0,12.0,0,239.0,27.0,241.0,7.0,0,240.0,16.0,239.9,11.0,0,2000,8.0,239.0,240,240.0
7.0,0,263.0,5.0,22.0,259.0,260.0,6.9,2000,263.0,16.0,0,260.0,30.0,264.0,8.0,0,263.0,19.0,260.1,12.0,0,2000,9.0,257.0,260,263.0
7.0,0,285.0,5.0,22.0,279.0,281.0,7.0,2000,285.0,15.0,0,281.0,32.0,286.0,9.0,0,285.0,19.0,279.4,12.0,0,2000,9.0,278.0,280,285.0
8.0,0,301.0,6.0,24.0,300.0,300.0,7.8,2000,301.0,17.0,0,300.0,52.0,302.0,10.0,0,301.0,21.0,299.8,14.0,0,2000,11.0,297.0,300,301.0
10.0,0,321.0,7.0,35.0,318.0,318.0,9.7,1996,321.0,22.0,0,318.0,49.0,322.0,12.0,0,321.0,31.0,319.1,17.0,0,1996,13.0,317.0,320,321.0
14.0,0,343.0,9.0,58.0,337.0,340.0,13.8,1999,343.0,37.0,0,340.0,228.0,344.0,17.0,0,343.0,44.0,310.7,30.0,0,1999,20.0,337.0,340,343.0
17.0,0,365.0,11.0,291.0,361.0,361.0,26.7,1988,365.0,88.0,0,361.0,544.0,366.0,24.0,0,365.0,178.0,356.5,58.0,0,1988,32.0,359.0,360,365.0
111.0,0,365.0,82.0,662.0,322.0,326.0,115.9,1763,365.0,371.0,0,326.0,963.0,366.0,132.0,0,365.0,578.0,281.7,295.0,0,1747,154.0,274.0,380,365.0
133.0,0,352.0,55.0,921.0,307.0,307.0,153.9,1126,352.0,620.0,0,307.0,992.0,353.0,209.0,0,352.0,830.0,187.8,442.0,0,1010,287.0,199.0,400,352.0
177.0,0,334.0,132.0,860.0,275.0,275.0,194.9,1466,334.0,607.0,0,275.0,989.0,335.0,279.0,0,334.0,799.0,261.3,412.0,0,1397,326.0,265.0,420,334.0
107.0,0,304.0,61.0,743.0,257.0,257.0,124.6,978,304.0,405.0,0,257.0,876.0,305.0,161.0,0,304.0,573.0,176.4,341.0,0,882,202.0,224.0,440,304.0
225.0,0,296.0,138.0,861.0,281.0,281.0,207.8,1311,296.0,694.0,0,281.0,981.0,297.0,312.0,0,296.0,819.0,246.6,439.0,0,1234,347.0,237.0,460,296.0
216.0,0,280.0,127.0,880.0,278.0,278.0,203.0,1336,280.0,685.0,0,278.0,948.0,281.0,301.0,0,280.0,824.0,258.8,438.0,0,1258,343.0,266.0,480,280.0
196.0,0,310.0,100.0,889.0,275.0,275.0,184.4,1278,310.0,674.0,0,310.0,999.0,311.0,282.0,0,310.0,840.0,256.3,434.0,0,1234,317.0,261.0,500,310.0
239.0,0,336.0,116.0,867.0,329.0,329.0,195.5,1332,336.0,670.0,0,336.0,981.0,337.0,302.0,0,336.0,786.0,273.5,443.0,0,1262,327.0,250.0,520,336.0
