Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,9.0,19.0,19.0,1.2,2000,19.0,4.0,0,19.0,20.0,21.0,1.0,0,20.0,6.0,20.0,3.0,0,2000,1.0,19.0,20,20.0
1.0,0,39.0,1.0,4.0,39.0,39.0,0.8,2000,39.0,1.0,0,39.0,11.0,40.0,1.0,0,39.0,3.0,40.0,1.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,10.0,59.0,59.0,1.4,2000,60.0,5.0,0,59.0,16.0,61.0,1.0,0,60.0,7.0,60.0,3.0,0,2000,1.0,59.0,60,60.0
3.0,0,79.0,1.0,14.0,79.0,79.0,3.2,2000,79.0,8.0,0,79.0,23.0,80.0,4.0,0,79.0,11.0,80.0,7.0,0,2000,5.0,79.0,80,79.0
3.0,0,100.0,1.0,12.0,99.0,99.0,3.2,2000,100.0,8.0,0,99.0,18.0,101.0,4.0,0,100.0,11.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
4.0,0,121.0,2.0,15.0,119.0,119.0,3.7,2000,120.0,10.0,0,120.0,19.0,122.0,5.0,0,121.0,12.0,120.0,7.0,0,2000,6.0,119.0,120,121.0
4.0,0,142.0,3.0,15.0,139.0,140.0,4.5,2000,142.0,12.0,0,141.0,24.0,143.0,6.0,0,142.0,14.0,140.0,9.0,0,2000,7.0,139.0,140,142.0
5.0,0,160.0,3.0,15.0,159.0,159.0,4.5,2000,159.0,11.0,0,159.0,21.0,161.0,6.0,0,160.0,13.0,160.0,8.0,0,2000,6.0,159.0,160,160.0
5.0,0,182.0,4.0,21.0,180.0,181.0,5.3,2000,181.0,13.0,0,181.0,37.0,183.0,7.0,0,182.0,16.0,179.9,10.0,0,2000,7.0,179.0,180,182.0
5.0,0,202.0,4.0,38.0,199.0,200.0,5.9,2000,200.0,14.0,0,200.0,63.0,203.0,7.0,0,202.0,22.0,199.8,10.0,0,2000,8.0,199.0,200,202.0
6.0,0,220.0,4.0,18.0,219.0,219.0,6.0,2000,220.0,14.0,0,220.0,28.0,221.0,7.0,0,220.0,16.0,219.9,11.0,0,2000,8.0,219.0,220,220.0
7.0,0,244.0,4.0,24.0,239.0,239.0,6.5,2000,244.0,16.0,0,241.0,37.0,245.0,8.0,0,244.0,20.0,239.7,12.0,0,2000,9.0,239.0,240,244.0
8.0,0,261.0,6.0,25.0,259.0,259.0,7.5,2000,261.0,16.0,0,259.0,77.0,262.0,9.0,0,261.0,20.0,259.8,13.0,0,2000,10.0,259.0,260,261.0
8.0,0,282.0,6.0,28.0,280.0,280.0,8.0,2000,282.0,19.0,0,280.0,42.0,283.0,10.0,0,282.0,24.0,279.6,15.0,0,2000,11.0,278.0,280,282.0
10.0,0,301.0,7.0,32.0,301.0,301.0,9.7,2000,301.0,22.0,0,301.0,63.0,302.0,12.0,0,301.0,28.0,299.5,17.0,0,2000,13.0,297.0,300,301.0
12.0,0,323.0,9.0,56.0,320.0,320.0,11.8,2000,323.0,29.0,0,320.0,63.0,324.0,15.0,0,323.0,41.0,319.7,21.0,0,2000,16.0,316.0,320,323.0
14.0,0,342.0,10.0,39.0,342.0,342.0,12.8,2000,342.0,28.0,0,342.0,60.0,343.0,16.0,0,342.0,35.0,339.2,21.0,0,2000,17.0,341.0,340,342.0
61.0,0,389.0,33.0,519.0,343.0,350.0,65.1,1884,389.0,247.0,0,350.0,804.0,390.0,78.0,0,389.0,328.0,289.5,151.0,0,1875,89.0,295.0,360,389.0
59.0,0,383.0,39.0,336.0,358.0,370.0,60.6,1934,383.0,225.0,0,370.0,963.0,384.0,71.0,0,383.0,308.0,309.9,114.0,0,1933,82.0,346.0,380,383.0
136.0,0,322.0,114.0,824.0,312.0,312.0,163.6,1580,322.0,498.0,0,312.0,961.0,323.0,179.0,0,322.0,755.0,264.0,355.0,0,1544,265.0,283.0,400,322.0
151.0,0,369.0,107.0,818.0,292.0,292.0,179.0,1512,369.0,564.0,0,292.0,979.0,370.0,227.0,0,369.0,748.0,263.3,374.0,0,1463,305.0,289.0,420,369.0
146.0,0,324.0,111.0,814.0,324.0,324.0,180.7,1478,324.0,663.0,0,324.0,992.0,325.0,264.0,0,324.0,776.0,267.3,406.0,0,1434,318.0,276.0,440,324.0
211.0,0,343.0,151.0,869.0,299.0,299.0,210.2,1344,343.0,653.0,0,299.0,982.0,344.0,311.0,0,343.0,819.0,251.4,458.0,0,1254,377.0,229.0,460,343.0
