Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,2.3,2000,2000
0,0,0,39.0,40,0,9.4,1891,1979
0,0,0,60.0,60,0,11.3,1995,2000
0,0,0,79.9,80,0,16.7,1977,1998
0,0,0,99.2,100,0,12.4,1998,2000
0,0,0,112.9,120,0,10.0,1950,1992
0,0,0,133.8,140,0,13.3,1993,1999
0,0,0,154.7,160,0,10.6,1996,2000
0,0,0,179.9,180,0,14.2,1994,2000
0,0,0,185.7,200,0,7.4,1961,1988
0,0,0,203.7,220,0,11.9,1966,1985
0,0,0,234.1,240,0,9.2,1961,1988
0,0,0,235.0,260,0,11.8,1957,1980
0,0,0,245.8,280,0,70.9,1760,1800
0,0,0,259.8,300,0,19.5,1934,1957
0,0,0,271.6,320,0,21.8,1927,1951
0,0,0,248.7,340,0,21.1,1913,1948
0,0,0,298.5,360,0,24.0,1933,1959
0,0,0,313.8,380,0,26.5,1943,1966
0,0,0,264.7,400,0,63.9,1768,1822
0,0,0,274.8,420,0,58.3,1796,1829
0,0,0,296.6,440,0,124.7,1598,1639
0,0,0,259.6,460,0,131.8,1547,1605
0,0,0,327.4,480,0,107.6,1599,1637
0,0,0,254.1,500,0,192.8,1159,1274
0,0,0,298.7,520,0,167.2,1362,1445
0,0,0,277.1,540,0,182.6,1236,1305
0,0,0,239.6,560,0,278.4,1002,1095
0,0,0,253.3,580,0,253.6,1043,1137
0,0,0,259.2,600,0,214.3,1031,1130
0,0,0,245.7,620,0,254.4,932,1038
0,0,0,231.1,640,0,255.8,844,953
0,0,0,237.3,660,0,252.1,862,956
0,0,0,230.5,680,0,300.7,781,908
0,0,0,237.3,700,0,303.6,772,921
0,0,0,226.0,720,0,308.0,755,861
0,0,0,210.2,740,0,305.9,608,780
0,0,0,228.3,760,0,288.0,675,829
0,0,0,199.7,780,0,371.5,519,719
0,0,0,211.6,800,0,340.4,549,743
0,0,0,181.4,820,0,374.2,447,629
0,0,0,197.6,840,0,355.1,486,672
0,0,0,200.1,860,0,366.3,485,669
0,0,0,198.5,880,0,356.1,458,651
0,0,0,245.9,900,0,294.1,596,797
0,0,0,190.5,920,0,389.5,372,612
0,0,0,181.0,940,0,430.1,366,573
0,0,0,219.2,960,0,377.3,469,681
0,0,0,248.0,980,0,348.0,557,754
0,0,0,315.1,1000,0,238.5,1041,1114
