Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,8.8,1998,2000
0,0,0,39.9,40,0,78.2,1941,1994
0,0,0,58.6,60,0,29.0,1849,1952
0,0,0,79.0,80,0,13.4,1914,1973
0,0,0,100.0,100,0,9.3,1990,2000
0,0,0,118.8,120,0,13.7,1980,2000
0,0,0,131.5,140,0,27.2,1968,1976
0,0,0,149.8,160,0,24.7,1974,1996
0,0,0,179.8,180,0,14.1,1984,1999
0,0,0,194.5,200,0,16.3,1973,1996
0,0,0,216.9,220,0,14.5,1965,1991
0,0,0,238.0,240,0,19.2,1964,1987
0,0,0,235.0,260,0,17.9,1923,1975
0,0,0,273.7,280,0,15.4,1918,1958
0,0,0,289.9,300,0,20.7,1912,1944
0,0,0,311.5,320,0,15.5,1906,1953
0,0,0,299.5,340,0,26.1,1883,1939
0,0,0,343.9,360,0,39.1,1880,1924
0,0,0,361.8,380,0,27.1,1870,1913
0,0,0,332.7,400,0,40.3,1844,1876
0,0,0,291.2,420,0,105.5,1615,1673
0,0,0,284.9,440,0,144.9,1499,1572
0,0,0,283.6,460,0,132.0,1461,1516
0,0,0,226.6,480,0,179.8,1030,1167
0,0,0,255.6,500,0,200.1,1144,1280
0,0,0,288.1,520,0,165.6,1298,1396
0,0,0,308.9,540,0,135.6,1380,1452
0,0,0,284.5,560,0,204.2,1161,1300
0,0,0,297.1,580,0,179.8,1218,1331
0,0,0,292.9,600,0,195.2,1134,1268
0,0,0,307.9,620,0,184.5,1215,1306
0,0,0,284.4,640,0,207.0,1055,1173
0,0,0,295.7,660,0,212.8,1106,1191
0,0,0,309.6,680,0,197.5,1120,1231
0,0,0,260.7,700,0,281.4,856,1012
0,0,0,280.3,720,0,244.2,900,1067
0,0,0,220.3,740,0,332.6,659,831
0,0,0,230.8,760,0,316.3,639,838
0,0,0,243.4,780,0,294.7,692,903
0,0,0,258.6,800,0,276.7,735,905
0,0,0,217.2,820,0,337.9,549,750
0,0,0,221.2,840,0,272.4,556,753
0,0,0,190.1,860,0,389.6,407,632
0,0,0,188.6,880,0,351.2,470,616
0,0,0,172.8,900,0,392.6,339,560
0,0,0,192.6,920,0,357.2,398,611
0,0,0,205.1,940,0,367.9,410,646
0,0,0,74.9,960,0,369.0,122,232
0,0,0,130.5,980,0,503.0,191,401
0,0,0,164.4,1000,0,419.5,281,495
