Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,10.0,19.0,19.0,1.4,2000,19.0,4.0,0,19.0,39.0,21.0,1.0,0,20.0,8.0,20.0,2.0,0,2000,1.0,19.0,20,20.0
1.0,0,40.0,1.0,9.0,39.0,39.0,3.3,1997,39.0,3.0,0,39.0,989.0,41.0,1.0,0,39.0,6.0,39.9,1.0,0,1965,1.0,38.0,40,39.0
2.0,0,60.0,1.0,139.0,59.0,59.0,5.9,2000,60.0,9.0,0,59.0,927.0,61.0,4.0,0,60.0,54.0,58.6,7.0,0,1997,4.0,59.0,60,60.0
3.0,0,80.0,1.0,262.0,79.0,79.0,10.6,1997,80.0,10.0,0,79.0,991.0,81.0,4.0,0,80.0,21.0,77.1,8.0,0,1984,5.0,79.0,80,80.0
4.0,0,101.0,3.0,251.0,100.0,100.0,9.6,2000,100.0,12.0,0,100.0,934.0,102.0,6.0,0,101.0,47.0,100.0,9.0,0,1998,7.0,99.0,100,100.0
4.0,0,120.0,3.0,16.0,119.0,119.0,8.9,1996,120.0,11.0,0,120.0,994.0,121.0,5.0,0,120.0,14.0,113.7,8.0,0,1958,6.0,118.0,120,120.0
5.0,0,142.0,4.0,314.0,139.0,139.0,10.0,1999,141.0,12.0,0,141.0,561.0,143.0,7.0,0,142.0,18.0,136.0,10.0,0,1998,7.0,139.0,140,142.0
8.0,0,171.0,5.0,663.0,159.0,160.0,32.1,1983,169.0,149.0,0,162.0,844.0,172.0,12.0,0,171.0,247.0,153.2,88.0,0,1981,16.0,156.0,160,171.0
7.0,0,184.0,5.0,31.0,179.0,182.0,13.9,1999,183.0,15.0,0,182.0,996.0,185.0,8.0,0,184.0,18.0,176.2,12.0,0,1989,9.0,178.0,180,184.0
7.0,0,201.0,5.0,20.0,198.0,200.0,7.9,1988,201.0,15.0,0,200.0,892.0,202.0,8.0,0,201.0,17.0,198.2,12.0,0,1969,9.0,197.0,200,201.0
7.0,0,223.0,5.0,20.0,218.0,219.0,7.6,1988,223.0,15.0,0,220.0,898.0,224.0,8.0,0,223.0,17.0,214.5,12.0,0,1967,9.0,217.0,220,223.0
7.0,0,239.0,6.0,23.0,239.0,239.0,8.0,1985,239.0,16.0,0,239.0,947.0,240.0,9.0,0,239.0,21.0,228.2,13.0,0,1970,10.0,236.0,240,239.0
8.0,0,260.0,6.0,59.0,257.0,258.0,13.5,1988,260.0,23.0,0,258.0,997.0,261.0,11.0,0,260.0,46.0,217.8,17.0,0,1980,12.0,254.0,260,260.0
11.0,0,286.0,9.0,49.0,276.0,278.0,12.2,1981,286.0,27.0,0,278.0,940.0,287.0,14.0,0,286.0,40.0,248.5,20.0,0,1964,15.0,275.0,280,286.0
13.0,0,301.0,10.0,45.0,298.0,298.0,16.2,1982,301.0,28.0,0,298.0,998.0,302.0,16.0,0,301.0,39.0,265.2,24.0,0,1975,18.0,298.0,300,301.0
