Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.0,2000,2000
0,0,0,38.1,40,0,3.2,1903,1972
0,0,0,55.5,60,0,6.8,1835,1944
0,0,0,76.1,80,0,5.8,1980,1999
0,0,0,95.8,100,0,5.9,1970,1987
0,0,0,112.0,120,0,5.6,1979,1994
0,0,0,130.9,140,0,8.3,1986,1997
0,0,0,145.1,160,0,32.9,1938,1958
0,0,0,168.6,180,0,11.5,1997,2000
0,0,0,169.5,200,0,12.6,1934,1981
0,0,0,193.6,220,0,9.0,1955,1987
0,0,0,191.7,240,0,13.1,1927,1964
0,0,0,208.0,260,0,17.9,1920,1954
0,0,0,222.4,280,0,11.6,1912,1947
0,0,0,237.7,300,0,13.1,1893,1940
0,0,0,245.9,320,0,38.7,1832,1878
0,0,0,255.8,340,0,31.3,1826,1868
0,0,0,265.6,360,0,28.7,1825,1864
0,0,0,256.9,380,0,34.2,1828,1864
0,0,0,271.1,400,0,36.3,1817,1846
0,0,0,278.3,420,0,44.2,1822,1860
0,0,0,273.2,440,0,70.3,1727,1776
0,0,0,314.2,460,0,102.6,1665,1687
0,0,0,281.8,480,0,87.7,1679,1707
0,0,0,337.9,500,0,101.6,1635,1689
0,0,0,250.4,520,0,230.2,1093,1212
0,0,0,266.5,540,0,248.0,1158,1253
0,0,0,272.8,560,0,171.1,1294,1343
0,0,0,242.7,580,0,178.0,1221,1313
0,0,0,310.8,600,0,206.7,1285,1346
0,0,0,281.1,620,0,227.4,1073,1187
0,0,0,285.6,640,0,216.2,1085,1178
0,0,0,274.1,660,0,229.1,1011,1107
0,0,0,279.4,680,0,231.3,987,1107
0,0,0,287.4,700,0,238.6,973,1110
0,0,0,275.3,720,0,245.5,900,1044
0,0,0,298.0,740,0,230.3,956,1109
0,0,0,276.0,760,0,242.0,897,1011
0,0,0,243.4,780,0,292.7,688,875
0,0,0,111.5,800,0,234.1,240,390
0,0,0,261.2,820,0,311.9,703,907
0,0,0,231.6,840,0,307.3,555,790
0,0,0,228.2,860,0,323.3,546,767
0,0,0,237.1,880,0,308.1,538,783
0,0,0,211.2,900,0,358.6,440,684
0,0,0,205.4,920,0,371.6,377,660
0,0,0,224.8,940,0,335.7,470,710
0,0,0,213.3,960,0,340.5,406,666
0,0,0,194.9,980,0,373.3,326,599
0,0,0,249.3,1000,0,337.7,532,756
