Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,2.8,2000,2000
0,0,0,40.0,40,0,9.9,2000,2000
0,0,0,59.9,60,0,64.7,1936,1997
0,0,0,78.1,80,0,20.1,1836,1952
0,0,0,96.3,100,0,20.0,1983,2000
0,0,0,119.0,120,0,24.3,1949,1996
0,0,0,128.4,140,0,31.0,1949,1957
0,0,0,159.9,160,0,18.2,1996,2000
0,0,0,165.2,180,0,13.7,1992,2000
0,0,0,184.2,200,0,19.4,1998,2000
0,0,0,193.5,220,0,31.4,1980,2000
0,0,0,213.4,240,0,22.1,1954,1991
0,0,0,245.0,260,0,12.5,1915,1962
0,0,0,235.9,280,0,18.8,1910,1962
0,0,0,257.1,300,0,14.8,1907,1956
0,0,0,262.9,320,0,17.9,1897,1936
0,0,0,313.5,340,0,20.1,1889,1943
0,0,0,297.8,360,0,19.2,1879,1931
0,0,0,290.3,380,0,26.6,1863,1917
0,0,0,313.0,400,0,46.9,1830,1884
0,0,0,325.1,420,0,40.9,1831,1873
0,0,0,310.7,440,0,97.5,1668,1721
0,0,0,338.5,460,0,60.7,1750,1804
0,0,0,331.7,480,0,93.4,1658,1706
0,0,0,316.5,500,0,141.5,1512,1580
0,0,0,299.9,520,0,159.3,1366,1451
0,0,0,296.2,540,0,179.4,1325,1395
0,0,0,333.0,560,0,128.4,1441,1522
0,0,0,306.6,580,0,170.6,1267,1371
0,0,0,305.2,600,0,169.8,1222,1322
0,0,0,146.7,620,0,254.3,473,620
0,0,0,262.5,640,0,200.1,958,1090
0,0,0,290.2,660,0,191.1,1060,1179
0,0,0,248.4,680,0,273.1,765,984
0,0,0,269.7,700,0,225.1,861,1045
0,0,0,232.6,720,0,304.2,669,878
0,0,0,249.3,740,0,261.5,766,923
0,0,0,83.4,760,0,345.7,207,306
0,0,0,209.8,780,0,325.9,533,752
0,0,0,206.5,800,0,313.8,515,725
0,0,0,212.3,820,0,335.7,469,736
0,0,0,210.8,840,0,329.5,493,720
0,0,0,204.5,860,0,353.9,420,684
0,0,0,211.5,880,0,299.5,440,697
0,0,0,210.5,900,0,344.0,401,685
0,0,0,211.0,920,0,314.8,419,675
0,0,0,207.4,940,0,383.2,396,650
0,0,0,210.5,960,0,331.5,414,653
0,0,0,252.3,980,0,338.6,522,768
0,0,0,460.8,1000,0,125.8,1668,1704
