Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,12.0,19.0,19.0,2.6,2000,20.0,9.0,0,19.0,39.0,21.0,2.0,0,20.0,11.0,20.0,8.0,0,2000,4.0,19.0,20,20.0
1.0,0,46.0,1.0,265.0,39.0,39.0,16.3,2000,42.0,99.0,0,40.0,554.0,47.0,3.0,0,46.0,155.0,40.0,53.0,0,2000,5.0,39.0,40,44.0
2.0,0,75.0,1.0,972.0,59.0,59.0,34.2,1976,62.0,19.0,0,60.0,1000.0,76.0,4.0,0,75.0,651.0,56.7,8.0,0,1799,4.0,52.0,60,67.0
3.0,0,83.0,2.0,369.0,79.0,79.0,12.3,1988,80.0,15.0,0,79.0,685.0,84.0,5.0,0,83.0,158.0,76.6,9.0,0,1923,6.0,79.0,80,81.0
5.0,0,102.0,3.0,414.0,99.0,99.0,14.9,2000,100.0,17.0,0,99.0,935.0,103.0,6.0,0,102.0,217.0,100.0,11.0,0,1981,7.0,99.0,100,102.0
5.0,0,122.0,3.0,190.0,119.0,119.0,10.8,2000,122.0,15.0,0,119.0,999.0,123.0,6.0,0,122.0,88.0,120.0,10.0,0,1991,7.0,119.0,120,122.0
6.0,0,152.0,4.0,311.0,139.0,140.0,14.9,2000,141.0,30.0,0,140.0,896.0,153.0,8.0,0,152.0,190.0,140.0,14.0,0,1997,9.0,139.0,140,152.0
7.0,0,168.0,5.0,388.0,160.0,160.0,15.4,2000,162.0,23.0,0,162.0,948.0,169.0,8.0,0,168.0,166.0,160.0,14.0,0,1995,10.0,159.0,160,168.0
6.0,0,188.0,4.0,431.0,179.0,181.0,14.9,2000,183.0,18.0,0,181.0,800.0,189.0,7.0,0,188.0,111.0,179.9,12.0,0,1996,8.0,179.0,180,188.0
7.0,0,207.0,5.0,696.0,201.0,201.0,21.5,2000,206.0,17.0,0,201.0,931.0,208.0,9.0,0,207.0,331.0,189.8,13.0,0,1989,10.0,200.0,200,207.0
8.0,0,225.0,6.0,483.0,216.0,217.0,18.7,1997,225.0,21.0,0,222.0,995.0,226.0,10.0,0,225.0,37.0,215.3,15.0,0,1970,11.0,214.0,220,225.0
9.0,0,244.0,7.0,362.0,235.0,235.0,18.1,1991,244.0,25.0,0,236.0,998.0,245.0,11.0,0,244.0,70.0,232.7,19.0,0,1965,13.0,234.0,240,244.0
11.0,0,257.0,8.0,51.0,251.0,251.0,17.6,1983,257.0,26.0,0,252.0,990.0,258.0,13.0,0,257.0,36.0,236.8,21.0,0,1936,15.0,247.0,260,257.0
12.0,0,274.0,9.0,55.0,272.0,274.0,14.8,1967,274.0,28.0,0,274.0,958.0,275.0,14.0,0,274.0,38.0,258.8,22.0,0,1923,16.0,272.0,280,274.0
17.0,0,293.0,13.0,66.0,290.0,290.0,18.2,1951,293.0,43.0,0,290.0,987.0,293.0,20.0,0,293.0,58.0,252.2,33.0,0,1902,23.0,282.0,300,293.0
23.0,0,317.0,16.0,239.0,308.0,308.0,25.5,1926,317.0,71.0,0,308.0,477.0,318.0,30.0,0,317.0,97.0,260.9,49.0,0,1882,34.0,302.0,320,317.0
24.0,0,331.0,16.0,100.0,310.0,318.0,26.3,1932,331.0,74.0,0,318.0,500.0,332.0,33.0,0,331.0,91.0,260.2,58.0,0,1877,39.0,308.0,340,331.0
47.0,0,347.0,29.0,301.0,339.0,343.0,44.5,1870,347.0,116.0,0,343.0,940.0,348.0,56.0,0,347.0,274.0,288.8,77.0,0,1829,62.0,324.0,360,347.0
57.0,0,360.0,43.0,284.0,342.0,351.0,52.4,1867,360.0,118.0,0,351.0,480.0,361.0,66.0,0,360.0,268.0,303.3,92.0,0,1826,71.0,331.0,380,360.0
73.0,0,411.0,60.0,513.0,366.0,366.0,88.2,1758,411.0,303.0,0,366.0,985.0,412.0,83.0,0,411.0,353.0,294.7,268.0,0,1715,98.0,329.0,400,411.0
82.0,0,378.0,66.0,513.0,356.0,356.0,98.4,1693,378.0,320.0,0,356.0,966.0,379.0,95.0,0,378.0,370.0,294.0,270.0,0,1650,113.0,337.0,420,378.0
124.0,0,341.0,83.0,711.0,310.0,310.0,145.8,1566,341.0,396.0,0,310.0,825.0,341.0,161.0,0,341.0,676.0,283.3,331.0,0,1496,263.0,279.0,440,341.0
78.0,0,416.0,66.0,601.0,331.0,405.0,97.5,1692,416.0,319.0,0,405.0,978.0,417.0,91.0,0,416.0,529.0,271.7,263.0,0,1658,102.0,324.0,460,416.0
96.0,0,472.0,78.0,791.0,340.0,340.0,141.6,1543,472.0,509.0,0,340.0,993.0,473.0,138.0,0,472.0,621.0,299.2,330.0,0,1478,266.0,303.0,480,472.0
133.0,0,390.0,96.0,750.0,322.0,322.0,163.4,1461,390.0,541.0,0,390.0,943.0,391.0,274.0,0,390.0,645.0,292.3,347.0,0,1396,300.0,305.0,500,390.0
294.0,0,372.0,125.0,824.0,329.0,329.0,225.6,1274,372.0,725.0,0,372.0,892.0,373.0,330.0,0,372.0,806.0,262.5,543.0,0,1203,345.0,254.0,520,372.0
174.0,0,319.0,115.0,810.0,298.0,298.0,200.3,1306,319.0,629.0,0,319.0,989.0,320.0,315.0,0,319.0,773.0,278.5,387.0,0,1215,335.0,293.0,540,319.0
305.0,0,300.0,136.0,849.0,264.0,264.0,239.2,1148,300.0,756.0,0,300.0,999.0,301.0,347.0,0,300.0,832.0,251.6,585.0,0,1024,365.0,244.0,560,300.0
304.0,0,294.0,132.0,867.0,293.0,293.0,239.7,1138,294.0,765.0,0,294.0,994.0,295.0,349.0,0,294.0,844.0,250.8,571.0,0,1034,364.0,239.0,580,294.0
189.0,0,347.0,115.0,819.0,296.0,296.0,207.2,1213,347.0,641.0,0,347.0,920.0,348.0,329.0,0,347.0,779.0,271.4,395.0,0,1106,349.0,291.0,600,347.0
145.0,0,387.0,107.0,834.0,326.0,326.0,190.3,1246,387.0,595.0,0,387.0,971.0,388.0,298.0,0,387.0,778.0,293.6,382.0,0,1161,320.0,286.0,620,387.0
321.0,0,304.0,127.0,855.0,298.0,298.0,245.2,1136,304.0,796.0,0,304.0,930.0,305.0,356.0,0,304.0,844.0,274.2,599.0,0,1000,368.0,267.0,640,304.0
362.0,0,273.0,160.0,903.0,250.0,250.0,287.2,973,273.0,852.0,0,273.0,944.0,274.0,386.0,0,273.0,882.0,241.1,750.0,0,823,398.0,204.0,660,273.0
356.0,0,218.0,169.0,887.0,212.0,218.0,284.6,881,218.0,811.0,0,218.0,991.0,219.0,389.0,0,218.0,873.0,221.6,613.0,0,702,406.0,212.0,680,218.0
322.0,0,307.0,136.0,889.0,263.0,307.0,254.4,1052,307.0,778.0,0,307.0,980.0,308.0,352.0,0,307.0,836.0,273.2,617.0,0,904,372.0,263.0,700,307.0
345.0,0,299.0,170.0,938.0,236.0,299.0,282.9,923,299.0,827.0,0,299.0,998.0,300.0,374.0,0,299.0,902.0,244.4,663.0,0,763,399.0,236.0,720,299.0
362.0,0,293.0,186.0,905.0,203.0,293.0,305.0,840,293.0,833.0,0,293.0,992.0,294.0,391.0,0,293.0,884.0,225.2,756.0,0,694,410.0,203.0,740,293.0
347.0,0,228.0,179.0,937.0,190.0,228.0,297.4,758,228.0,842.0,0,228.0,972.0,229.0,387.0,0,228.0,924.0,207.2,696.0,0,592,410.0,190.0,760,228.0
375.0,0,207.0,200.0,911.0,180.0,207.0,317.5,732,207.0,846.0,0,207.0,964.0,208.0,410.0,0,207.0,895.0,206.1,775.0,0,574,437.0,180.0,780,207.0
396.0,0,229.0,308.0,938.0,163.0,229.0,356.9,744,229.0,869.0,0,229.0,999.0,230.0,439.0,0,229.0,910.0,211.2,793.0,0,543,578.0,163.0,800,229.0
419.0,0,175.0,370.0,928.0,147.0,175.0,371.7,677,175.0,871.0,0,175.0,956.0,176.0,454.0,0,175.0,916.0,195.3,782.0,0,469,473.0,147.0,820,175.0
439.0,0,156.0,283.0,952.0,130.0,156.0,390.2,608,156.0,896.0,0,156.0,998.0,157.0,472.0,0,156.0,935.0,179.9,866.0,0,417,586.0,130.0,840,156.0
391.0,0,218.0,266.0,964.0,159.0,218.0,358.2,709,218.0,905.0,0,218.0,994.0,219.0,450.0,0,218.0,949.0,211.5,830.0,0,498,497.0,159.0,860,218.0
389.0,0,188.0,247.0,911.0,121.0,188.0,339.4,609,188.0,838.0,0,188.0,996.0,189.0,448.0,0,188.0,881.0,185.5,716.0,0,410,473.0,121.0,880,188.0
419.0,0,164.0,284.0,943.0,145.0,164.0,373.3,594,164.0,867.0,0,164.0,985.0,165.0,460.0,0,164.0,926.0,183.0,773.0,0,409,500.0,145.0,900,164.0
413.0,0,162.0,271.0,926.0,131.0,162.0,367.1,580,162.0,870.0,0,162.0,947.0,163.0,469.0,0,162.0,922.0,181.9,792.0,0,369,496.0,131.0,920,162.0
295.0,0,240.0,223.0,816.0,92.0,240.0,281.4,591,240.0,726.0,0,240.0,923.0,241.0,365.0,0,240.0,804.0,187.1,557.0,0,397,385.0,92.0,940,240.0
403.0,0,211.0,267.0,911.0,76.0,211.0,337.5,563,211.0,792.0,0,211.0,970.0,212.0,455.0,0,211.0,874.0,181.6,726.0,0,364,494.0,76.0,960,211.0
485.0,0,142.0,356.0,962.0,76.0,142.0,424.9,466,142.0,898.0,0,142.0,998.0,143.0,531.0,0,142.0,936.0,151.9,830.0,0,290,597.0,76.0,980,142.0
384.0,0,336.0,270.0,977.0,165.0,336.0,352.8,688,336.0,824.0,0,336.0,998.0,337.0,460.0,0,336.0,925.0,227.1,765.0,0,560,606.0,165.0,1000,336.0
