Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
9.0,0,20.0,8.0,23.0,19.0,19.0,9.4,2000,19.0,14.0,0,19.0,56.0,21.0,9.0,0,19.0,21.0,20.0,11.0,0,2000,9.0,19.0,20,19.0
977.0,0,32.0,944.0,999.0,1.0,5.0,673.5,1617,17.0,996.0,0,8.0,1000.0,33.0,984.0,0,32.0,998.0,31.1,993.0,0,258,989.0,1.0,40,30.0
16.0,0,65.0,4.0,958.0,58.0,59.0,145.6,1940,62.0,814.0,0,59.0,995.0,66.0,118.0,0,65.0,903.0,55.3,651.0,0,1698,250.0,54.0,60,64.0
5.0,0,92.0,2.0,993.0,61.0,61.0,107.2,1866,72.0,871.0,0,62.0,998.0,93.0,7.0,0,92.0,985.0,71.8,769.0,0,1412,8.0,56.0,80,75.0
6.0,0,113.0,3.0,954.0,99.0,100.0,70.0,1968,103.0,715.0,0,100.0,999.0,114.0,8.0,0,113.0,899.0,89.9,159.0,0,1873,11.0,98.0,100,106.0
6.0,0,142.0,4.0,954.0,116.0,118.0,86.0,1974,130.0,803.0,0,119.0,995.0,143.0,9.0,0,142.0,907.0,110.5,317.0,0,1885,12.0,114.0,120,142.0
7.0,0,141.0,4.0,952.0,135.0,137.0,43.9,1963,140.0,295.0,0,137.0,999.0,142.0,8.0,0,141.0,785.0,121.1,22.0,0,1854,10.0,131.0,140,141.0
11.0,0,161.0,6.0,860.0,138.0,154.0,72.4,1793,157.0,472.0,0,154.0,974.0,162.0,27.0,0,161.0,704.0,124.2,231.0,0,1658,62.0,130.0,160,161.0
7.0,0,189.0,5.0,909.0,174.0,177.0,55.4,1991,188.0,532.0,0,179.0,999.0,190.0,9.0,0,189.0,803.0,155.4,16.0,0,1929,11.0,170.0,180,189.0
7.0,0,214.0,5.0,810.0,193.0,193.0,47.4,1961,195.0,483.0,0,193.0,999.0,215.0,9.0,0,214.0,725.0,169.4,16.0,0,1880,10.0,188.0,200,214.0
7.0,0,221.0,6.0,683.0,201.0,202.0,16.5,1911,215.0,16.0,0,202.0,1000.0,222.0,8.0,0,221.0,24.0,174.3,13.0,0,1750,10.0,183.0,220,221.0
8.0,0,244.0,6.0,24.0,214.0,223.0,13.7,1875,244.0,17.0,0,232.0,998.0,245.0,10.0,0,244.0,21.0,190.7,14.0,0,1725,11.0,200.0,240,244.0
8.0,0,255.0,6.0,26.0,214.0,231.0,9.8,1832,255.0,17.0,0,246.0,1000.0,256.0,9.0,0,255.0,23.0,192.3,14.0,0,1681,10.0,210.0,260,255.0
8.0,0,268.0,6.0,25.0,253.0,253.0,8.1,1798,268.0,18.0,0,259.0,34.0,269.0,10.0,0,268.0,23.0,220.7,14.0,0,1656,11.0,214.0,280,268.0
