Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,99.0,1.0,6.0,99.0,99.0,1.5,1000,99.0,2.0,0,99.0,15.0,100.0,1.0,0,99.0,4.0,100.1,2.0,0,1000,1.0,99.0,100,99.0
2.0,0,110.0,1.0,11.0,109.0,109.0,2.5,1000,110.0,6.0,0,109.0,19.0,110.0,2.0,0,110.0,9.0,110.1,4.0,0,1000,2.0,109.0,110,110.0
1.0,0,119.0,1.0,12.0,119.0,119.0,2.2,1000,119.0,6.0,0,119.0,24.0,120.0,2.0,0,119.0,9.0,120.1,5.0,0,1000,2.0,119.0,120,119.0
2.0,0,129.0,1.0,13.0,129.0,129.0,2.7,1000,129.0,7.0,0,129.0,19.0,130.0,3.0,0,129.0,11.0,130.1,5.0,0,1000,3.0,129.0,130,129.0
3.0,0,140.0,2.0,29.0,139.0,139.0,4.0,1000,140.0,11.0,0,139.0,47.0,140.0,4.0,0,140.0,19.0,140.1,7.0,0,1000,5.0,139.0,140,140.0
4.0,0,150.0,2.0,14.0,149.0,149.0,3.9,1000,150.0,10.0,0,149.0,23.0,151.0,5.0,0,150.0,13.0,150.2,7.0,0,1000,5.0,149.0,150,150.0
10.0,0,217.0,5.0,1023.0,158.0,159.0,38.1,1000,217.0,113.0,0,159.0,1271.0,218.0,15.0,0,217.0,361.0,160.1,57.0,0,1000,19.0,158.0,160,217.0
63.0,0,221.0,41.0,1330.0,169.0,188.0,169.4,1000,221.0,1060.0,0,188.0,3059.0,222.0,102.0,0,221.0,1127.0,135.0,665.0,0,1000,112.0,148.0,170,221.0
5.0,0,180.0,2.0,19.0,179.0,179.0,4.8,1000,180.0,13.0,0,179.0,28.0,181.0,6.0,0,180.0,17.0,179.9,11.0,0,1000,7.0,179.0,180,180.0
34.0,0,237.0,16.0,1293.0,165.0,213.0,100.0,1000,237.0,790.0,0,213.0,2024.0,238.0,53.0,0,237.0,1082.0,126.7,164.0,0,1000,75.0,156.0,190,237.0
