11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,1,0,1,99,0,100,100,1
0,0,2,0,1,1,1,99,0,100,100,1
2,0,0,0,2,1,1,99,1,100,100,1
1,2,2,0,1,1,1,99,2,100,100,1
1,3,3,0,1,2,1,99,2,100,100,1
1,4,4,0,1,0,1,99,4,100,100,1
1,5,5,0,1,1,1,99,4,100,100,1
2,6,5,0,1,1,1,99,5,100,100,1
0,7,7,0,0,0,1,99,6,100,100,1
1,7,7,0,1,1,1,99,6,55,100,1
2,8,7,0,3,1,1,50,7,55,49,1
0,10,9,0,1,0,1,50,8,55,49,1
1,11,9,0,0,1,1,50,8,55,49,1
1,11,11,0,1,1,1,50,9,55,49,1
1,12,11,0,0,2,1,50,10,55,49,1
1,12,12,0,0,0,1,50,13,55,49,1
1,12,13,0,1,1,1,50,12,55,49,1
2,13,14,0,0,2,1,50,13,55,49,1
0,13,16,0,0,0,1,50,15,55,49,1
1,13,16,0,1,0,1,50,15,55,49,1
2,14,17,0,1,1,1,50,15,55,49,1
1,15,18,0,0,1,1,50,17,55,81,1
1,15,19,0,1,0,1,50,18,55,81,1
1,16,20,0,1,1,1,50,18,55,81,1
2,16,20,0,2,1,1,50,19,55,81,1
0,19,22,0,0,0,1,50,20,55,81,1
0,19,22,0,0,1,1,50,20,55,81,1
2,19,22,0,2,1,1,50,21,55,81,1
1,20,23,0,1,0,1,50,23,55,81,1
1,21,24,0,1,0,1,50,23,55,81,1
1,22,25,0,1,1,1,50,23,66,81,1
0,23,27,0,1,1,1,55,24,66,49,1
1,24,27,0,0,1,1,55,25,66,49,1
1,24,28,0,1,1,1,55,25,66,49,1
0,25,30,0,1,0,1,55,28,66,49,1
1,26,30,0,0,1,1,55,28,66,49,1
1,26,31,0,1,1,1,55,29,66,49,1
1,27,32,0,1,0,1,55,31,66,49,1
1,28,33,0,0,1,1,55,31,66,49,1
1,28,34,0,1,1,1,55,32,66,49,1
1,29,34,0,2,1,1,60,33,45,49,1
0,31,35,0,0,1,1,60,34,45,66,1
0,31,35,0,1,1,1,60,35,45,66,1
2,32,35,0,2,2,1,60,35,45,66,1
0,34,37,0,0,0,1,60,37,45,66,1
0,35,37,0,0,1,1,60,37,45,66,1
1,35,37,0,2,2,1,60,38,45,66,1
0,37,39,0,0,1,1,60,39,45,66,1
0,37,39,0,1,1,1,60,40,45,66,1
1,38,39,0,1,1,1,60,41,45,66,1
2,39,40,0,1,1,1,50,41,72,66,1
1,40,42,0,1,0,1,50,42,72,50,1
1,41,43,0,1,0,1,50,42,72,50,1
1,42,44,0,1,2,1,50,42,72,50,1
0,43,45,0,0,0,1,50,44,72,50,1
1,43,45,0,1,0,1,50,44,72,50,1
2,44,46,0,2,1,1,50,44,72,50,1
0,46,48,0,0,0,1,50,46,72,50,1
1,46,48,0,1,0,1,50,46,72,50,1
2,47,49,1,0,1,0,50,46,72,50,1
0,47,51,1,1,1,1,70,47,50,50,1
0,48,51,1,1,1,1,70,48,50,50,1
0,49,51,1,1,1,1,70,49,50,50,1
1,49,51,1,2,2,1,70,50,50,50,1
0,51,52,1,0,0,1,70,52,50,50,1
0,51,52,1,1,0,1,70,53,50,50,1
1,52,52,1,2,2,1,70,53,50,50,1
0,53,53,1,1,0,1,70,56,50,50,1
1,54,53,1,0,1,1,70,56,50,50,1
1,54,54,1,1,1,1,70,57,50,50,1
1,55,54,1,1,2,1,70,58,50,50,1
1,56,55,1,0,0,1,44,60,90,50,1
1,57,55,1,1,1,1,44,60,90,70,1
3,57,56,1,2,1,1,44,60,90,70,1
1,58,58,1,1,0,1,44,61,90,70,1
0,59,59,1,1,1,1,44,61,90,70,1
2,60,59,1,1,1,1,44,62,90,70,1
2,62,60,1,0,0,1,44,63,90,70,1
1,62,62,1,1,0,1,44,63,90,70,1
1,63,63,1,1,1,1,44,63,90,70,1
3,64,63,1,1,0,1,44,64,90,70,1
1,65,65,1,1,1,1,44,64,44,70,1
0,66,66,1,1,1,1,72,65,44,55,1
2,67,66,1,1,1,1,72,66,44,55,1
0,68,68,1,0,1,1,72,67,44,55,1
1,68,68,1,1,1,1,72,68,44,55,1
1,69,69,1,1,2,1,72,69,44,55,1
0,70,70,1,0,0,1,72,71,44,55,1
0,70,70,1,1,1,1,72,71,44,55,1
1,71,70,1,1,1,1,72,72,44,55,1
0,72,71,1,1,2,1,72,73,44,55,1
1,73,71,1,0,1,1,72,75,80,55,1
1,73,72,1,1,1,1,45,76,80,60,1
2,74,73,1,1,1,1,45,76,80,60,1
1,75,75,1,1,0,1,45,77,80,60,1
1,75,76,1,1,1,1,45,77,80,60,1
3,76,76,1,2,1,1,45,77,80,60,1
1,77,78,1,1,0,1,45,78,80,60,1
0,78,79,1,1,1,1,45,78,80,60,1
2,79,79,1,1,0,1,45,80,80,60,1
1,81,81,1,0,1,1,45,79,80,60,1
1,81,82,1,1,0,1,45,80,80,60,1
1,82,83,1,1,1,1,80,80,50,60,1
2,83,83,1,0,2,1,80,81,50,39,1
0,83,85,2,0,1,0,80,83,50,39,1
0,83,87,2,0,1,0,80,84,50,39,1
2,83,86,2,1,2,1,80,84,50,39,1
1,84,87,2,0,0,1,80,86,50,39,1
1,84,88,2,0,1,1,80,86,50,39,1
1,84,89,2,1,1,1,80,87,50,39,1
1,85,90,2,0,2,1,80,88,50,39,1
1,85,91,2,1,1,1,80,89,50,39,1
1,85,92,2,1,2,1,44,90,54,39,1
1,86,93,2,2,1,1,44,91,54,100,1
0,88,94,2,1,0,1,44,92,54,100,1
