11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,1,0,0,0,0,1,100,0,100,100,1
1,0,0,0,2,1,1,100,1,100,100,1
1,0,0,0,2,1,1,100,1,100,100,1
1,2,1,0,1,1,1,100,2,100,100,1
2,4,2,0,1,2,1,100,2,100,100,1
2,4,3,0,1,1,1,100,4,100,100,1
0,5,5,0,0,0,1,100,5,100,100,1
1,5,5,0,3,1,1,87,5,100,100,1
2,7,6,0,2,0,1,87,6,100,45,1
0,9,8,0,0,0,1,87,6,100,45,1
5,9,8,0,0,0,1,87,6,100,45,1
6,9,10,0,0,0,1,87,6,100,45,1
5,9,11,0,0,0,1,87,6,100,45,1
4,9,13,0,0,1,1,87,6,100,45,1
2,9,18,0,0,3,1,87,7,100,45,1
0,9,20,0,0,2,1,87,8,100,45,1
0,9,20,0,0,1,1,87,10,100,45,1
1,9,21,0,0,3,1,87,11,1,45,1
0,9,22,0,0,4,1,59,12,1,100,1
0,9,22,0,0,3,1,59,13,1,100,1
0,9,22,0,2,3,1,59,15,1,100,1
0,10,22,0,3,3,1,59,17,1,100,1
0,11,22,0,2,1,1,59,19,1,100,1
0,13,22,0,1,1,1,59,20,1,100,1
0,14,22,0,2,2,1,59,21,1,100,1
0,15,22,0,2,1,1,59,23,1,100,1
0,17,22,0,0,0,1,59,24,1,100,1
0,17,22,0,3,2,1,59,24,1,100,1
0,18,22,0,3,2,1,57,26,100,100,1
0,21,22,0,0,1,1,57,28,100,33,1
3,21,22,0,0,3,1,57,28,100,33,1
3,21,23,0,0,2,1,57,30,100,33,1
1,21,25,0,0,0,1,57,32,100,33,1
2,21,26,0,0,2,1,57,32,100,33,1
2,21,28,0,0,1,1,57,35,100,33,1
0,21,30,0,0,0,1,57,36,100,33,1
2,21,31,0,0,1,1,57,38,100,33,1
3,21,31,0,0,2,1,29,38,22,33,1
0,21,34,0,1,0,1,29,40,22,100,1
0,22,34,0,5,0,1,29,40,22,100,1
0,24,34,0,4,1,1,29,40,22,100,1
0,27,34,0,1,1,1,29,41,22,100,1
0,29,34,0,2,2,1,29,42,22,100,1
0,30,34,0,2,1,1,29,44,22,100,1
0,32,34,0,0,0,1,29,45,22,100,1
0,32,34,0,1,2,1,29,45,22,100,1
1,33,34,0,2,2,1,29,47,22,100,1
0,34,35,0,1,0,1,29,49,100,100,1
0,35,35,0,1,0,1,39,49,100,45,1
1,35,35,0,3,2,1,39,49,100,45,1
0,38,36,0,1,1,1,39,51,100,45,1
1,39,36,1,0,0,0,39,52,100,45,1
1,39,37,1,2,2,0,39,52,100,45,1
1,41,38,1,1,1,0,39,53,100,45,1
0,42,39,1,0,0,0,39,54,100,45,1
2,42,39,1,1,2,0,39,54,100,45,1
2,44,40,1,0,2,0,39,55,100,45,1
0,44,42,1,0,0,0,39,57,63,45,1
0,44,42,1,2,1,0,50,57,63,46,1
1,46,43,1,2,2,0,50,57,63,46,1
0,47,44,1,1,0,0,50,59,63,46,1
0,48,44,1,0,1,0,50,59,63,46,1
2,48,44,1,2,2,0,50,59,63,46,1
1,49,46,1,1,1,0,50,61,63,46,1
0,50,47,1,0,0,0,50,62,63,46,1
1,50,47,1,2,1,0,50,62,63,46,1
0,52,49,1,1,2,0,50,63,63,46,1
0,53,49,1,0,1,0,50,64,66,46,1
0,53,49,1,2,2,0,50,65,66,50,1
2,55,49,1,1,1,0,50,67,66,50,1
0,56,51,1,0,0,0,50,68,66,50,1
0,56,51,1,1,1,0,50,68,66,50,1
2,58,51,1,1,1,0,50,69,66,50,1
0,59,53,1,0,0,0,50,71,66,50,1
1,59,53,1,0,0,0,50,71,66,50,1
2,60,53,1,1,2,0,50,71,66,50,1
1,61,55,1,1,1,0,50,72,66,50,1
0,62,56,1,1,0,0,70,73,70,50,1
1,62,56,1,3,2,0,70,73,70,66,1
1,64,57,1,2,0,0,70,75,70,66,1
0,66,58,1,0,0,0,70,75,70,66,1
1,67,58,1,1,2,1,70,75,70,66,1
1,68,59,1,0,1,1,70,77,70,66,1
0,68,60,1,0,0,1,70,78,70,66,1
2,68,60,1,0,2,1,70,78,70,66,1
2,69,62,1,0,1,1,70,80,70,66,1
0,68,64,1,1,0,1,70,81,70,66,1
0,69,64,1,1,2,1,70,81,44,66,1
0,70,64,1,3,0,1,50,83,44,89,1
0,72,64,1,3,0,1,50,83,44,89,1
0,75,64,1,1,0,1,50,83,44,89,1
0,76,64,1,5,0,1,50,83,44,89,1
0,77,64,1,6,0,1,50,83,44,89,1
0,80,64,1,3,0,1,50,83,44,89,1
0,83,64,1,5,0,1,50,83,44,89,1
0,85,64,1,5,1,1,50,83,44,89,1
0,86,64,1,4,0,1,50,84,44,89,1
0,90,64,1,2,2,1,50,84,100,89,1
0,90,64,1,3,2,1,88,85,100,9,1
0,93,65,1,0,0,1,88,88,100,9,1
1,93,65,1,0,2,1,88,88,100,9,1
3,93,66,1,0,3,1,88,89,100,9,1
1,93,68,1,0,1,1,88,91,100,9,1
1,93,69,1,0,2,1,88,92,100,9,1
4,93,69,1,0,2,1,88,94,100,9,1
1,93,72,1,0,0,1,88,96,100,9,1
1,93,73,1,0,1,1,88,96,100,9,1
2,93,73,1,0,3,1,29,97,33,9,1
