11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,99,0,93,99,1
0,0,0,0,0,0,0,99,0,93,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,1
0,0,0,0,0,0,0,99,0,99,99,50
0,0,0,0,0,0,0,99,0,99,99,50
0,0,0,0,0,0,0,99,0,99,99,50
0,0,0,0,0,0,0,99,0,96,99,50
0,0,0,0,0,0,0,99,0,96,99,50
0,0,0,0,0,0,0,98,0,96,99,50
0,0,0,0,0,0,0,98,0,96,99,50
0,0,0,0,0,0,0,98,0,96,99,50
0,0,0,0,0,0,0,98,0,96,99,92
0,0,0,0,0,0,0,98,0,96,99,92
0,0,0,0,0,0,0,98,0,96,99,92
0,0,0,0,0,0,0,98,0,99,99,92
0,0,0,0,0,0,0,98,0,99,99,92
0,0,0,0,0,0,0,99,0,99,99,92
0,0,0,0,0,0,0,99,0,99,87,92
0,0,0,0,0,0,0,99,0,99,87,92
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,70
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,96,99
0,0,0,0,0,0,0,99,0,99,96,99
0,0,0,0,0,0,0,99,0,99,96,99
0,0,0,0,0,0,0,99,0,99,96,99
0,0,0,0,0,0,0,99,0,99,96,99
0,0,0,0,0,0,0,99,0,96,96,99
0,0,0,0,0,0,0,99,0,96,96,99
0,0,0,0,0,0,0,99,0,96,96,99
0,0,0,0,0,0,0,99,0,96,96,99
0,0,0,0,0,0,0,99,0,96,99,99
0,0,0,0,0,0,0,99,0,96,99,99
0,0,0,0,0,0,0,99,0,96,99,99
0,0,0,0,0,0,0,99,0,96,99,99
0,0,0,0,0,0,0,99,0,96,99,99
0,0,0,0,0,0,0,99,0,96,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,96,98,99
0,0,0,0,0,0,0,99,0,96,98,99
0,0,0,0,0,0,0,97,0,96,98,99
0,0,0,0,0,0,0,97,0,96,98,99
0,0,0,0,0,0,0,97,0,96,99,99
0,0,0,0,0,0,0,97,0,96,99,99
0,0,0,0,0,0,0,97,0,96,99,99
0,0,0,0,0,0,0,97,0,96,99,99
0,0,0,0,0,0,0,97,0,96,99,99
0,0,0,0,0,0,0,97,0,99,99,99
0,0,0,0,0,0,0,97,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,49
0,0,0,0,0,0,0,99,0,99,99,49
0,0,0,1,0,0,0,99,0,99,99,49
0,0,0,0,0,0,1,99,0,99,99,49
0,0,0,0,0,0,1,99,0,99,99,49
1,1,0,0,1,1,1,99,0,99,99,49
1,0,0,0,2,1,1,99,1,99,99,49
1,0,0,0,2,2,1,99,0,99,99,49
1,0,0,0,2,2,1,99,0,99,99,1
2,2,0,0,1,2,1,99,0,99,99,1
2,2,0,0,1,0,1,99,2,99,99,1
1,3,1,0,0,0,1,99,2,68,99,1
0,3,2,0,0,0,1,99,2,68,99,1
0,3,2,0,0,0,1,56,2,68,99,1
0,3,2,0,0,0,1,56,2,68,99,1
0,3,2,0,0,0,1,56,2,68,99,1
0,3,2,0,0,0,1,56,2,68,91,1
0,3,2,0,0,0,1,56,2,68,91,1
