11.11.11.112:ActiveConn,11.11.11.112:Weight,11.11.11.112:InActConn
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,80,0
0,80,0
0,49,0
0,49,0
0,49,0
0,98,0
0,98,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,89,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,12,0
0,12,0
0,96,0
0,96,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,96,0
0,96,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,88,0
0,88,0
0,88,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,94,0
0,94,0
0,94,0
0,94,0
0,99,0
0,24,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,96,0
0,96,0
0,96,0
0,99,0
0,99,0
0,99,0
0,99,0
0,74,0
0,74,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,99,0
0,62,0
0,62,0
1,98,0
1,99,1
2,99,0
2,99,1
4,99,0
5,99,0
5,99,0
5,99,0
4,1,4
5,1,3
5,1,3
5,1,3
3,1,5
0,1,8
0,1,8
0,1,8
0,99,8
0,99,8
0,99,8
0,99,8
0,99,8
0,99,8
0,99,8
1,99,8
2,99,8
2,99,8
4,6,9
3,1,10
3,1,12
3,1,12
4,1,12
3,1,13
2,1,14
1,1,15
1,1,15
0,1,16
0,50,16
0,50,16
0,50,16
0,98,16
0,98,16
0,98,16
0,99,16
0,99,16
0,99,16
0,94,16
0,94,16
0,94,16
0,99,16
0,99,16
2,99,16
2,99,16
2,52,16
3,52,16
4,52,17
4,3,17
4,3,18
4,1,19
3,1,20
3,1,20
3,1,21
3,1,21
2,1,22
1,1,23
0,25,24
0,75,24
0,75,24
0,75,24
0,99,24
0,99,24
0,99,24
0,99,24
0,99,24
0,99,24
0,99,24
1,99,24
2,99,24
3,99,25
4,99,25
4,6,25
4,6,26
4,1,27
3,1,28
4,1,28
4,1,28
2,1,30
1,1,31
0,1,32
0,1,32
0,1,32
0,95,32
0,95,32
0,99,32
0,99,32
0,99,32
0,99,32
0,99,32
0,99,32
0,99,32
2,99,32
2,99,32
4,99,32
4,99,33
4,99,33
4,1,33
5,1,33
5,1,33
5,1,34
5,1,35
4,1,36
3,1,37
3,1,37
3,1,37
3,1,37
3,1,37
2,1,38
0,1,40
0,1,40
0,99,40
0,99,40
1,99,40
2,99,40
4,99,41
3,77,42
4,1,42
3,1,44
3,1,45
3,1,45
2,1,46
1,1,47
0,1,48
0,1,48
0,1,48
0,1,48
0,1,48
0,99,48
0,99,48
0,99,48
0,99,48
0,99,48
0,99,48
0,99,48
0,99,48
1,49,48
1,49,48
2,94,48
3,94,49
4,24,49
4,24,50
4,1,51
4,1,51
3,1,52
4,1,52
2,1,54
1,1,55
1,1,55
1,1,55
0,43,56
0,43,56
0,43,56
0,11,56
0,11,56
0,99,56
0,99,56
0,99,56
0,99,56
0,99,56
0,99,56
1,99,57
1,99,57
3,99,57
4,99,57
4,1,57
3,1,59
2,1,61
3,1,60
4,1,60
4,1,60
4,1,60
1,1,63
1,1,63
0,1,64
0,1,64
0,1,64
0,6,64
0,6,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
2,99,64
3,31,65
3,31,66
3,1,67
3,1,67
3,1,66
3,1,66
1,1,68
1,1,68
1,1,67
0,1,65
0,1,65
0,53,64
0,53,64
0,53,64
0,98,64
0,98,64
0,98,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,65
2,6,66
3,6,66
3,2,64
3,1,66
3,1,66
3,1,65
4,1,65
3,1,64
1,1,65
1,1,64
0,1,64
0,1,64
0,1,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
2,99,65
3,99,65
3,12,66
2,12,66
2,12,65
2,1,65
2,1,67
3,1,66
2,1,66
1,1,65
0,1,66
0,1,65
0,1,64
0,1,64
0,96,64
0,96,64
0,96,64
0,99,64
0,99,64
0,76,64
0,76,64
0,99,64
2,99,64
2,95,65
3,95,65
3,3,65
3,3,65
3,1,67
4,1,65
2,1,66
2,1,66
0,1,68
0,1,67
0,1,66
0,74,64
0,74,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,76,64
2,61,65
4,12,65
3,12,66
4,12,65
3,1,66
3,1,67
3,1,67
1,1,66
0,1,67
0,1,67
0,1,67
0,72,66
0,72,66
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
1,99,66
2,99,65
3,12,63
3,12,64
3,1,65
3,1,66
3,1,65
3,1,63
3,1,64
2,1,64
1,1,64
1,1,64
0,1,64
0,1,64
0,1,64
0,87,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,24,64
1,24,64
2,24,64
3,99,64
3,99,65
4,99,64
5,3,64
4,3,65
5,1,64
5,1,62
4,1,64
5,1,63
5,1,63
4,1,62
4,1,61
3,1,62
0,1,64
0,1,64
0,92,64
0,92,64
0,92,64
0,96,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
3,99,64
4,99,64
4,1,63
4,1,64
5,1,64
5,1,62
5,1,63
5,1,63
4,1,64
3,1,65
3,1,64
1,1,64
0,1,65
0,1,64
0,1,64
0,52,64
0,52,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
2,99,64
3,99,65
3,99,64
4,99,63
4,1,63
5,1,64
5,1,63
4,1,62
5,1,62
4,1,63
2,1,65
2,1,63
2,1,62
0,1,64
0,1,64
0,37,64
0,96,64
0,96,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,59,63
2,5,64
2,5,65
2,1,66
3,1,66
2,1,65
1,1,66
1,1,66
1,1,66
0,1,67
0,1,65
0,1,64
0,1,64
0,93,64
0,92,64
0,92,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
2,99,64
2,99,64
3,12,64
3,12,65
3,1,64
3,1,64
2,1,65
3,1,64
3,1,64
2,1,63
0,92,65
0,92,65
0,92,64
0,1,64
0,1,64
0,1,64
0,98,64
0,98,64
0,98,64
0,99,64
0,93,64
0,93,64
0,99,64
0,99,64
1,99,64
1,99,65
3,99,65
3,99,66
3,99,65
3,12,64
2,12,65
2,1,65
1,1,67
1,1,66
1,1,65
0,1,66
0,1,65
0,93,64
0,93,64
0,93,64
0,99,64
0,99,64
0,43,64
0,43,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
2,49,65
3,49,65
3,1,65
2,1,66
3,1,65
2,1,66
2,1,66
2,1,66
1,1,67
1,1,65
0,1,65
0,3,64
0,3,64
0,3,64
0,96,64
0,96,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
2,99,64
2,99,64
2,12,65
2,12,65
2,1,65
2,1,66
2,1,65
1,1,67
1,1,66
0,1,66
0,50,66
0,50,64
0,87,64
0,87,64
0,87,64
0,99,64
0,56,64
0,98,64
0,98,64
0,98,64
0,99,64
2,99,64
2,89,64
1,24,67
3,24,65
3,24,64
4,24,65
4,1,66
4,1,66
3,1,67
0,1,69
0,1,68
0,50,65
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,49,64
0,99,64
2,99,64
2,99,65
3,99,65
4,99,64
3,25,65
3,1,66
3,1,66
3,1,67
2,1,68
0,1,69
0,1,68
0,1,68
0,1,67
0,1,65
0,99,65
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
1,99,64
2,99,64
1,99,64
3,49,64
4,37,64
4,37,65
4,37,65
4,1,65
5,1,65
5,1,65
3,1,66
2,1,66
1,1,66
0,1,65
0,50,65
0,50,64
0,50,64
0,88,64
0,88,64
0,88,64
0,98,64
0,98,64
0,98,64
0,94,64
0,94,64
1,94,64
2,99,64
2,99,65
4,97,65
3,97,64
4,12,63
5,1,61
4,1,62
2,1,63
2,1,63
2,1,63
0,1,64
0,1,64
0,1,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,94,64
2,94,64
2,94,64
4,49,64
3,49,64
3,1,64
3,1,64
4,1,64
5,1,62
4,1,63
2,1,63
0,1,64
0,23,64
0,23,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
0,99,64
2,99,64
3,99,64
2,99,66
3,6,64
2,6,65
2,1,65
2,1,66
1,1,65
1,1,64
0,1,65
0,1,64
0,50,64
0,50,64
0,99,64
0,99,64
0,43,64
0,43,64
0,99,64
0,74,64
0,74,64
0,74,64
0,98,64
1,98,64
1,98,64
2,98,64
3,99,64
2,99,66
