11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,95,98
0,0,0,0,0,0,0,99,0,99,95,99
0,0,0,0,0,0,0,99,0,99,95,99
0,0,0,0,0,0,0,99,0,99,95,99
0,0,0,0,0,0,0,99,0,99,95,99
0,0,0,0,0,0,0,99,0,99,95,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,89,0,99,99,95
0,0,0,0,0,0,0,89,0,99,99,95
0,0,0,0,0,0,0,89,0,99,1,95
0,0,0,0,0,0,0,89,0,99,1,95
0,0,0,0,0,0,0,89,0,99,1,99
0,0,0,0,0,0,0,89,0,94,1,99
0,0,0,0,0,0,0,89,0,94,1,99
0,0,0,0,0,0,0,89,0,94,1,99
0,0,0,0,0,0,0,99,0,94,1,99
0,0,0,0,0,0,0,99,0,94,1,99
0,0,0,0,0,0,0,99,0,94,1,99
0,0,0,0,0,0,0,99,0,94,1,99
0,0,0,0,0,0,0,99,0,94,1,99
0,0,0,0,0,0,0,99,0,94,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,12
0,0,0,0,0,0,0,99,0,99,1,12
0,0,0,0,0,0,0,99,0,99,1,12
0,0,0,0,0,0,0,99,0,99,1,12
0,0,0,0,0,0,0,99,0,99,1,12
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,93,1,99
0,0,0,0,0,0,0,99,0,93,1,99
0,0,0,0,0,0,0,49,0,93,1,99
0,0,0,0,0,0,0,49,0,93,1,99
0,0,0,0,0,0,0,49,0,93,1,99
0,0,0,0,0,0,0,49,0,93,1,99
0,0,0,0,0,0,0,49,0,93,1,99
0,0,0,0,0,0,0,49,0,93,1,99
0,0,0,0,0,0,0,49,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,98
0,0,0,0,0,0,0,99,0,99,1,98
0,0,0,0,0,0,0,99,0,99,1,98
0,0,0,0,0,0,0,49,0,99,1,98
0,0,0,0,0,0,0,49,0,99,1,98
0,0,0,0,0,0,0,49,0,99,1,98
0,0,0,0,0,0,0,49,0,99,1,99
0,0,0,0,0,0,0,49,0,99,1,99
0,0,0,0,0,0,0,49,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,53
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,1,0,0,0,99,0,98,1,99
0,0,0,1,0,0,0,99,0,98,1,99
0,0,0,0,0,0,1,99,0,98,1,99
0,1,0,0,0,0,1,98,0,98,1,99
1,0,0,0,1,1,1,98,0,98,1,99
1,0,0,1,1,1,2,98,0,98,1,99
1,0,0,2,1,1,1,98,1,98,1,46
1,0,1,2,1,0,1,98,2,98,1,46
1,0,1,2,1,0,1,98,2,98,1,46
1,0,1,3,1,0,0,98,2,98,1,46
0,0,2,3,1,0,0,98,2,25,1,46
0,0,2,3,1,0,0,99,2,25,1,46
0,0,2,3,1,0,0,99,2,25,1,46
0,0,2,3,1,0,0,99,2,25,1,46
0,0,2,3,1,0,0,99,2,25,1,46
0,0,2,3,1,0,0,99,2,25,1,97
0,0,2,3,1,0,0,99,2,1,1,97
0,1,2,3,0,0,0,99,2,1,1,97
0,1,2,3,0,0,0,99,2,1,1,97
0,1,2,3,0,0,0,74,2,1,1,97
0,1,2,3,0,1,0,74,2,1,98,97
0,1,2,3,0,0,0,74,3,1,98,97
0,1,2,3,1,1,1,74,3,1,98,97
0,1,3,3,1,1,1,74,3,1,98,90
0,1,3,3,1,1,1,74,3,1,98,90
1,2,2,3,1,0,1,74,5,1,98,90
1,3,2,4,0,0,0,74,5,1,98,90
1,3,2,4,0,1,0,74,4,1,98,90
1,3,2,4,1,0,0,74,5,1,98,90
1,4,2,4,0,0,0,74,5,1,94,90
1,4,2,4,0,0,0,74,5,1,94,49
1,4,2,4,0,0,0,74,5,1,94,49
1,4,2,4,0,0,0,74,5,1,94,49
1,4,2,4,0,0,0,74,5,1,94,49
1,4,2,4,0,0,0,99,5,1,94,49
1,4,2,4,0,0,0,99,5,1,94,49
1,4,2,4,0,0,0,99,5,1,98,49
1,4,2,4,0,0,0,99,5,1,98,99
1,4,2,4,0,0,0,99,5,1,98,99
1,4,2,4,0,0,0,99,5,1,98,99
1,4,2,4,0,0,0,99,5,1,98,99
1,4,2,4,0,0,0,99,5,1,98,99
1,4,2,4,0,0,1,99,5,1,98,99
1,4,2,4,0,0,1,99,5,1,99,99
1,4,2,5,1,0,0,99,5,1,99,99
1,4,2,5,1,1,1,99,5,1,99,99
1,5,2,5,1,1,1,99,5,1,99,89
1,6,2,5,1,1,1,99,5,1,99,89
1,5,2,6,2,1,0,99,6,1,99,89
1,6,2,6,1,0,0,49,7,1,99,89
