11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,99,0,74,99,99
0,0,0,0,0,0,0,99,0,74,99,99
0,0,0,0,0,0,0,99,0,74,99,99
0,0,0,0,0,0,0,99,0,74,99,99
0,0,0,0,0,0,0,99,0,74,99,99
0,0,0,0,0,0,0,99,0,74,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,97,99
0,0,0,0,0,0,0,99,0,99,97,99
0,0,0,0,0,0,0,99,0,99,97,72
0,0,0,0,0,0,0,99,0,99,97,72
0,0,0,0,0,0,0,99,0,99,97,72
0,0,0,0,0,0,0,99,0,99,97,72
0,0,0,0,0,0,0,99,0,99,97,72
0,0,0,0,0,0,0,49,0,99,97,72
0,0,0,0,0,0,0,49,0,99,97,72
0,0,0,0,0,0,0,49,0,99,97,72
0,0,0,0,0,0,0,49,0,99,97,72
0,0,0,0,0,0,0,49,0,99,99,72
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,99,0,1,99,1
0,0,0,0,0,0,0,56,0,1,1,1
0,0,0,0,0,0,0,56,0,1,1,1
0,0,0,0,0,0,0,56,0,1,1,1
0,0,0,0,0,0,0,56,0,1,1,1
0,0,0,0,0,0,0,56,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,0,99,0,1,1,1
0,0,0,0,0,0,1,99,0,1,1,1
0,1,0,0,0,0,1,99,1,1,1,1
1,0,0,0,1,1,1,99,0,1,1,1
1,0,0,0,1,1,1,99,0,1,1,1
1,0,0,0,1,2,1,99,1,1,1,1
1,0,0,0,1,3,1,25,0,1,1,1
1,0,0,0,1,2,1,25,1,1,1,1
1,0,0,0,1,0,1,25,3,1,1,1
1,0,0,0,1,0,1,25,3,1,1,1
1,0,0,0,1,0,1,25,3,1,1,1
1,0,0,0,1,0,1,25,3,1,1,1
1,0,0,0,1,0,1,25,3,1,1,1
1,0,0,0,1,1,1,98,3,1,1,1
1,0,0,0,1,3,1,98,4,1,1,1
1,0,0,0,1,4,1,98,3,1,1,1
1,0,0,0,1,3,1,98,6,1,1,1
1,0,0,0,1,3,1,98,6,1,1,1
1,0,0,0,1,3,1,98,6,1,1,1
1,0,0,0,1,3,1,98,6,1,1,1
1,0,0,0,1,3,1,2,6,1,1,1
1,0,0,0,1,3,1,2,6,1,1,1
1,0,0,0,1,2,1,2,7,1,1,1
1,0,0,0,1,1,1,2,8,1,1,1
1,0,0,0,1,2,1,2,8,1,1,1
1,0,0,1,1,1,1,2,9,1,1,1
1,0,0,0,2,4,2,2,9,1,1,1
1,0,1,0,2,3,2,2,10,1,1,1
2,0,0,0,2,3,2,37,11,1,1,1
2,0,0,0,2,3,2,37,11,1,1,1
2,0,0,0,2,2,2,37,12,1,1,1
2,0,0,0,2,1,2,37,13,1,1,1
2,0,0,0,2,0,2,37,14,1,1,1
2,0,0,0,2,0,2,37,14,1,1,1
2,0,0,0,2,0,2,37,14,1,1,1
2,0,0,0,2,2,2,99,14,1,1,1
2,0,0,0,2,3,2,99,14,1,1,1
2,0,0,0,2,6,2,99,14,1,1,1
2,0,0,0,2,7,2,99,15,1,1,1
2,0,0,0,2,7,2,99,15,1,1,1
2,0,0,0,2,7,2,99,15,1,1,1
2,0,0,0,2,7,2,99,15,1,1,1
2,0,0,0,2,7,2,99,15,1,1,1
2,0,0,0,2,6,2,1,16,1,1,1
2,0,0,0,2,4,2,1,18,1,1,1
