11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,99,0,1,1,99
0,0,0,0,0,0,0,99,0,1,50,99
0,0,0,0,0,0,0,99,0,1,50,99
0,0,0,0,0,0,0,99,0,1,50,99
0,0,0,0,0,0,0,99,0,1,50,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,98,0,1,99,99
0,0,0,0,0,0,0,98,0,1,99,99
0,0,0,0,0,0,0,98,0,1,81,99
0,0,0,0,0,0,0,98,0,1,81,99
0,0,0,0,0,0,0,98,0,1,81,97
0,0,0,0,0,0,0,98,0,1,81,97
0,0,0,0,0,0,0,98,0,1,81,97
0,0,0,0,0,0,0,98,0,1,81,97
0,0,0,0,0,0,0,99,0,1,81,97
0,0,0,0,0,0,0,99,0,1,81,97
0,0,0,0,0,0,0,99,0,1,99,97
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,90,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,74
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
