11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,53,74
0,0,0,0,0,0,0,1,0,99,53,74
0,0,0,0,0,0,0,1,0,99,53,74
0,0,0,0,0,0,0,1,0,99,53,74
0,0,0,0,0,0,0,1,0,99,53,74
0,0,0,0,0,0,0,1,0,99,53,74
0,0,0,0,0,0,0,1,0,99,99,74
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,98,99,99
0,0,0,0,0,0,0,1,0,98,99,99
0,0,0,0,0,0,0,1,0,98,99,99
0,0,0,0,0,0,0,1,0,98,99,99
0,0,0,0,0,0,0,1,0,98,99,99
0,0,0,0,0,0,0,1,0,98,75,99
0,0,0,0,0,0,0,1,0,98,75,99
0,0,0,0,0,0,0,1,0,98,75,24
0,0,0,0,0,0,0,1,0,98,75,24
0,0,0,0,0,0,0,1,0,11,75,24
0,0,0,0,0,0,0,1,0,11,75,24
0,0,0,0,0,0,0,1,0,11,75,24
0,0,0,0,0,0,0,1,0,11,75,24
0,0,0,0,0,0,0,1,0,11,99,24
0,0,0,0,0,0,0,1,0,11,99,24
0,0,0,0,0,0,0,1,0,11,99,24
0,0,0,0,0,0,0,1,0,11,99,24
0,0,0,0,0,0,0,1,0,11,99,99
0,0,0,0,0,0,0,1,0,11,99,99
0,0,0,0,0,0,0,1,0,11,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,49,99
0,0,0,0,0,0,0,1,0,99,49,99
0,0,0,0,0,0,0,1,0,99,49,99
0,0,0,0,0,0,0,1,0,99,49,99
0,0,0,0,0,0,0,1,0,98,49,99
0,0,0,0,0,0,0,1,0,98,49,99
0,0,0,0,0,0,0,1,0,98,49,99
0,0,0,0,0,0,0,1,0,98,49,99
0,0,0,0,0,0,0,1,0,98,97,99
0,0,0,0,0,0,0,1,0,98,97,99
0,0,0,0,0,0,0,1,0,98,97,99
0,0,0,0,0,0,0,1,0,98,97,99
0,0,0,0,0,0,0,1,0,98,97,99
0,0,0,0,0,0,0,1,0,99,97,99
0,0,0,0,0,0,0,1,0,99,97,99
0,0,0,0,0,0,0,1,0,99,97,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,96,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,94
0,0,0,0,0,0,0,1,0,99,99,94
0,0,0,0,0,0,0,1,0,99,99,94
0,0,0,0,0,0,0,1,0,99,99,94
0,0,0,0,0,0,0,1,0,99,99,94
0,0,0,0,0,0,0,1,0,99,99,94
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,98
0,0,0,0,0,0,0,1,0,99,99,98
0,0,0,0,0,0,0,1,0,99,99,98
0,0,0,0,0,0,0,1,0,99,99,98
0,0,0,0,0,0,0,1,0,96,99,98
0,0,0,0,0,0,0,1,0,96,99,98
0,0,0,0,0,0,0,1,0,96,99,98
0,0,0,0,0,0,0,1,0,96,99,98
0,0,0,0,0,0,0,1,0,96,99,99
0,0,0,0,0,0,0,1,0,96,99,99
0,0,0,0,0,0,0,1,0,96,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,99,99
0,0,0,0,0,0,0,1,0,99,71,99
0,0,0,0,0,0,0,1,0,99,71,99
0,0,0,0,0,0,0,1,0,99,71,99
0,0,0,0,0,0,0,1,0,99,71,99
0,0,0,0,0,0,0,1,0,99,71,99
0,0,0,0,0,0,1,1,0,99,71,99
0,1,0,0,0,0,1,1,0,99,71,99
0,0,0,0,1,1,1,1,0,99,71,99
0,0,0,0,1,1,1,1,0,99,99,99
1,0,0,1,1,1,0,1,0,99,99,1
1,1,0,1,1,1,2,1,0,99,99,1
1,1,1,1,1,1,2,1,0,99,99,1
2,1,1,1,2,1,2,1,0,99,99,1
2,2,1,3,1,1,0,1,0,99,99,1
1,2,2,3,2,1,0,1,0,99,99,1
3,2,2,3,2,1,0,1,0,99,99,1
2,3,3,3,1,1,0,1,0,99,24,1
2,3,3,3,1,1,0,1,0,99,24,1
1,4,4,3,0,1,1,1,0,99,24,99
2,4,5,3,1,1,2,1,0,99,24,99
2,4,5,4,1,1,1,1,0,1,24,99
1,5,6,5,0,1,1,1,0,1,24,99
0,5,7,6,2,1,0,1,0,1,24,99
0,5,7,6,2,1,1,1,0,1,24,99
0,7,7,6,1,1,2,1,0,1,12,99
0,7,7,7,1,1,2,1,0,1,12,99
1,7,7,7,1,1,2,1,0,1,12,99
1,7,7,7,1,1,2,1,0,1,12,50
1,8,7,7,0,1,2,1,0,1,12,50
1,8,7,7,2,1,2,1,0,1,12,50
0,8,8,9,2,1,1,1,0,6,12,50
1,9,8,9,1,1,1,1,0,6,12,50
1,10,8,10,1,1,1,1,0,6,12,50
1,10,8,10,1,1,3,1,0,6,6,50
0,11,9,11,0,1,2,1,0,6,6,50
1,11,9,11,1,1,3,1,0,6,6,48
1,13,10,14,1,1,1,1,0,94,6,48
2,13,10,14,1,1,1,1,0,94,6,48
1,14,11,15,0,1,1,1,0,94,44,48
1,14,12,15,1,1,1,1,0,94,44,19
1,14,12,16,1,1,1,1,0,93,44,19
1,15,13,16,1,1,1,1,0,93,44,19
3,15,13,17,1,1,0,1,0,93,44,19
3,15,13,17,1,1,0,1,0,93,86,19
3,15,13,17,1,1,0,1,0,93,86,19
2,16,14,17,1,1,0,1,0,93,86,19
0,16,16,17,2,1,1,1,0,93,86,6
0,17,16,17,1,1,1,1,0,93,86,6
0,17,17,17,1,1,1,1,0,93,86,6
1,18,16,18,1,1,0,1,0,50,86,6
2,18,16,18,2,1,1,1,0,50,86,6
2,18,16,18,2,1,1,1,0,50,86,6
2,18,16,19,2,1,0,1,0,50,86,6
1,19,17,20,1,1,0,1,0,50,48,6
0,20,18,19,1,1,1,1,0,50,48,6
1,20,18,19,1,1,1,1,0,50,48,88
1,21,18,20,0,1,1,1,0,50,48,88
0,21,19,20,1,1,2,1,0,1,48,88
0,21,19,21,2,1,2,1,0,1,48,88
0,24,19,22,0,1,1,1,0,1,48,88
0,23,19,23,1,1,0,1,0,1,48,88
0,23,19,23,1,1,2,1,0,1,1,88
0,23,19,23,1,1,2,1,0,1,1,88
0,24,19,23,0,1,3,1,0,1,1,87
0,24,19,23,0,1,3,1,0,1,1,87
0,24,19,24,0,1,4,1,0,1,1,87
2,24,19,25,0,1,3,1,0,99,1,87
2,24,19,26,0,1,2,1,0,99,1,87
2,24,20,26,0,1,2,1,0,99,1,87
2,24,21,26,0,1,3,1,0,99,1,87
2,24,21,28,0,1,1,1,0,99,1,87
1,24,22,28,0,1,2,1,0,99,1,87
1,24,23,29,1,1,1,1,0,99,99,87
2,24,23,30,1,1,1,1,0,99,99,87
2,25,23,30,0,1,1,1,0,99,99,1
2,25,23,30,0,1,1,1,0,99,99,1
1,25,24,31,1,1,0,1,0,99,99,1
1,26,25,31,1,1,0,1,0,99,99,1
1,26,25,31,1,1,0,1,0,1,99,1
1,26,25,31,1,1,0,1,0,1,99,1
0,26,26,31,2,1,0,1,0,1,99,1
0,27,26,31,3,1,0,1,0,1,87,1
0,28,26,31,4,1,0,1,0,1,87,1
0,28,26,31,4,1,0,1,0,1,87,99
0,28,26,31,4,1,0,1,0,1,87,99
0,28,26,31,4,1,1,1,0,1,87,99
0,28,26,31,4,1,3,1,0,1,87,99
0,31,26,32,2,1,2,1,0,99,87,99
0,31,26,33,2,1,1,1,0,99,87,99
2,32,26,33,1,1,1,1,0,99,87,99
2,33,26,34,1,1,1,1,0,99,87,99
2,33,26,34,1,1,1,1,0,99,87,99
1,34,28,35,0,1,1,1,0,99,50,99
1,34,28,35,1,1,1,1,0,99,50,99
1,34,29,36,1,1,0,1,0,99,50,99
1,35,29,36,0,1,0,1,0,99,50,46
1,35,29,36,1,1,1,1,0,99,50,46
2,35,30,36,1,1,1,1,0,1,50,46
2,35,30,36,1,1,1,1,0,1,50,46
2,35,30,36,2,1,1,1,0,1,50,46
0,36,32,36,1,1,3,1,0,1,12,46
0,37,32,37,0,1,2,1,0,1,12,46
0,37,32,37,1,1,2,1,0,1,12,28
0,38,32,39,2,1,2,1,0,1,12,28
0,38,32,40,2,1,1,1,0,1,12,28
0,38,32,41,2,1,0,1,0,97,12,28
2,38,32,41,2,1,1,1,0,97,12,28
2,40,32,41,0,1,1,1,0,97,12,28
0,40,34,42,0,1,1,1,0,97,23,28
3,40,34,43,1,1,0,1,0,97,23,28
3,41,34,43,0,1,0,1,0,97,23,51
2,41,36,43,1,1,1,1,0,97,23,51
3,41,35,43,1,1,1,1,0,7,23,51
1,41,37,44,1,1,1,1,0,7,23,51
1,42,37,44,1,1,1,1,0,7,23,51
0,42,38,45,1,1,1,1,0,7,23,51
1,42,38,45,1,1,2,1,0,7,23,51
1,42,38,45,1,1,2,1,0,7,23,51
0,43,39,46,1,1,1,1,0,7,99,51
0,44,39,46,1,1,1,1,0,7,99,51
0,43,39,47,2,1,1,1,0,7,99,51
0,43,39,47,2,1,1,1,0,7,99,1
0,44,39,48,2,1,0,1,0,7,99,1
0,44,40,48,2,1,0,1,0,96,99,1
2,46,39,48,2,1,0,1,0,96,99,1
0,46,41,48,2,1,0,1,0,96,99,1
3,48,41,48,0,1,0,1,0,96,1,1
3,48,41,48,0,1,0,1,0,96,1,99
2,48,42,48,0,1,1,1,0,96,1,99
1,48,44,48,0,1,3,1,0,96,1,99
2,48,44,48,0,1,3,1,0,96,1,99
2,48,44,50,0,1,1,1,0,1,1,99
1,48,45,50,0,1,2,1,0,1,1,99
1,48,45,50,0,1,4,1,0,1,1,99
0,48,46,51,0,1,3,1,0,1,1,99
0,48,46,53,0,1,2,1,0,1,1,99
0,48,46,53,0,1,2,1,0,1,74,99
0,49,46,53,1,1,2,1,0,1,74,99
0,48,46,54,2,1,2,1,0,1,74,99
0,48,46,54,2,1,2,1,0,1,74,1
0,49,46,55,2,1,1,1,0,1,74,1
2,49,46,56,2,1,0,1,0,99,74,1
3,50,46,56,1,1,0,1,0,99,74,1
3,50,46,56,2,1,0,1,0,99,74,1
3,51,46,56,1,1,0,1,0,99,5,1
5,52,48,56,0,0,0,1,1,99,5,1
4,52,49,56,0,0,0,1,1,99,5,99
4,52,49,56,0,0,1,1,1,99,5,99
3,52,50,56,0,0,1,1,2,99,5,99
2,52,51,57,0,2,0,1,1,1,5,99
1,52,52,57,0,2,1,1,1,1,5,99
1,52,52,57,0,2,1,1,1,1,5,99
0,52,53,57,0,2,3,1,1,1,99,99
0,52,53,58,2,2,2,1,1,1,99,99
0,52,53,59,3,2,1,1,1,1,99,24
0,52,53,59,4,2,1,1,1,1,99,24
0,54,53,59,3,2,1,1,1,99,99,24
0,54,53,60,3,2,0,1,1,99,99,24
1,54,53,60,3,2,0,1,1,99,99,24
1,54,53,60,3,2,0,1,1,99,99,24
2,56,53,60,1,2,1,1,1,99,99,24
2,56,54,60,2,2,1,1,1,99,99,24
2,57,54,61,1,2,0,1,1,99,99,24
2,57,54,61,1,2,0,1,1,99,1,24
0,57,56,61,1,2,1,1,1,99,1,24
2,58,56,61,0,2,1,1,1,99,1,24
2,58,56,62,0,2,1,1,1,99,1,49
1,58,58,62,0,2,2,1,1,12,1,49
1,58,58,62,0,2,4,1,1,12,1,49
1,58,58,63,0,2,3,1,1,12,1,49
1,58,59,63,0,2,3,1,1,12,1,49
1,58,59,63,2,2,3,1,1,12,99,49
1,58,59,65,2,2,1,1,1,12,99,1
0,58,60,66,3,2,0,1,1,12,99,1
0,59,61,66,2,2,0,1,1,12,99,1
1,59,60,66,3,2,0,1,1,50,99,1
2,60,60,66,3,2,0,1,1,50,99,1
2,61,60,66,2,2,0,1,1,50,99,1
1,61,61,66,3,2,0,1,1,50,99,1
1,61,62,66,3,2,0,1,1,50,99,1
2,61,62,66,3,2,0,1,1,50,99,1
2,63,62,65,1,2,0,1,1,50,1,1
3,63,62,65,1,2,0,1,1,50,1,1
1,63,64,65,1,2,0,1,1,50,1,99
1,63,63,65,0,2,4,1,1,1,1,99
0,62,64,64,0,2,4,1,1,1,1,99
0,62,62,64,0,2,6,1,1,1,99,99
0,61,62,65,1,2,5,1,1,1,99,99
0,60,62,66,1,2,4,1,1,1,99,99
0,60,61,66,3,2,4,1,1,1,99,1
0,61,60,69,4,2,1,1,1,1,99,1
0,61,60,70,4,2,0,1,1,99,99,1
1,61,60,69,4,2,0,1,1,99,99,1
3,61,60,68,4,2,0,1,1,99,99,1
3,61,58,68,3,2,0,1,1,99,99,1
3,63,59,68,1,2,0,1,1,99,99,1
2,63,60,67,1,2,0,1,1,99,99,1
2,62,61,67,2,2,0,1,1,99,1,1
3,62,61,67,2,2,0,1,1,99,1,1
3,61,61,67,2,2,0,1,1,99,1,1
2,62,62,67,1,2,0,1,1,99,1,99
1,62,63,66,1,2,1,1,1,99,1,99
1,63,63,66,0,2,2,1,1,99,1,99
2,63,63,66,0,2,1,1,1,1,1,99
1,61,64,65,0,2,3,1,1,1,1,99
0,61,65,65,0,2,4,1,1,1,1,99
0,61,64,66,0,2,5,1,1,1,1,99
0,60,64,64,0,2,6,1,1,1,99,99
0,59,64,66,1,2,4,1,1,1,99,99
0,59,64,65,2,2,3,1,1,1,99,99
0,59,63,67,4,2,0,1,1,1,99,1
1,60,63,67,3,2,0,1,1,99,99,1
