11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,89,0,1,1,91
0,0,0,0,0,0,0,89,0,1,1,91
0,0,0,0,0,0,0,89,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,90
0,0,0,0,0,0,0,91,0,1,1,90
0,0,0,0,0,0,0,91,0,1,1,90
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,91
0,0,0,0,0,0,0,91,0,1,1,88
0,0,0,0,0,0,0,91,0,1,1,88
0,0,0,0,0,0,0,91,0,1,1,88
0,0,0,0,0,0,0,91,0,1,1,88
0,0,0,0,1,0,1,91,1,1,1,91
1,0,0,1,1,2,1,91,0,1,1,91
1,0,0,1,1,1,1,91,2,1,1,82
1,0,0,2,1,1,1,91,3,1,1,82
1,0,0,3,1,3,1,69,4,1,1,82
1,0,0,4,1,1,1,69,6,1,1,82
1,0,0,4,1,1,2,69,7,1,1,64
1,0,0,6,1,1,1,69,10,1,1,64
1,0,0,7,1,0,1,53,12,1,1,64
1,0,0,8,1,0,2,53,13,1,1,55
1,0,0,10,1,0,1,53,15,1,1,55
1,0,0,11,1,1,1,44,15,1,1,55
1,0,0,13,1,1,1,44,16,1,1,55
1,0,0,13,1,3,1,44,17,1,1,40
1,0,0,14,1,2,1,44,19,1,1,40
1,0,0,15,1,1,1,44,21,1,1,40
1,0,0,16,1,1,3,44,22,1,1,40
