11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,49,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,24
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,96,0,1,99,99
0,0,0,0,0,0,0,96,0,1,99,99
0,0,0,0,0,0,0,96,0,1,99,99
0,0,0,0,0,0,0,96,0,1,99,99
0,0,0,0,0,0,0,96,0,1,99,99
0,0,0,0,0,0,0,96,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,99,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,1,98,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,99,98,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,99,87,99
0,0,0,0,0,0,0,99,0,74,87,99
0,0,0,0,0,0,0,99,0,74,87,99
0,0,0,0,0,0,0,99,0,74,87,99
0,0,0,0,0,0,0,99,0,74,87,99
0,0,0,0,0,0,0,99,0,74,74,99
0,0,0,0,0,0,0,99,0,74,74,99
0,0,0,0,0,0,0,99,0,74,74,99
0,0,0,0,0,0,0,99,0,74,74,99
0,0,0,0,0,0,0,99,0,74,74,99
0,0,0,0,0,0,0,99,0,74,74,99
0,0,0,0,0,0,0,99,0,99,74,99
0,0,0,0,0,0,0,95,0,99,74,99
0,0,0,0,0,0,0,95,0,99,74,99
0,0,0,0,0,0,0,95,0,99,74,99
0,0,0,0,0,0,0,95,0,99,88,99
0,0,0,0,0,0,0,95,0,99,88,99
0,0,0,0,0,0,0,95,0,99,88,99
0,0,0,0,0,0,0,95,0,99,88,99
0,0,0,0,0,0,0,95,0,99,88,99
0,0,0,0,0,0,0,99,0,99,88,99
0,0,0,0,0,0,0,99,0,99,88,99
0,0,0,0,0,0,0,99,0,99,93,99
0,0,0,0,0,0,0,99,0,99,93,99
0,0,0,0,0,0,0,99,0,99,93,98
0,0,0,0,0,0,0,99,0,99,93,98
0,0,0,0,0,0,0,99,0,99,93,98
0,0,0,0,0,0,0,99,0,99,93,98
0,0,0,0,0,0,0,99,0,99,93,98
0,0,0,0,0,0,0,99,0,99,99,98
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,99,99,99
0,0,0,0,0,0,0,49,0,49,99,99
0,0,0,0,0,0,0,49,0,49,99,99
0,0,0,0,0,0,0,99,0,49,99,99
0,0,0,0,0,0,0,99,0,49,99,99
0,0,0,0,0,0,0,99,0,49,99,99
0,0,0,0,0,0,0,99,0,49,99,93
0,0,0,0,0,0,0,99,0,49,99,93
0,0,0,1,0,0,0,99,0,99,99,93
0,0,0,0,1,0,1,99,0,99,99,93
1,0,0,0,1,1,1,99,0,99,22,93
2,0,0,0,1,2,1,99,0,99,22,93
2,1,0,2,0,2,0,99,0,99,22,93
2,1,0,1,0,1,1,99,1,99,22,6
2,1,0,1,1,1,1,99,1,99,22,6
0,1,2,1,1,0,1,99,2,12,22,6
1,1,2,2,1,1,1,9,2,12,22,6
0,2,3,2,0,1,1,9,2,12,5,6
1,2,3,3,2,1,0,9,2,12,5,6
1,2,3,3,2,1,1,9,2,12,5,93
0,2,4,3,2,0,1,9,3,12,5,93
0,2,4,3,2,0,1,9,3,24,5,93
0,3,4,4,1,0,1,9,3,24,5,93
0,4,4,4,0,0,1,9,3,24,5,93
1,4,4,4,0,1,1,98,3,24,5,93
1,4,4,5,0,1,1,98,3,24,5,93
0,4,5,5,0,1,1,98,3,24,5,93
0,4,5,5,0,0,1,98,4,24,87,93
1,4,5,6,1,1,1,98,4,24,87,74
1,4,5,6,1,1,1,98,4,24,87,74
1,4,5,7,1,1,0,98,5,56,87,74
1,5,5,7,1,1,1,51,5,56,87,74
1,5,5,7,1,1,1,51,6,56,87,74
1,5,5,8,1,1,0,51,6,56,93,74
1,5,5,8,2,0,2,51,7,56,93,74
1,6,5,8,1,1,2,51,7,56,93,12
1,6,5,9,1,1,1,51,7,56,93,12
1,6,5,9,2,0,1,51,8,56,93,12
1,7,5,10,1,0,0,51,8,1,93,12
1,7,5,10,1,1,1,51,8,1,93,12
1,7,5,10,1,1,1,51,8,1,93,12
1,7,5,10,2,1,1,51,8,1,93,12
1,8,5,10,1,0,1,51,9,1,93,12
1,8,5,10,2,2,1,93,9,1,93,12
1,9,5,11,1,2,1,93,9,1,93,12
1,9,5,11,1,1,1,93,10,1,93,12
1,9,5,11,1,1,1,93,10,1,1,12
1,10,5,12,0,1,0,93,11,1,1,12
1,10,5,12,0,1,0,93,11,1,1,12
1,10,5,12,0,2,1,93,11,1,1,52
1,10,5,12,0,2,1,93,12,1,1,52
1,10,5,14,0,2,1,93,12,1,1,52
1,10,5,13,0,2,3,93,12,1,1,52
1,10,5,13,0,1,3,93,14,1,1,52
1,10,5,13,0,1,3,93,14,1,1,52
1,10,5,14,0,1,2,1,14,1,1,52
1,10,5,15,1,0,1,1,15,1,99,52
1,10,5,16,2,0,1,1,15,1,99,52
1,10,5,16,2,0,2,1,15,1,99,52
1,11,5,16,1,0,2,1,15,1,99,37
1,12,5,17,3,0,1,1,15,1,99,37
1,12,5,18,3,0,1,1,15,1,99,37
1,12,5,18,3,0,1,1,15,1,99,37
1,12,5,18,3,0,1,99,15,1,99,37
1,12,5,19,3,1,0,99,15,1,99,37
1,13,5,19,2,1,0,99,15,1,99,37
1,13,5,19,2,0,2,99,16,1,1,37
1,15,5,19,0,1,2,99,16,1,1,37
1,15,5,22,0,2,1,99,16,1,1,99
1,15,5,21,0,2,2,99,17,1,1,99
1,15,5,23,0,1,1,99,18,1,1,99
1,15,5,23,0,1,1,6,18,1,1,99
