11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,96,1,1
0,0,0,0,0,0,0,99,0,96,1,1
0,0,0,0,0,0,0,99,0,96,1,1
0,0,0,0,0,0,0,99,0,96,1,1
0,0,0,0,0,0,0,99,0,96,1,1
0,0,0,0,0,0,0,99,0,96,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,74,1,1
0,0,0,0,0,0,0,99,0,74,1,1
0,0,0,0,0,0,0,99,0,74,1,1
0,0,0,0,0,0,0,99,0,74,1,1
0,0,0,0,0,0,0,99,0,74,1,1
0,0,0,0,0,0,0,99,0,74,1,87
0,0,0,0,0,0,0,99,0,74,1,87
0,0,0,0,0,0,0,99,0,99,1,87
0,0,0,0,0,0,0,99,0,99,1,87
0,0,0,0,0,0,0,99,0,99,1,87
0,0,0,0,0,0,0,99,0,99,1,87
0,0,0,0,0,0,0,99,0,99,1,87
0,0,0,0,0,0,0,99,0,99,1,87
0,0,0,0,0,0,0,99,0,99,1,55
0,0,0,0,0,0,0,99,0,99,1,55
0,0,0,0,0,0,0,99,0,99,1,55
0,0,0,0,0,0,0,99,0,99,1,55
0,0,0,0,0,0,0,99,0,99,1,55
0,0,0,0,0,0,0,99,0,99,1,55
0,0,0,0,0,0,0,99,0,99,1,3
0,0,0,0,0,0,0,99,0,99,1,3
0,0,0,0,0,0,0,99,0,99,1,3
0,0,0,0,0,0,0,99,0,99,1,3
0,0,0,0,0,0,0,95,0,99,1,3
0,0,0,0,0,0,0,95,0,99,1,3
0,0,0,0,0,0,0,95,0,99,1,3
0,0,0,0,0,0,0,95,0,99,1,3
0,0,0,0,0,0,0,95,0,99,1,3
0,0,0,0,0,0,0,95,0,99,1,99
0,0,0,0,0,0,0,95,0,99,1,99
0,0,0,0,0,0,0,95,0,74,1,99
0,0,0,0,0,0,0,95,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,74,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,59,0,99,1,99
0,0,0,0,0,0,0,59,0,99,1,99
0,0,0,0,0,0,0,59,0,99,1,99
0,0,0,0,0,0,0,59,0,99,1,99
0,0,0,0,0,0,0,59,0,99,1,99
0,0,0,0,0,0,0,59,0,99,1,99
0,0,0,0,0,0,0,59,0,55,1,99
0,0,0,0,0,0,0,59,0,55,1,99
0,0,0,0,0,0,0,99,0,55,1,99
0,0,0,0,0,0,0,99,0,55,1,99
0,0,0,0,0,0,0,99,0,55,1,99
0,0,0,0,0,0,0,99,0,55,1,99
0,0,0,0,0,0,0,99,0,55,1,99
0,0,0,0,0,0,0,99,0,55,1,97
0,0,0,0,0,0,0,99,0,55,1,97
0,0,0,0,0,0,0,99,0,55,1,97
0,0,0,0,0,0,0,99,0,55,1,97
0,0,0,0,0,0,0,99,0,99,1,97
0,0,0,0,0,0,0,12,0,99,1,97
0,0,0,0,0,0,0,12,0,99,1,97
0,0,0,0,0,0,0,12,0,99,1,97
0,0,0,0,0,0,0,12,0,99,1,97
0,0,0,0,0,0,0,12,0,99,1,99
0,0,0,0,0,0,0,12,0,99,1,99
0,0,0,0,0,0,0,12,0,99,1,99
0,0,0,0,0,0,0,12,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,99
0,0,0,0,0,0,0,99,0,99,1,89
0,0,0,0,0,0,0,99,0,99,1,89
0,0,0,0,0,0,0,99,0,99,1,89
0,0,0,0,0,0,1,99,0,99,1,89
0,0,0,0,0,0,1,99,0,99,1,89
0,0,0,0,1,0,1,99,0,99,1,89
0,0,0,1,1,0,0,99,0,99,1,89
0,0,0,1,1,0,0,99,1,99,1,6
1,0,0,1,1,2,1,99,0,99,1,6
2,0,0,1,1,3,1,99,0,99,1,6
2,0,1,2,1,3,0,99,1,99,1,6
2,0,1,2,1,3,0,99,1,99,1,6
0,0,3,2,1,0,1,99,4,99,1,6
1,0,3,2,1,2,1,99,4,99,1,99
0,0,4,3,1,2,1,99,4,99,1,99
1,0,4,3,1,1,3,99,5,98,1,99
0,0,5,3,1,0,3,1,6,98,1,99
0,0,5,4,1,0,2,1,6,98,1,99
1,0,5,4,1,0,2,1,6,98,1,99
1,0,5,7,1,0,1,1,6,98,1,99
2,0,5,7,1,0,2,1,6,98,1,1
