11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,89,1,91
0,0,0,0,0,0,0,1,0,89,1,91
0,0,0,0,0,0,0,1,0,89,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,91
0,0,0,0,0,0,0,1,0,91,1,90
0,0,0,0,0,0,0,1,0,71,1,90
0,0,0,0,0,0,0,1,0,71,1,90
0,0,0,0,0,0,0,1,0,71,1,90
0,0,0,0,0,0,0,1,0,71,1,91
0,0,0,0,0,0,0,1,0,45,1,91
0,0,0,0,0,0,0,1,0,45,1,91
0,0,0,0,0,0,0,1,0,45,1,91
0,0,0,0,0,0,0,1,0,45,1,91
0,0,0,0,0,0,0,1,0,32,1,91
0,0,0,0,0,0,0,1,0,32,1,91
0,0,0,0,0,0,0,1,0,32,1,91
0,0,0,0,0,0,0,1,0,28,1,91
0,0,0,0,0,0,0,1,0,28,1,91
0,0,0,0,0,0,0,1,0,28,1,90
0,0,0,0,0,0,0,1,0,28,1,90
0,0,0,0,0,0,0,1,0,17,1,90
0,0,0,0,0,0,0,1,0,17,1,90
0,0,0,0,0,0,0,1,0,17,1,91
0,0,0,0,0,0,0,1,0,17,1,91
0,0,0,0,0,0,0,1,0,11,1,91
0,0,0,0,0,0,0,1,0,11,1,91
0,0,0,0,0,0,0,1,0,11,1,91
0,0,0,0,0,0,0,1,0,7,1,91
0,0,0,0,0,0,0,1,0,7,1,91
0,0,0,0,0,0,0,1,0,7,1,91
0,0,0,0,0,0,0,1,0,4,1,91
0,0,0,0,0,0,0,1,0,4,1,91
0,0,0,0,0,0,0,1,0,4,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,89
0,0,0,0,0,0,0,1,0,1,1,89
0,0,0,0,0,0,0,1,0,1,1,89
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
0,0,0,0,0,0,0,1,0,1,1,91
