11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,99,0,75,1,1
0,0,0,0,0,0,0,99,0,75,1,1
0,0,0,0,0,0,0,99,0,75,1,1
0,0,0,0,0,0,0,99,0,75,1,1
0,0,0,0,0,0,0,99,0,75,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,97,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,99,0,99,1,1
0,0,0,0,0,0,0,1,0,99,1,1
0,0,0,0,0,0,0,1,0,99,1,1
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,74
0,0,0,0,0,0,0,1,0,99,1,74
0,0,0,0,0,0,0,1,0,99,1,74
0,0,0,0,0,0,0,1,0,99,1,74
0,0,0,0,0,0,0,1,0,99,1,74
0,0,0,0,0,0,0,1,0,99,1,74
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,82,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,97,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,74,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,97
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,0,0,0,0,1,0,99,1,99
0,0,0,1,0,0,0,1,0,99,1,99
0,0,0,0,1,1,1,1,0,99,1,99
2,0,0,0,1,1,2,1,0,61,1,99
2,0,0,0,1,1,2,1,0,61,1,99
2,0,0,0,1,1,2,1,0,61,1,99
0,0,2,0,1,1,2,1,0,61,1,99
2,0,2,0,1,1,2,1,0,61,1,99
2,1,2,1,2,1,2,1,0,61,1,99
1,1,5,0,2,1,3,1,0,61,1,1
1,1,5,0,2,1,3,1,0,61,1,1
1,3,5,0,0,1,3,1,0,1,1,1
1,3,5,0,0,1,3,1,0,1,1,1
1,3,5,0,0,1,3,1,0,1,1,1
0,3,6,0,1,1,3,1,0,1,1,1
1,3,6,0,1,1,3,1,0,1,1,1
1,5,6,0,5,1,3,1,0,1,24,1
1,3,6,0,7,1,3,1,0,1,24,1
1,3,6,0,7,1,3,1,0,1,24,1
1,4,6,0,6,1,3,1,0,1,24,1
1,4,6,0,6,1,3,1,0,1,24,1
1,4,6,0,8,1,3,1,0,1,24,1
1,4,6,0,11,1,3,1,0,1,24,1
1,4,6,0,14,1,3,1,0,1,24,1
1,4,6,0,14,1,3,1,0,1,24,1
1,5,6,0,13,1,3,1,0,1,1,1
1,6,6,0,12,1,3,1,0,1,1,1
1,6,6,0,12,2,3,1,0,1,1,1
2,7,6,0,11,2,3,1,0,1,1,1
2,8,7,0,10,3,3,1,1,1,1,1
3,8,6,2,10,4,3,1,1,1,1,1
3,8,6,0,10,3,5,1,2,1,1,1
3,8,6,0,10,3,5,1,2,1,1,1
3,8,6,0,10,1,5,1,4,1,1,1
3,8,6,0,10,1,5,1,5,1,1,1
3,8,6,0,10,4,5,1,5,1,1,1
5,10,6,0,8,4,6,1,6,1,1,1
5,12,6,0,6,4,6,1,6,1,1,1
5,12,6,0,6,3,6,1,7,1,1,1
5,13,6,0,5,3,6,1,7,1,1,1
5,18,6,0,0,2,6,1,8,1,1,1
5,18,6,0,1,1,6,1,10,1,1,1
5,18,6,0,2,2,6,1,10,1,1,1
5,18,6,0,4,4,6,1,10,1,1,1
