Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.3,2000,2000
0,0,0,40.0,40,0,1.0,2000,2000
0,0,0,60.0,60,0,2.1,2000,2000
0,0,0,80.0,80,0,2.7,2000,2000
0,0,0,100.0,100,0,3.1,2000,2000
0,0,0,120.0,120,0,3.6,2000,2000
0,0,0,139.9,140,0,4.1,2000,2000
0,0,0,159.9,160,0,4.3,2000,2000
0,0,0,180.0,180,0,8.9,2000,2000
0,0,0,198.3,200,0,8.5,1981,1984
0,0,0,220.0,220,0,5.8,2000,2000
0,0,0,239.8,240,0,5.8,2000,2000
0,0,0,259.5,260,0,6.4,2000,2000
0,0,0,279.3,280,0,6.7,2000,2000
0,0,0,299.0,300,0,7.6,2000,2000
0,0,0,320.0,320,0,9.6,2000,2000
0,0,0,339.7,340,0,10.5,2000,2000
0,0,0,319.0,360,0,44.6,1938,1939
0,0,0,311.2,380,0,47.7,1942,1945
0,0,0,275.8,400,0,110.4,1621,1654
0,0,0,273.6,420,0,154.1,1520,1575
0,0,0,250.0,440,0,199.6,1291,1385
0,0,0,269.2,460,0,182.1,1370,1439
0,0,0,258.2,480,0,214.6,1248,1334
0,0,0,235.0,500,0,235.3,1034,1170
0,0,0,260.8,520,0,190.4,1123,1262
0,0,0,243.1,540,0,211.4,999,1143
0,0,0,234.7,560,0,240.3,938,1073
0,0,0,257.0,580,0,228.8,1003,1143
0,0,0,246.0,600,0,267.5,852,1067
0,0,0,241.1,620,0,237.7,850,1019
0,0,0,238.8,640,0,236.8,770,983
0,0,0,234.2,660,0,265.1,755,944
0,0,0,258.9,680,0,214.5,832,1019
0,0,0,238.8,700,0,245.8,714,924
0,0,0,262.1,720,0,226.4,816,990
0,0,0,258.2,740,0,231.2,748,956
0,0,0,260.3,760,0,226.8,773,945
0,0,0,256.4,780,0,222.3,728,916
0,0,0,252.9,800,0,238.3,695,885
0,0,0,219.6,820,0,270.7,527,755
0,0,0,241.5,840,0,234.2,628,818
0,0,0,235.2,860,0,235.5,527,782
0,0,0,212.2,880,0,309.1,461,694
0,0,0,202.1,900,0,256.7,426,651
0,0,0,215.2,920,0,243.0,436,683
0,0,0,218.8,940,0,352.5,448,684
0,0,0,191.3,960,0,262.6,379,595
0,0,0,204.2,980,0,279.8,363,623
0,0,0,218.4,1000,0,219.3,424,660
