Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,6.0,19.0,19.0,0.9,2000,19.0,2.0,0,19.0,15.0,21.0,1.0,0,20.0,4.0,20.0,1.0,0,2000,1.0,19.0,20,20.0
1.0,0,39.0,1.0,8.0,39.0,39.0,1.3,2000,39.0,4.0,0,39.0,15.0,40.0,1.0,0,39.0,6.0,40.0,2.0,0,2000,1.0,39.0,40,39.0
2.0,0,59.0,1.0,11.0,59.0,59.0,2.6,2000,59.0,8.0,0,59.0,22.0,60.0,3.0,0,59.0,10.0,60.0,6.0,0,2000,4.0,59.0,60,59.0
3.0,0,79.0,1.0,12.0,79.0,79.0,3.0,2000,79.0,8.0,0,79.0,20.0,80.0,4.0,0,79.0,11.0,80.0,7.0,0,2000,4.0,79.0,80,79.0
3.0,0,100.0,2.0,15.0,99.0,99.0,3.5,2000,100.0,9.0,0,99.0,24.0,101.0,4.0,0,100.0,12.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
4.0,0,120.0,2.0,15.0,119.0,119.0,4.0,2000,120.0,10.0,0,120.0,20.0,121.0,5.0,0,120.0,12.0,120.0,8.0,0,2000,6.0,119.0,120,120.0
5.0,0,141.0,3.0,14.0,140.0,140.0,4.4,2000,140.0,10.0,0,140.0,23.0,142.0,6.0,0,141.0,12.0,140.0,8.0,0,2000,6.0,139.0,140,141.0
4.0,0,161.0,3.0,15.0,160.0,160.0,4.3,2000,160.0,10.0,0,160.0,27.0,162.0,5.0,0,161.0,13.0,160.0,8.0,0,2000,6.0,159.0,160,161.0
5.0,0,182.0,3.0,31.0,180.0,180.0,5.8,2000,181.0,16.0,0,180.0,54.0,183.0,7.0,0,182.0,26.0,179.9,11.0,0,2000,8.0,179.0,180,182.0
6.0,0,201.0,4.0,389.0,200.0,200.0,19.3,1968,201.0,46.0,0,200.0,896.0,202.0,8.0,0,201.0,268.0,196.7,16.0,0,1963,9.0,200.0,200,201.0
5.0,0,220.0,4.0,19.0,219.0,220.0,5.5,2000,220.0,13.0,0,220.0,35.0,221.0,7.0,0,220.0,16.0,220.0,10.0,0,2000,8.0,219.0,220,220.0
6.0,0,240.0,4.0,17.0,239.0,239.0,5.9,2000,240.0,13.0,0,240.0,26.0,241.0,7.0,0,240.0,16.0,239.9,11.0,0,2000,8.0,239.0,240,240.0
