Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,8.0,19.0,19.0,1.3,2000,20.0,4.0,0,19.0,14.0,21.0,1.0,0,20.0,5.0,20.0,2.0,0,2000,1.0,19.0,20,20.0
1.0,0,39.0,1.0,8.0,39.0,39.0,1.4,2000,39.0,4.0,0,39.0,14.0,40.0,1.0,0,39.0,6.0,40.0,2.0,0,2000,1.0,39.0,40,39.0
1.0,0,59.0,1.0,10.0,59.0,59.0,1.6,2000,59.0,5.0,0,59.0,19.0,60.0,1.0,0,59.0,7.0,60.0,4.0,0,2000,1.0,59.0,60,59.0
3.0,0,81.0,1.0,15.0,79.0,79.0,3.3,2000,80.0,8.0,0,79.0,24.0,82.0,5.0,0,81.0,12.0,80.0,7.0,0,2000,6.0,79.0,80,80.0
5.0,0,101.0,2.0,15.0,99.0,100.0,4.1,2000,100.0,9.0,0,100.0,28.0,102.0,7.0,0,101.0,15.0,100.0,8.0,0,2000,7.0,99.0,100,101.0
3.0,0,120.0,2.0,14.0,120.0,120.0,3.6,2000,120.0,9.0,0,120.0,21.0,121.0,5.0,0,120.0,12.0,120.0,7.0,0,2000,5.0,119.0,120,120.0
3.0,0,140.0,2.0,15.0,139.0,139.0,3.9,2000,140.0,10.0,0,139.0,22.0,141.0,5.0,0,140.0,13.0,139.9,8.0,0,2000,5.0,139.0,140,140.0
4.0,0,160.0,2.0,16.0,159.0,159.0,4.0,2000,160.0,10.0,0,159.0,26.0,161.0,5.0,0,160.0,14.0,160.0,8.0,0,2000,6.0,159.0,160,160.0
4.0,0,183.0,3.0,36.0,180.0,180.0,5.4,2000,180.0,15.0,0,180.0,141.0,184.0,6.0,0,183.0,25.0,179.9,11.0,0,2000,7.0,179.0,180,183.0
5.0,0,201.0,3.0,151.0,199.0,200.0,9.0,1993,201.0,13.0,0,200.0,565.0,202.0,6.0,0,201.0,91.0,199.3,10.0,0,1993,7.0,198.0,200,201.0
5.0,0,222.0,4.0,16.0,220.0,220.0,5.1,2000,222.0,12.0,0,220.0,26.0,223.0,6.0,0,222.0,15.0,220.0,10.0,0,2000,7.0,219.0,220,222.0
5.0,0,241.0,4.0,20.0,239.0,239.0,5.5,2000,241.0,13.0,0,240.0,27.0,242.0,6.0,0,241.0,16.0,239.5,10.0,0,2000,7.0,239.0,240,241.0
6.0,0,261.0,4.0,19.0,260.0,260.0,5.9,2000,261.0,13.0,0,260.0,32.0,262.0,7.0,0,261.0,16.0,260.0,11.0,0,2000,8.0,259.0,260,261.0
7.0,0,285.0,5.0,21.0,279.0,281.0,6.6,2000,285.0,15.0,0,281.0,28.0,286.0,8.0,0,285.0,19.0,279.7,12.0,0,2000,9.0,279.0,280,285.0
8.0,0,301.0,6.0,27.0,299.0,301.0,8.1,2000,301.0,18.0,0,301.0,35.0,302.0,10.0,0,301.0,24.0,299.6,15.0,0,2000,11.0,298.0,300,301.0
11.0,0,327.0,8.0,122.0,320.0,321.0,15.8,1996,327.0,74.0,0,321.0,490.0,328.0,13.0,0,327.0,106.0,318.6,26.0,0,1996,16.0,315.0,320,327.0
11.0,0,345.0,9.0,35.0,342.0,342.0,11.4,2000,345.0,27.0,0,342.0,48.0,346.0,14.0,0,345.0,32.0,339.2,22.0,0,2000,16.0,337.0,340,345.0
17.0,0,367.0,11.0,141.0,356.0,357.0,25.9,1984,367.0,90.0,0,357.0,610.0,368.0,24.0,0,367.0,119.0,325.2,69.0,0,1984,32.0,352.0,360,367.0
57.0,0,382.0,24.0,393.0,371.0,371.0,57.1,1916,382.0,201.0,0,371.0,699.0,383.0,76.0,0,382.0,322.0,363.2,110.0,0,1916,89.0,362.0,380,382.0
96.0,0,370.0,71.0,648.0,361.0,361.0,110.8,1746,370.0,364.0,0,361.0,777.0,371.0,119.0,0,370.0,552.0,293.5,285.0,0,1737,137.0,360.0,400,370.0
141.0,0,340.0,85.0,782.0,286.0,286.0,143.2,1154,340.0,444.0,0,286.0,893.0,341.0,164.0,0,340.0,705.0,200.4,374.0,0,1054,213.0,282.0,420,340.0
172.0,0,329.0,112.0,831.0,304.0,304.0,181.6,1398,329.0,578.0,0,304.0,967.0,329.0,261.0,0,329.0,771.0,252.5,408.0,0,1325,310.0,245.0,440,329.0
199.0,0,321.0,129.0,885.0,283.0,283.0,207.3,1350,321.0,675.0,0,283.0,995.0,322.0,304.0,0,321.0,842.0,252.5,468.0,0,1266,352.0,233.0,460,321.0
225.0,0,355.0,119.0,894.0,195.0,195.0,194.9,961,355.0,660.0,0,195.0,980.0,356.0,286.0,0,355.0,817.0,186.1,468.0,0,845,348.0,190.0,480,355.0
368.0,0,241.0,198.0,963.0,223.0,223.0,287.0,1080,241.0,832.0,0,241.0,996.0,242.0,415.0,0,241.0,919.0,216.1,653.0,0,983,433.0,184.0,500,241.0
309.0,0,253.0,183.0,888.0,249.0,249.0,260.3,1024,253.0,757.0,0,253.0,988.0,254.0,386.0,0,253.0,869.0,210.6,593.0,0,897,422.0,192.0,520,253.0
321.0,0,216.0,249.0,961.0,133.0,133.0,282.8,622,216.0,817.0,0,216.0,994.0,217.0,425.0,0,216.0,924.0,132.6,668.0,0,535,482.0,130.0,540,216.0
276.0,0,284.0,183.0,955.0,220.0,220.0,251.6,1032,284.0,780.0,0,284.0,994.0,285.0,388.0,0,284.0,908.0,225.8,620.0,0,920,426.0,205.0,560,284.0
346.0,0,230.0,226.0,924.0,180.0,180.0,290.3,932,230.0,822.0,0,230.0,977.0,231.0,415.0,0,230.0,901.0,209.5,681.0,0,786,455.0,163.0,580,230.0
