Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.1,2000,2000
0,0,0,40.0,40,0,1.2,2000,2000
0,0,0,60.0,60,0,2.1,2000,2000
0,0,0,80.0,80,0,2.7,2000,2000
0,0,0,100.0,100,0,3.9,2000,2000
0,0,0,120.0,120,0,3.5,2000,2000
0,0,0,140.0,140,0,3.5,2000,2000
0,0,0,160.1,160,0,4.0,2000,2000
0,0,0,179.2,180,0,8.2,1991,1991
0,0,0,199.8,200,0,5.0,2000,2000
0,0,0,219.9,220,0,5.6,2000,2000
0,0,0,235.5,240,0,32.1,1962,1963
0,0,0,259.5,260,0,6.2,2000,2000
0,0,0,279.7,280,0,6.8,2000,2000
0,0,0,299.4,300,0,7.4,2000,2000
0,0,0,319.6,320,0,8.9,2000,2000
0,0,0,339.5,340,0,10.5,2000,2000
0,0,0,287.1,360,0,86.8,1870,1872
0,0,0,249.2,380,0,144.3,1487,1556
0,0,0,273.0,400,0,123.0,1551,1624
0,0,0,284.5,420,0,116.1,1595,1639
0,0,0,235.5,440,0,219.9,1211,1305
0,0,0,238.8,460,0,221.9,1155,1272
0,0,0,247.3,480,0,254.3,1155,1274
0,0,0,219.3,500,0,232.3,960,1095
0,0,0,235.7,520,0,269.9,959,1140
0,0,0,238.0,540,0,251.8,973,1119
0,0,0,239.3,560,0,262.6,937,1094
0,0,0,240.4,580,0,241.0,903,1069
0,0,0,227.4,600,0,271.0,798,987
0,0,0,217.5,620,0,277.2,731,919
0,0,0,203.9,640,0,278.0,637,841
0,0,0,209.7,660,0,277.9,628,847
0,0,0,229.2,680,0,290.1,724,903
0,0,0,225.5,700,0,309.0,667,874
0,0,0,228.6,720,0,286.5,662,862
0,0,0,219.1,740,0,319.8,606,811
0,0,0,214.9,760,0,306.7,590,781
0,0,0,185.3,780,0,319.6,455,660
0,0,0,213.8,800,0,272.5,525,748
0,0,0,196.0,820,0,338.4,446,674
0,0,0,187.0,840,0,374.6,433,632
0,0,0,185.5,860,0,307.0,384,617
0,0,0,162.0,880,0,379.2,340,530
0,0,0,183.1,900,0,336.2,339,591
0,0,0,165.8,920,0,319.1,323,526
0,0,0,151.5,940,0,427.6,259,474
0,0,0,164.5,960,0,327.4,310,507
0,0,0,144.6,980,0,424.6,227,441
0,0,0,168.7,1000,0,346.3,287,506
