Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.6,2000,2000
0,0,0,40.0,40,0,1.3,2000,2000
0,0,0,60.0,60,0,2.3,2000,2000
0,0,0,80.0,80,0,2.9,2000,2000
0,0,0,100.0,100,0,3.3,2000,2000
0,0,0,120.0,120,0,3.7,2000,2000
0,0,0,140.0,140,0,3.9,2000,2000
0,0,0,159.9,160,0,4.6,2000,2000
0,0,0,179.8,180,0,5.5,2000,2000
0,0,0,193.5,200,0,25.9,1932,1936
0,0,0,219.8,220,0,5.7,2000,2000
0,0,0,239.9,240,0,6.4,2000,2000
0,0,0,259.6,260,0,6.3,2000,2000
0,0,0,279.8,280,0,7.2,2000,2000
0,0,0,298.7,300,0,8.3,2000,2000
0,0,0,318.9,320,0,9.6,1999,1999
0,0,0,339.2,340,0,12.3,2000,2000
0,0,0,359.3,360,0,14.4,1999,1999
0,0,0,299.4,380,0,77.8,1842,1853
0,0,0,232.1,400,0,169.1,1293,1387
0,0,0,216.2,420,0,232.2,1155,1245
0,0,0,228.6,440,0,229.4,1166,1268
0,0,0,248.4,460,0,224.5,1228,1326
0,0,0,247.6,480,0,206.3,1188,1275
0,0,0,234.0,500,0,236.3,1035,1170
0,0,0,238.8,520,0,247.7,1028,1157
0,0,0,173.3,540,0,199.2,655,815
0,0,0,225.2,560,0,279.1,880,1029
0,0,0,239.5,580,0,250.8,951,1068
0,0,0,253.6,600,0,242.5,975,1099
0,0,0,241.5,620,0,280.5,858,1020
0,0,0,266.6,640,0,247.7,973,1101
0,0,0,247.4,660,0,260.3,829,997
0,0,0,230.5,680,0,276.7,757,908
0,0,0,244.7,700,0,260.6,757,943
0,0,0,219.9,720,0,283.2,686,831
0,0,0,237.2,740,0,283.0,717,877
0,0,0,225.4,760,0,297.6,659,818
0,0,0,229.0,780,0,281.4,594,817
0,0,0,217.2,800,0,245.0,597,760
0,0,0,250.7,820,0,283.1,660,866
0,0,0,205.2,840,0,296.7,505,697
0,0,0,197.0,860,0,310.5,480,655
0,0,0,202.2,880,0,306.3,472,663
0,0,0,197.4,900,0,320.5,447,636
0,0,0,180.6,920,0,323.8,363,573
0,0,0,184.8,940,0,395.6,357,578
0,0,0,189.7,960,0,375.2,365,585
0,0,0,198.3,980,0,297.9,396,601
0,0,0,190.3,1000,0,328.0,358,577
