Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,7.0,19.0,19.0,1.1,2000,20.0,4.0,0,19.0,16.0,21.0,1.0,0,20.0,5.0,20.0,1.0,0,2000,1.0,19.0,20,20.0
1.0,0,40.0,1.0,7.0,39.0,39.0,1.2,2000,39.0,4.0,0,39.0,16.0,40.0,1.0,0,40.0,6.0,40.0,1.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,9.0,59.0,59.0,1.7,2000,59.0,5.0,0,59.0,22.0,61.0,1.0,0,60.0,8.0,60.0,4.0,0,2000,1.0,59.0,60,60.0
2.0,0,80.0,1.0,12.0,79.0,79.0,2.7,2000,79.0,8.0,0,79.0,19.0,80.0,3.0,0,80.0,10.0,80.0,6.0,0,2000,4.0,79.0,80,79.0
4.0,0,100.0,2.0,12.0,99.0,99.0,3.6,2000,100.0,9.0,0,99.0,26.0,101.0,4.0,0,100.0,11.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
3.0,0,121.0,2.0,12.0,119.0,119.0,3.3,2000,119.0,8.0,0,119.0,19.0,122.0,4.0,0,121.0,11.0,120.0,7.0,0,2000,5.0,119.0,120,121.0
4.0,0,141.0,2.0,15.0,139.0,139.0,3.7,2000,140.0,9.0,0,140.0,21.0,142.0,4.0,0,141.0,12.0,140.0,7.0,0,2000,5.0,139.0,140,141.0
4.0,0,161.0,3.0,16.0,159.0,159.0,4.4,2000,160.0,11.0,0,160.0,23.0,162.0,5.0,0,161.0,14.0,160.0,9.0,0,2000,6.0,159.0,160,161.0
5.0,0,182.0,3.0,24.0,180.0,180.0,5.2,2000,181.0,13.0,0,180.0,52.0,183.0,6.0,0,182.0,18.0,179.9,10.0,0,2000,7.0,178.0,180,182.0
7.0,0,210.0,5.0,253.0,200.0,201.0,22.8,1982,203.0,153.0,0,201.0,455.0,211.0,9.0,0,210.0,231.0,198.2,63.0,0,1982,12.0,198.0,200,210.0
5.0,0,225.0,4.0,18.0,220.0,220.0,5.2,2000,225.0,12.0,0,220.0,34.0,226.0,6.0,0,225.0,15.0,219.6,9.0,0,2000,7.0,219.0,220,225.0
6.0,0,242.0,4.0,18.0,240.0,240.0,5.6,2000,242.0,13.0,0,240.0,27.0,243.0,7.0,0,242.0,16.0,239.8,10.0,0,2000,7.0,239.0,240,242.0
6.0,0,263.0,5.0,21.0,261.0,261.0,6.3,2000,263.0,15.0,0,261.0,36.0,264.0,7.0,0,263.0,18.0,260.0,11.0,0,2000,8.0,259.0,260,263.0
7.0,0,283.0,5.0,23.0,278.0,282.0,7.1,2000,283.0,15.0,0,282.0,33.0,284.0,9.0,0,283.0,20.0,280.0,13.0,0,2000,10.0,277.0,280,283.0
8.0,0,301.0,6.0,32.0,300.0,301.0,7.8,1999,301.0,18.0,0,301.0,54.0,302.0,9.0,0,301.0,27.0,299.8,14.0,0,1999,10.0,298.0,300,301.0
9.0,0,321.0,7.0,29.0,319.0,320.0,9.2,2000,321.0,20.0,0,320.0,50.0,322.0,11.0,0,321.0,26.0,319.8,17.0,0,2000,12.0,318.0,320,321.0
14.0,0,341.0,10.0,71.0,341.0,341.0,14.7,1999,341.0,40.0,0,341.0,90.0,342.0,18.0,0,341.0,51.0,339.7,30.0,0,1999,21.0,338.0,340,341.0
18.0,0,391.0,11.0,218.0,362.0,362.0,26.4,1980,391.0,93.0,0,362.0,480.0,392.0,24.0,0,391.0,150.0,355.4,68.0,0,1980,32.0,359.0,360,391.0
107.0,0,370.0,78.0,651.0,297.0,357.0,112.6,1758,370.0,375.0,0,357.0,990.0,371.0,135.0,0,370.0,567.0,281.3,304.0,0,1743,156.0,288.0,380,370.0
121.0,0,382.0,51.0,869.0,195.0,224.0,133.3,1152,382.0,540.0,0,224.0,975.0,383.0,176.0,0,382.0,750.0,191.9,388.0,0,1067,220.0,158.0,400,382.0
155.0,0,331.0,111.0,824.0,277.0,277.0,169.4,1466,331.0,602.0,0,277.0,996.0,332.0,200.0,0,331.0,772.0,254.6,400.0,0,1411,308.0,257.0,420,331.0
103.0,0,350.0,48.0,828.0,293.0,293.0,128.5,1161,350.0,519.0,0,293.0,1000.0,351.0,162.0,0,350.0,700.0,202.7,370.0,0,1051,206.0,265.0,440,350.0
227.0,0,299.0,131.0,883.0,253.0,253.0,212.2,1281,299.0,743.0,0,253.0,1000.0,300.0,325.0,0,299.0,847.0,240.3,532.0,0,1198,365.0,219.0,460,299.0
212.0,0,314.0,130.0,880.0,272.0,272.0,206.5,1358,314.0,713.0,0,272.0,990.0,315.0,320.0,0,314.0,836.0,263.0,457.0,0,1268,356.0,255.0,480,314.0
186.0,0,318.0,105.0,853.0,269.0,269.0,186.6,1268,318.0,691.0,0,318.0,996.0,319.0,281.0,0,318.0,804.0,253.9,446.0,0,1192,329.0,254.0,500,318.0
178.0,0,354.0,98.0,883.0,271.0,271.0,192.9,1272,354.0,696.0,0,354.0,998.0,355.0,308.0,0,354.0,785.0,262.6,510.0,0,1188,369.0,238.0,520,354.0
291.0,0,353.0,154.0,920.0,225.0,225.0,247.1,1143,353.0,804.0,0,353.0,988.0,354.0,391.0,0,353.0,875.0,243.0,677.0,0,1023,433.0,189.0,540,353.0
