Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,21.0,1.0,187.0,19.0,19.0,10.0,2000,20.0,38.0,0,19.0,775.0,22.0,4.0,0,20.0,107.0,20.0,20.0,0,2000,7.0,19.0,20,20.0
2.0,0,47.0,1.0,956.0,42.0,42.0,92.2,1999,45.0,691.0,0,44.0,994.0,48.0,4.0,0,47.0,879.0,40.0,426.0,0,1980,9.0,40.0,40,46.0
3.0,0,62.0,1.0,980.0,56.0,58.0,39.0,1934,62.0,136.0,0,59.0,1000.0,63.0,4.0,0,62.0,887.0,58.0,8.0,0,1783,5.0,52.0,60,62.0
4.0,0,84.0,2.0,865.0,78.0,79.0,33.5,1973,81.0,104.0,0,80.0,998.0,85.0,5.0,0,84.0,617.0,78.9,9.0,0,1890,6.0,75.0,80,83.0
5.0,0,107.0,3.0,500.0,99.0,100.0,20.8,2000,104.0,71.0,0,100.0,805.0,108.0,6.0,0,107.0,338.0,100.0,11.0,0,1966,7.0,98.0,100,107.0
5.0,0,122.0,3.0,304.0,120.0,121.0,14.1,2000,121.0,31.0,0,121.0,940.0,123.0,6.0,0,122.0,174.0,119.8,11.0,0,1997,7.0,119.0,120,122.0
5.0,0,142.0,3.0,157.0,140.0,140.0,9.8,2000,141.0,16.0,0,140.0,817.0,143.0,7.0,0,142.0,84.0,140.0,11.0,0,1995,8.0,139.0,140,142.0
7.0,0,165.0,5.0,259.0,160.0,160.0,16.6,1997,161.0,69.0,0,161.0,712.0,166.0,9.0,0,165.0,177.0,159.8,20.0,0,1994,11.0,159.0,160,165.0
6.0,0,183.0,5.0,366.0,180.0,180.0,13.5,2000,180.0,16.0,0,180.0,760.0,184.0,8.0,0,183.0,65.0,180.0,12.0,0,1993,9.0,178.0,180,183.0
7.0,0,200.0,5.0,115.0,199.0,199.0,13.5,1991,199.0,16.0,0,199.0,994.0,201.0,8.0,0,200.0,35.0,199.0,12.0,0,1967,9.0,197.0,200,200.0
8.0,0,221.0,6.0,427.0,220.0,220.0,17.2,1990,221.0,20.0,0,220.0,999.0,222.0,9.0,0,221.0,92.0,218.7,15.0,0,1967,11.0,216.0,220,221.0
8.0,0,240.0,6.0,353.0,237.0,237.0,14.4,1977,240.0,20.0,0,239.0,981.0,241.0,10.0,0,240.0,26.0,236.9,15.0,0,1948,11.0,233.0,240,240.0
