Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,28.0,19.0,19.0,3.7,2000,19.0,18.0,0,19.0,46.0,21.0,2.0,0,20.0,25.0,20.0,11.0,0,2000,4.0,19.0,20,19.0
1.0,0,40.0,1.0,14.0,37.0,37.0,5.0,1880,39.0,4.0,0,38.0,949.0,41.0,1.0,0,39.0,7.0,36.9,2.0,0,1710,1.0,35.0,40,39.0
3.0,0,62.0,1.0,250.0,59.0,59.0,15.7,2000,60.0,102.0,0,59.0,982.0,63.0,4.0,0,62.0,159.0,59.7,12.0,0,1980,5.0,59.0,60,61.0
4.0,0,83.0,2.0,729.0,77.0,78.0,15.7,1995,79.0,11.0,0,79.0,1000.0,84.0,5.0,0,83.0,16.0,79.8,8.0,0,1886,6.0,76.0,80,82.0
5.0,0,103.0,3.0,296.0,100.0,100.0,18.2,2000,102.0,135.0,0,100.0,974.0,104.0,6.0,0,103.0,240.0,99.1,11.0,0,1997,7.0,98.0,100,102.0
4.0,0,118.0,3.0,893.0,117.0,117.0,15.4,1968,118.0,11.0,0,117.0,999.0,119.0,6.0,0,118.0,16.0,111.4,9.0,0,1890,7.0,116.0,120,118.0
6.0,0,141.0,4.0,354.0,140.0,140.0,14.6,2000,140.0,16.0,0,140.0,976.0,142.0,7.0,0,141.0,236.0,137.1,11.0,0,1988,8.0,138.0,140,141.0
9.0,0,168.0,5.0,625.0,157.0,159.0,40.5,1993,162.0,200.0,0,160.0,847.0,169.0,14.0,0,168.0,419.0,153.9,127.0,0,1982,19.0,156.0,160,168.0
7.0,0,179.0,5.0,591.0,177.0,178.0,15.7,1991,178.0,15.0,0,178.0,993.0,180.0,8.0,0,179.0,20.0,173.8,12.0,0,1949,8.0,176.0,180,179.0
7.0,0,200.0,5.0,22.0,196.0,196.0,9.8,1978,196.0,14.0,0,196.0,1000.0,201.0,8.0,0,200.0,18.0,196.6,12.0,0,1926,9.0,190.0,200,200.0
7.0,0,218.0,6.0,23.0,215.0,215.0,11.3,1979,218.0,15.0,0,217.0,987.0,219.0,9.0,0,218.0,20.0,200.9,12.0,0,1925,10.0,209.0,220,218.0
8.0,0,237.0,6.0,22.0,233.0,233.0,10.2,1960,237.0,16.0,0,234.0,988.0,238.0,9.0,0,237.0,20.0,235.1,13.0,0,1924,11.0,231.0,240,237.0
9.0,0,257.0,6.0,62.0,252.0,252.0,14.4,1966,257.0,26.0,0,252.0,997.0,258.0,11.0,0,257.0,50.0,255.4,17.0,0,1926,12.0,252.0,260,257.0
11.0,0,282.0,8.0,47.0,274.0,277.0,12.8,1962,282.0,26.0,0,277.0,816.0,283.0,13.0,0,282.0,40.0,274.3,20.0,0,1921,15.0,265.0,280,282.0
12.0,0,296.0,8.0,52.0,289.0,291.0,16.8,1954,296.0,28.0,0,291.0,972.0,297.0,14.0,0,296.0,39.0,292.3,22.0,0,1921,16.0,285.0,300,296.0
13.0,0,316.0,10.0,74.0,308.0,314.0,21.0,1960,316.0,34.0,0,314.0,998.0,317.0,16.0,0,316.0,50.0,312.3,24.0,0,1922,18.0,300.0,320,316.0
