Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,0.9,2000,2000
0,0,0,37.8,40,0,4.0,1896,1962
0,0,0,55.6,60,0,10.3,1855,1945
0,0,0,75.6,80,0,8.3,1975,1999
0,0,0,91.1,100,0,5.6,1956,1975
0,0,0,108.7,120,0,5.3,1961,1985
0,0,0,122.7,140,0,9.1,1966,1989
0,0,0,134.7,160,0,30.6,1920,1953
0,0,0,167.2,180,0,7.1,1973,1997
0,0,0,165.9,200,0,13.4,1923,1957
0,0,0,175.5,220,0,6.3,1897,1945
0,0,0,189.3,240,0,10.3,1921,1947
0,0,0,200.3,260,0,8.3,1874,1909
0,0,0,210.1,280,0,7.5,1872,1916
0,0,0,222.0,300,0,11.6,1871,1914
0,0,0,225.2,320,0,42.0,1795,1847
0,0,0,256.6,340,0,25.6,1812,1850
0,0,0,248.8,360,0,27.7,1832,1862
0,0,0,259.4,380,0,29.7,1794,1833
0,0,0,277.9,400,0,37.9,1798,1828
0,0,0,259.3,420,0,60.4,1709,1752
0,0,0,305.4,440,0,88.4,1659,1693
0,0,0,296.4,460,0,83.5,1664,1702
0,0,0,331.5,480,0,81.9,1673,1712
0,0,0,235.7,500,0,245.6,1122,1232
0,0,0,256.6,520,0,227.9,1145,1243
0,0,0,258.7,540,0,186.1,1257,1325
0,0,0,241.5,560,0,179.6,1121,1226
0,0,0,295.1,580,0,189.0,1238,1314
0,0,0,264.1,600,0,241.4,1036,1149
0,0,0,258.7,620,0,229.8,994,1098
0,0,0,264.7,640,0,246.2,967,1097
0,0,0,259.4,660,0,243.5,935,1057
0,0,0,252.0,680,0,268.6,848,998
0,0,0,239.4,700,0,277.4,799,923
0,0,0,247.0,720,0,250.8,783,939
0,0,0,229.2,740,0,287.1,696,849
0,0,0,201.0,760,0,327.5,554,737
0,0,0,102.8,780,0,277.0,225,368
0,0,0,205.8,800,0,389.3,505,727
0,0,0,179.7,820,0,327.8,431,621
0,0,0,183.9,840,0,356.8,415,625
0,0,0,197.9,860,0,330.5,462,665
0,0,0,193.6,880,0,345.2,406,642
0,0,0,175.1,900,0,377.9,333,567
0,0,0,207.2,920,0,292.6,433,661
0,0,0,175.6,940,0,380.0,322,553
0,0,0,183.1,960,0,383.2,365,569
0,0,0,233.6,980,0,335.6,549,717
0,0,0,475.6,1000,0,45.9,1923,1932
