Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,12.0,19.0,19.0,2.3,2000,20.0,9.0,0,19.0,34.0,21.0,1.0,0,20.0,11.0,20.0,8.0,0,2000,2.0,19.0,20,20.0
1.0,0,44.0,1.0,242.0,39.0,39.0,14.9,2000,40.0,103.0,0,39.0,492.0,45.0,2.0,0,44.0,170.0,40.0,33.0,0,2000,4.0,39.0,40,40.0
3.0,0,71.0,1.0,956.0,59.0,59.0,42.0,1978,63.0,305.0,0,60.0,999.0,72.0,5.0,0,71.0,855.0,57.6,10.0,0,1850,6.0,55.0,60,65.0
4.0,0,83.0,2.0,590.0,79.0,79.0,16.8,1986,80.0,15.0,0,79.0,999.0,84.0,5.0,0,83.0,150.0,77.2,9.0,0,1918,6.0,79.0,80,81.0
4.0,0,102.0,2.0,519.0,99.0,99.0,16.3,2000,101.0,20.0,0,99.0,788.0,103.0,5.0,0,102.0,238.0,96.2,10.0,0,1985,6.0,99.0,100,102.0
5.0,0,121.0,4.0,243.0,119.0,119.0,14.3,1997,121.0,16.0,0,120.0,983.0,122.0,7.0,0,121.0,128.0,119.8,11.0,0,1981,7.0,119.0,120,121.0
6.0,0,144.0,4.0,203.0,139.0,139.0,12.0,2000,142.0,21.0,0,141.0,609.0,145.0,7.0,0,144.0,94.0,140.0,13.0,0,1995,8.0,138.0,140,144.0
7.0,0,164.0,4.0,235.0,159.0,160.0,12.0,2000,162.0,19.0,0,161.0,982.0,165.0,8.0,0,164.0,37.0,159.4,14.0,0,1996,9.0,158.0,160,164.0
7.0,0,186.0,4.0,70.0,179.0,182.0,9.7,2000,182.0,17.0,0,182.0,970.0,187.0,8.0,0,186.0,27.0,180.0,12.0,0,2000,9.0,179.0,180,186.0
7.0,0,208.0,5.0,717.0,201.0,201.0,20.9,2000,203.0,18.0,0,201.0,985.0,209.0,8.0,0,208.0,118.0,199.9,14.0,0,1993,10.0,197.0,200,208.0
8.0,0,223.0,6.0,731.0,219.0,220.0,21.5,1998,223.0,25.0,0,222.0,984.0,224.0,10.0,0,223.0,138.0,219.8,16.0,0,1982,12.0,219.0,220,223.0
10.0,0,241.0,7.0,233.0,234.0,234.0,14.3,1981,241.0,24.0,0,237.0,995.0,242.0,12.0,0,241.0,42.0,237.6,19.0,0,1961,13.0,233.0,240,241.0
11.0,0,261.0,8.0,537.0,253.0,257.0,19.0,1979,261.0,27.0,0,257.0,889.0,262.0,13.0,0,261.0,40.0,257.0,20.0,0,1954,15.0,253.0,260,261.0
12.0,0,282.0,8.0,65.0,276.0,279.0,16.7,1974,282.0,32.0,0,279.0,964.0,283.0,14.0,0,282.0,52.0,251.7,23.0,0,1941,16.0,273.0,280,282.0
17.0,0,296.0,12.0,379.0,294.0,294.0,23.8,1967,296.0,44.0,0,296.0,941.0,297.0,23.0,0,296.0,62.0,230.4,37.0,0,1928,26.0,271.0,300,296.0
22.0,0,315.0,15.0,278.0,308.0,315.0,27.2,1942,315.0,74.0,0,315.0,994.0,316.0,28.0,0,315.0,91.0,309.9,49.0,0,1902,34.0,301.0,320,315.0
24.0,0,335.0,14.0,99.0,323.0,331.0,25.9,1938,335.0,76.0,0,331.0,999.0,336.0,34.0,0,335.0,92.0,298.1,61.0,0,1891,38.0,305.0,340,335.0
30.0,0,349.0,15.0,278.0,327.0,336.0,35.3,1914,349.0,104.0,0,336.0,754.0,350.0,49.0,0,349.0,232.0,292.2,78.0,0,1863,59.0,316.0,360,349.0
34.0,0,368.0,20.0,219.0,348.0,350.0,32.1,1929,368.0,78.0,0,350.0,317.0,369.0,47.0,0,368.0,93.0,309.3,67.0,0,1870,54.0,346.0,380,368.0
68.0,0,404.0,47.0,520.0,366.0,366.0,70.3,1832,404.0,284.0,0,366.0,988.0,405.0,78.0,0,404.0,331.0,307.4,132.0,0,1768,87.0,347.0,400,404.0
62.0,0,402.0,46.0,372.0,378.0,378.0,64.8,1838,402.0,263.0,0,378.0,734.0,402.0,72.0,0,402.0,335.0,318.3,95.0,0,1804,77.0,356.0,420,402.0
78.0,0,456.0,55.0,727.0,342.0,342.0,107.3,1674,456.0,376.0,0,342.0,999.0,457.0,102.0,0,456.0,643.0,300.6,313.0,0,1612,128.0,300.0,440,456.0
78.0,0,449.0,62.0,636.0,419.0,419.0,97.2,1727,449.0,340.0,0,419.0,978.0,450.0,91.0,0,449.0,553.0,323.2,279.0,0,1676,109.0,340.0,460,449.0
72.0,0,438.0,58.0,722.0,434.0,434.0,91.5,1702,438.0,325.0,0,434.0,971.0,439.0,83.0,0,438.0,539.0,330.6,260.0,0,1677,91.0,362.0,480,438.0
80.0,0,468.0,64.0,675.0,444.0,444.0,111.9,1674,468.0,351.0,0,468.0,834.0,469.0,99.0,0,468.0,588.0,335.7,302.0,0,1620,123.0,353.0,500,468.0
145.0,0,417.0,104.0,787.0,374.0,374.0,174.6,1433,417.0,574.0,0,417.0,853.0,418.0,272.0,0,417.0,709.0,295.2,373.0,0,1384,312.0,290.0,520,417.0
109.0,0,446.0,87.0,760.0,389.0,389.0,149.7,1493,446.0,359.0,0,446.0,875.0,447.0,153.0,0,446.0,617.0,317.5,327.0,0,1439,289.0,338.0,540,446.0
133.0,0,466.0,92.0,827.0,304.0,304.0,179.6,1364,466.0,601.0,0,466.0,969.0,467.0,293.0,0,466.0,758.0,299.5,367.0,0,1284,315.0,291.0,560,466.0
