Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,24.0,1.0,8.0,19.0,19.0,2.6,2000,19.0,1.0,0,19.0,547.0,25.0,1.0,0,20.0,4.0,20.0,1.0,0,2000,1.0,19.0,20,19.0
1.0,0,41.0,1.0,11.0,39.0,39.0,1.8,2000,39.0,5.0,0,39.0,21.0,42.0,1.0,0,41.0,8.0,40.0,3.0,0,2000,1.0,39.0,40,39.0
2.0,0,60.0,1.0,297.0,59.0,59.0,9.7,1976,59.0,8.0,0,59.0,996.0,60.0,3.0,0,60.0,13.0,57.7,6.0,0,1945,4.0,59.0,60,59.0
2.0,0,80.0,1.0,13.0,79.0,79.0,4.4,1993,79.0,8.0,0,79.0,992.0,80.0,4.0,0,80.0,11.0,74.4,7.0,0,1962,4.0,79.0,80,79.0
4.0,0,102.0,2.0,319.0,99.0,99.0,12.1,1978,100.0,11.0,0,99.0,996.0,103.0,5.0,0,102.0,18.0,91.3,8.0,0,1954,6.0,99.0,100,100.0
4.0,0,120.0,2.0,18.0,119.0,119.0,10.4,1983,120.0,10.0,0,119.0,991.0,121.0,5.0,0,120.0,13.0,111.4,8.0,0,1956,6.0,119.0,120,120.0
4.0,0,141.0,3.0,16.0,139.0,139.0,6.7,1997,140.0,11.0,0,139.0,987.0,142.0,6.0,0,141.0,15.0,130.9,8.0,0,1966,6.0,138.0,140,141.0
8.0,0,160.0,4.0,652.0,159.0,159.0,42.3,1863,159.0,265.0,0,159.0,998.0,161.0,11.0,0,160.0,466.0,131.4,130.0,0,1801,16.0,151.0,160,160.0
5.0,0,181.0,4.0,23.0,180.0,180.0,11.0,2000,180.0,12.0,0,180.0,996.0,182.0,7.0,0,181.0,16.0,179.8,10.0,0,1993,7.0,179.0,180,181.0
6.0,0,201.0,4.0,846.0,198.0,198.0,27.2,1994,201.0,14.0,0,198.0,1000.0,202.0,7.0,0,201.0,692.0,169.7,11.0,0,1970,8.0,198.0,200,201.0
6.0,0,220.0,4.0,24.0,219.0,219.0,7.0,1981,220.0,14.0,0,219.0,996.0,221.0,7.0,0,220.0,20.0,188.8,11.0,0,1927,8.0,212.0,220,220.0
6.0,0,243.0,5.0,20.0,237.0,238.0,6.6,1949,239.0,15.0,0,238.0,979.0,244.0,8.0,0,243.0,18.0,189.3,11.0,0,1880,8.0,228.0,240,243.0
6.0,0,262.0,5.0,20.0,254.0,260.0,7.1,1937,262.0,14.0,0,260.0,984.0,263.0,8.0,0,262.0,18.0,202.9,11.0,0,1869,8.0,252.0,260,262.0
7.0,0,283.0,5.0,21.0,277.0,277.0,6.8,1932,283.0,16.0,0,278.0,29.0,284.0,8.0,0,283.0,19.0,215.2,13.0,0,1874,9.0,271.0,280,283.0
8.0,0,301.0,6.0,27.0,298.0,298.0,7.8,1915,301.0,19.0,0,299.0,45.0,302.0,10.0,0,301.0,23.0,221.3,15.0,0,1870,11.0,287.0,300,301.0
9.0,0,321.0,7.0,131.0,315.0,318.0,15.4,1903,321.0,66.0,0,318.0,484.0,322.0,12.0,0,321.0,101.0,247.3,35.0,0,1846,14.0,314.0,320,321.0
8.0,0,341.0,7.0,186.0,333.0,340.0,16.6,1871,341.0,37.0,0,340.0,1000.0,342.0,11.0,0,341.0,102.0,249.5,21.0,0,1818,12.0,330.0,340,341.0
