11.11.11.112:OutBytes,172.16.116.116:Conns,11.11.11.112:InPkts,11.11.11.112:Conns,172.16.116.116:InPkts,11.11.11.112:InBytes,11.11.11.112:OutPkts,172.16.116.116:InBytes,172.16.116.116:OutBytes,172.16.116.116:OutPkts
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,1,7,1,7,455,0,455,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
0,2,14,2,14,894,0,894,0,0
