11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,90,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,0,0,0,100,0,100,100,1
0,0,0,0,1,0,1,100,0,100,100,1
1,1,0,0,0,1,1,100,0,100,100,1
1,1,0,0,0,0,1,100,1,100,100,1
1,1,1,0,1,2,1,100,1,100,89,1
2,2,2,0,1,2,1,100,2,100,89,1
1,2,3,0,1,1,1,100,3,100,89,1
1,3,4,0,1,1,1,100,4,100,89,1
2,4,4,0,1,1,1,100,6,100,89,1
0,5,6,0,0,2,1,100,6,100,89,1
1,5,6,0,1,0,1,100,8,100,89,1
2,6,6,0,0,2,1,100,8,100,89,1
1,7,8,0,0,1,1,100,10,44,89,1
1,7,9,0,1,0,1,40,11,44,89,1
0,8,12,0,1,0,1,40,12,44,54,1
1,9,11,0,1,1,1,40,12,44,54,1
1,10,12,0,1,0,1,40,13,44,54,1
1,10,13,0,2,1,1,40,13,44,54,1
2,11,13,0,2,1,1,40,14,44,54,1
0,13,15,0,0,0,1,40,15,44,54,1
1,14,15,0,1,1,1,40,15,44,54,1
2,14,16,0,2,1,1,40,15,44,54,1
1,15,17,0,1,1,1,40,16,44,54,1
0,16,19,0,1,1,1,66,17,49,54,1
2,16,18,0,1,2,1,66,17,49,33,1
0,17,20,0,1,2,1,66,19,49,33,1
0,18,20,0,0,1,1,66,20,49,33,1
1,18,20,0,1,1,1,66,21,49,33,1
2,20,20,0,0,2,1,66,23,49,33,1
0,19,22,0,1,0,1,66,25,49,33,1
1,20,22,0,1,1,1,66,25,49,33,1
1,21,23,0,1,1,1,66,26,49,33,1
0,22,24,0,0,2,1,66,27,49,33,1
0,22,25,0,0,0,1,66,29,66,33,1
2,22,24,0,1,1,1,37,30,66,60,1
1,23,25,0,3,1,1,37,30,66,60,1
0,25,26,0,1,0,1,37,31,66,60,1
2,27,26,0,0,1,1,37,31,66,60,1
2,27,27,0,2,1,1,37,32,66,60,1
0,29,29,0,0,0,1,37,33,66,60,1
1,29,29,0,1,1,1,37,33,66,60,1
1,30,30,0,1,1,1,37,34,66,60,1
1,31,31,0,1,0,1,37,35,66,60,1
1,32,32,0,0,0,1,37,35,66,60,1
1,33,32,0,1,2,1,63,35,33,60,1
1,33,33,0,2,2,1,63,36,33,54,1
0,35,34,0,0,0,1,63,38,33,54,1
1,35,34,0,1,1,1,63,38,33,54,1
1,36,34,0,1,1,1,63,39,33,54,1
1,37,36,0,1,0,1,63,40,33,54,1
0,38,37,0,0,1,1,63,40,33,54,1
1,38,37,0,2,2,1,63,40,33,54,1
1,40,38,0,0,2,1,63,42,33,54,1
0,40,39,0,0,0,1,63,44,33,54,1
1,40,39,0,1,1,1,63,45,55,54,1
2,41,40,0,1,1,1,77,45,55,60,1
0,41,42,0,1,1,1,77,46,55,60,1
0,42,42,0,1,1,1,77,47,55,60,1
0,43,43,0,1,1,1,77,48,55,60,1
0,44,44,0,1,1,1,77,49,55,60,1
0,45,44,0,0,0,1,77,50,55,60,1
1,45,44,0,2,2,1,77,50,55,60,1
1,47,45,0,1,1,1,77,52,55,60,1
0,48,46,0,0,0,1,77,53,55,60,1
1,48,46,0,1,2,1,77,53,77,60,1
2,50,47,0,1,1,1,44,54,77,60,1
1,50,48,0,1,0,1,44,55,77,60,1
2,51,49,0,1,0,1,44,55,77,60,1
1,51,50,0,2,1,1,44,55,77,60,1
2,53,51,0,1,0,1,44,56,77,60,1
0,54,53,0,0,0,1,44,56,77,60,1
2,54,53,0,2,1,1,44,56,77,60,1
2,56,55,0,1,0,1,44,57,77,60,1
0,57,57,0,0,0,1,44,57,77,60,1
1,57,58,0,1,1,1,44,57,77,60,1
1,58,58,1,2,0,1,90,58,37,60,1
0,59,59,1,1,1,1,90,58,37,60,1
1,60,59,1,1,1,1,90,59,37,60,1
0,61,60,1,1,1,1,90,60,37,60,1
0,62,61,1,0,2,1,90,61,37,60,1
0,62,61,1,1,1,1,90,63,37,60,1
0,63,62,1,1,1,1,90,64,37,60,1
0,63,63,1,0,2,1,90,65,37,60,1
0,63,63,1,0,0,1,90,66,37,60,1
0,63,63,1,1,1,1,90,67,37,60,1
2,64,62,1,0,1,1,90,67,79,60,1
0,64,64,1,0,0,1,50,66,79,72,1
2,64,63,1,1,1,1,50,66,79,72,1
0,64,63,1,1,1,1,50,64,79,72,1
1,64,63,1,1,1,1,50,64,79,72,1
1,65,64,1,1,0,1,50,66,79,72,1
1,65,63,1,1,0,1,50,64,79,72,1
0,65,66,1,0,0,1,50,64,79,72,1
2,65,63,1,2,1,1,50,63,79,72,1
1,65,65,1,1,0,1,50,63,79,72,1
0,66,64,1,1,1,1,70,62,55,72,1
2,66,63,1,0,1,1,70,63,55,55,1
0,65,65,1,1,2,1,70,64,55,55,1
0,64,64,1,0,0,1,70,65,55,55,1
1,64,63,1,1,2,1,70,64,55,55,1
1,64,63,1,1,1,1,70,66,55,55,1
1,63,62,1,1,0,1,70,67,55,55,1
1,63,62,1,1,1,1,70,66,55,55,1
1,64,63,1,1,2,1,70,67,55,55,1
0,64,62,1,0,2,1,70,66,55,55,1
1,63,62,1,1,1,1,54,66,55,77,1
0,64,63,1,2,0,1,54,67,55,77,1
1,65,63,1,0,1,1,54,65,55,77,1
0,65,63,1,0,0,1,54,64,55,77,1
1,64,63,1,2,1,1,54,63,55,77,1
2,64,64,1,1,2,1,54,64,55,77,1
0,64,64,1,0,0,1,54,64,55,77,1
1,64,65,1,2,1,1,54,63,55,77,1
1,67,65,1,1,1,1,54,63,55,77,1
