11.11.11.112:ActiveConn,11.11.11.112:Weight,11.11.11.112:InActConn
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
2,1,0
3,1,0
3,1,0
5,1,0
4,1,1
4,1,1
4,1,1
3,1,2
1,1,4
1,1,5
1,1,6
1,1,6
1,1,6
1,1,6
2,1,6
2,1,6
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,9
2,1,8
2,1,8
3,1,8
3,1,8
4,1,9
4,1,9
4,1,9
3,1,10
3,1,10
2,1,11
1,1,12
0,1,13
0,1,13
1,1,13
2,1,13
1,1,14
1,1,14
0,1,15
1,1,15
1,1,15
1,1,15
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
0,1,16
1,1,17
2,1,16
2,1,17
2,1,17
4,1,17
3,1,18
3,1,18
3,1,18
1,1,20
1,1,20
1,1,20
1,1,20
2,1,20
2,1,21
2,1,21
1,1,22
1,1,22
1,1,23
1,1,23
1,1,23
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
