11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,62,0,49,98,99
0,0,0,0,0,0,0,62,0,49,99,99
0,0,0,0,0,0,0,62,0,49,99,99
0,0,0,0,0,0,0,62,0,49,99,99
0,0,0,0,0,0,0,62,0,95,99,99
0,0,0,0,0,0,0,62,0,95,99,99
0,0,0,0,0,0,0,62,0,95,99,99
0,0,0,0,0,0,0,99,0,95,99,99
0,0,0,0,0,0,0,99,0,95,99,99
0,0,0,0,0,0,0,99,0,95,99,99
0,0,0,0,0,0,0,99,0,95,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,95
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,94,0,99,99,99
0,0,0,0,0,0,0,94,0,99,99,99
0,0,0,0,0,0,0,94,0,99,99,99
0,0,0,0,0,0,0,94,0,99,99,99
0,0,0,0,0,0,0,94,0,99,99,99
0,0,0,0,0,0,0,94,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,12,0,99,99,99
0,0,0,0,0,0,0,12,0,99,99,99
0,0,0,0,0,0,0,12,0,99,99,99
0,0,0,0,0,0,0,12,0,99,99,99
0,0,0,0,0,0,0,12,0,99,99,99
0,0,0,0,0,0,0,12,0,99,99,99
0,0,0,0,0,0,0,12,0,75,99,99
0,0,0,0,0,0,0,12,0,75,99,99
0,0,0,0,0,0,0,99,0,75,99,99
0,0,0,0,0,0,0,99,0,75,99,99
0,0,0,0,0,0,0,99,0,75,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,93,99,99
0,0,0,0,0,0,0,99,0,93,99,99
0,0,0,0,0,0,0,99,0,93,99,99
0,0,0,0,0,0,0,98,0,93,99,99
0,0,0,0,0,0,0,98,0,93,99,99
0,0,0,0,0,0,0,98,0,93,73,99
0,0,0,0,0,0,0,98,0,93,73,99
0,0,0,0,0,0,0,98,0,93,73,99
0,0,0,0,0,0,0,98,0,93,73,99
0,0,0,0,0,0,0,98,0,99,73,99
0,0,0,0,0,0,0,99,0,99,73,99
0,0,0,0,0,0,0,99,0,99,73,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,0,99,0,99,99,99
0,0,0,0,0,0,1,99,0,99,99,99
0,0,0,0,0,0,1,99,0,99,99,99
0,0,0,0,1,0,1,99,0,99,93,99
0,0,1,1,1,1,0,99,0,99,93,99
0,0,1,1,1,1,1,99,0,99,93,24
1,1,0,1,1,1,1,99,0,99,93,24
1,1,0,2,1,0,0,99,1,99,93,24
1,1,0,2,1,0,0,99,1,99,93,24
0,2,1,2,0,1,0,49,1,99,93,24
0,2,1,2,0,1,0,49,1,99,93,24
0,2,1,2,0,0,0,49,2,99,75,24
1,2,1,2,0,0,0,49,2,99,75,24
1,2,1,2,0,0,0,49,2,99,75,24
1,2,1,2,0,0,0,49,2,99,75,99
0,2,2,2,0,0,0,49,2,99,75,99
0,2,2,2,0,0,0,49,2,3,75,99
0,2,2,2,0,0,0,99,2,3,75,99
0,2,2,2,0,0,0,99,2,3,99,99
0,2,2,2,0,0,0,99,2,3,99,99
0,2,2,2,0,0,0,99,2,3,99,99
0,2,2,2,0,0,0,99,2,3,99,99
0,2,2,3,0,0,0,99,2,3,99,99
0,2,2,2,0,0,1,99,2,3,99,99
0,2,2,2,0,0,1,99,2,3,99,99
0,2,2,2,1,0,1,99,2,99,99,99
0,2,2,3,1,0,0,99,2,99,99,99
0,2,2,3,1,1,0,99,2,99,99,99
1,3,2,3,0,1,0,99,2,99,99,99
1,3,2,3,0,0,1,99,3,99,99,99
1,3,2,3,0,0,1,99,3,99,2,99
0,3,3,3,0,1,1,99,3,99,2,99
0,3,3,4,0,1,0,99,3,99,2,3
0,3,4,4,0,0,0,99,4,99,2,3
0,3,4,4,0,0,0,99,4,93,2,3
1,3,3,4,0,0,0,99,4,93,2,3
1,3,3,4,0,0,0,99,4,93,2,3
0,3,4,4,0,1,0,99,4,93,2,3
0,3,4,4,0,1,0,99,4,93,2,3
0,3,4,4,0,1,0,99,4,93,99,3
0,3,4,4,0,1,0,99,4,93,99,3
0,3,4,4,0,0,0,99,5,93,99,78
0,3,4,4,0,0,0,99,5,24,99,78
