11.11.11.112:ActiveConn,11.11.11.112:InActConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,6,0,99
0,0,0,6,0,99
0,0,0,6,0,99
0,0,0,6,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,73,0,99
0,0,0,73,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,74
0,0,0,99,0,74
0,0,0,99,0,74
0,0,0,99,0,74
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,24
0,0,0,99,0,24
0,0,0,99,0,24
0,0,0,99,0,24
0,0,0,99,0,24
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,98
0,0,0,98,0,98
0,0,0,98,0,98
0,0,0,98,0,98
0,0,0,98,0,99
0,0,0,98,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,62
0,0,0,99,0,62
0,0,0,99,0,62
0,0,0,99,0,62
0,0,0,99,0,62
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,56,0,99
0,0,0,56,0,99
0,0,0,56,0,99
0,0,0,56,0,98
0,0,0,56,0,98
0,0,0,55,0,98
0,0,0,55,0,98
0,0,0,55,0,98
0,0,0,55,0,87
0,0,0,55,0,87
0,0,0,49,0,87
0,0,0,49,0,87
0,0,0,49,0,87
0,0,0,99,0,87
0,0,0,99,0,87
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,99
0,0,0,99,0,74
0,0,0,99,0,74
0,0,0,99,0,74
0,0,0,99,0,74
0,0,0,98,0,3
0,0,0,98,0,3
0,0,0,98,0,99
0,0,0,62,0,99
0,0,0,62,0,99
