11.11.11.112:ActiveConn,11.11.11.112:InActConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,1
1,0,1,1,0,1
1,0,2,1,0,1
2,0,3,1,0,1
2,1,3,1,0,1
2,1,3,1,0,1
2,1,2,1,1,1
2,1,3,1,1,1
1,2,2,1,2,1
0,3,1,1,3,1
0,4,0,1,4,1
0,4,0,1,4,1
1,3,0,1,4,1
1,3,0,1,4,1
0,4,0,1,5,1
1,4,2,1,4,1
1,4,2,1,4,1
3,5,1,1,5,1
3,5,0,1,6,1
2,6,0,1,6,1
2,6,1,1,6,1
2,6,1,1,6,1
1,7,1,1,6,1
0,8,1,1,7,1
0,8,1,1,7,1
0,8,1,1,7,1
0,8,1,1,7,1
0,8,0,1,8,1
0,8,0,1,8,1
1,8,1,1,8,1
1,8,2,1,8,1
1,8,2,1,8,1
2,8,1,1,9,1
1,9,3,1,9,1
1,9,2,1,10,1
0,10,2,1,10,1
1,10,1,1,11,1
1,10,0,1,12,1
1,10,1,1,12,1
1,10,1,1,12,1
1,10,1,1,12,1
0,11,0,1,13,1
0,11,0,1,13,1
0,11,0,1,13,1
0,11,0,1,13,1
1,11,1,1,13,1
2,11,1,1,13,1
2,11,2,1,13,1
3,12,2,1,13,1
3,12,2,1,13,1
3,12,1,1,14,1
1,14,2,1,14,1
1,14,1,1,15,1
0,15,1,1,15,1
1,15,0,1,16,1
1,15,0,1,16,1
1,15,0,1,16,1
0,16,0,1,16,1
0,16,0,1,16,1
0,16,0,1,16,1
1,16,1,1,17,1
2,16,2,1,16,1
2,17,2,1,17,1
2,17,1,1,18,1
2,17,1,1,19,1
0,19,1,1,19,1
0,19,0,1,20,1
1,19,0,1,20,1
1,19,0,1,20,1
1,19,0,1,20,1
0,20,0,1,20,1
0,20,0,1,20,1
0,20,0,1,20,1
0,20,1,1,20,1
1,20,2,1,20,1
1,20,2,1,20,1
2,20,3,1,20,1
2,21,2,1,21,1
2,21,1,1,22,1
1,22,1,1,23,1
0,23,1,1,23,1
0,23,1,1,23,1
1,23,0,1,24,1
1,23,0,1,24,1
1,23,0,1,24,1
0,24,0,1,24,1
0,24,0,1,24,1
1,24,2,1,24,1
1,24,2,1,24,1
2,25,2,1,25,1
2,25,2,1,25,1
2,25,1,1,26,1
0,27,1,1,27,1
0,27,1,1,27,1
0,27,1,1,27,1
0,27,0,1,28,1
1,27,0,1,28,1
1,27,0,1,28,1
1,27,0,1,28,1
0,28,0,1,28,1
0,28,0,1,28,1
0,28,0,1,28,1
1,28,2,1,28,1
1,28,2,1,28,1
2,29,2,1,28,1
2,29,2,1,29,1
0,31,1,1,30,1
0,31,1,1,31,1
0,31,1,1,31,1
1,31,0,1,32,1
1,31,0,1,32,1
1,31,0,1,32,1
0,32,0,1,32,1
0,32,0,1,32,1
0,32,0,1,32,1
1,32,1,1,32,1
1,32,2,1,32,1
1,32,2,1,32,1
3,32,2,1,33,1
2,33,2,1,33,1
2,33,2,1,33,1
1,34,2,1,34,1
0,35,1,1,35,1
0,35,1,1,35,1
1,35,0,1,36,1
1,35,0,1,36,1
1,35,0,1,36,1
1,35,0,1,36,1
0,36,0,1,36,1
0,36,0,1,36,1
1,36,1,1,36,1
1,36,2,1,36,1
2,36,2,1,36,1
2,37,1,1,37,1
2,37,2,1,37,1
2,37,2,1,37,1
1,38,2,1,37,1
1,39,0,1,39,1
1,39,0,1,39,1
1,39,0,1,39,1
0,40,0,1,39,1
0,40,1,1,39,1
0,40,1,1,39,1
0,40,1,1,39,1
0,40,1,1,39,1
0,40,0,1,40,1
0,40,0,1,40,1
1,40,1,1,40,1
1,40,2,1,40,1
2,40,1,1,41,1
2,41,2,1,41,1
2,41,2,1,41,1
1,42,1,1,42,1
1,43,0,1,43,1
0,44,1,1,43,1
0,44,1,1,43,1
0,44,1,1,43,1
0,44,0,1,44,1
0,44,0,1,44,1
0,44,0,1,44,1
0,45,1,1,44,1
1,44,2,1,44,1
1,44,2,1,44,1
2,44,2,1,45,1
3,44,2,1,45,1
2,45,1,1,46,1
1,46,1,1,47,1
1,46,1,1,47,1
1,46,1,1,47,1
1,47,0,1,48,1
1,47,0,1,48,1
1,47,0,1,48,1
0,48,0,1,48,1
0,48,0,1,48,1
0,48,0,1,48,1
0,48,1,1,48,1
1,48,1,1,48,1
1,48,1,1,48,1
1,48,1,1,48,1
2,49,2,1,49,1
2,49,2,1,49,1
0,51,2,1,50,1
0,51,1,1,51,1
1,51,0,1,52,1
1,51,0,1,52,1
1,51,0,1,52,1
0,52,0,1,52,1
0,52,0,1,52,1
0,52,0,1,52,1
0,52,0,1,52,1
1,52,1,1,52,1
1,52,2,1,52,1
2,52,2,1,52,1
2,53,2,1,53,1
2,53,2,1,53,1
2,53,2,1,53,1
2,53,2,1,53,1
1,54,1,1,55,1
0,55,1,1,55,1
0,55,1,1,55,1
1,55,0,1,56,1
1,55,0,1,56,1
1,55,0,1,56,1
0,56,0,1,56,1
0,56,0,1,56,1
0,56,0,1,56,1
1,56,1,1,56,1
1,56,2,1,56,1
2,56,2,1,56,1
3,56,2,1,57,1
