11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.115:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.115:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight,11.11.11.115:Weight
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,0,0,0,0,48,0,71,29,46
0,0,0,1,0,0,0,48,0,71,29,46
0,1,0,0,0,0,1,48,0,71,29,46
2,1,0,1,0,1,1,48,0,71,29,46
1,1,2,1,1,1,1,48,0,71,29,46
1,2,3,2,0,1,1,48,0,71,29,46
1,3,4,3,0,2,1,48,0,71,29,46
0,3,5,4,1,2,0,48,0,71,29,46
0,4,7,4,0,2,1,48,0,71,29,46
2,4,6,4,1,2,2,48,0,71,29,46
1,5,8,6,1,2,0,48,0,71,29,46
1,5,8,7,1,2,0,48,0,71,29,46
4,7,9,6,0,2,1,48,0,71,29,46
4,6,9,8,2,2,0,48,0,71,29,46
1,8,12,9,1,2,0,48,0,71,29,46
2,9,13,10,0,2,1,43,0,73,29,46
1,10,15,11,0,2,0,43,0,73,36,46
0,10,16,12,0,2,0,43,0,73,36,51
2,10,16,12,1,2,1,43,0,73,36,51
1,11,18,14,1,2,0,43,0,73,36,51
0,12,19,14,0,2,1,43,0,73,36,51
1,12,19,15,1,2,1,43,0,73,36,51
2,13,20,16,0,2,1,43,0,73,36,51
0,13,22,17,1,2,0,43,0,73,36,51
0,14,24,17,0,2,0,43,0,73,36,51
1,14,24,18,1,2,1,43,0,73,36,51
1,15,25,19,1,2,0,43,0,73,36,51
1,16,26,20,0,2,0,43,0,73,36,51
1,16,27,21,1,2,1,43,0,73,36,51
0,17,29,22,1,2,0,43,0,73,36,51
1,18,29,22,0,2,0,43,0,73,36,51
2,18,30,22,1,2,1,43,0,73,36,51
2,19,31,23,1,2,1,43,0,73,36,51
1,19,33,24,1,2,0,43,0,73,36,51
1,20,34,24,0,2,1,43,0,73,36,51
2,20,35,25,1,2,1,43,0,73,36,51
0,21,37,26,0,2,1,43,0,73,36,51
1,21,38,27,0,2,0,43,0,73,36,51
1,21,39,27,1,2,2,43,0,73,36,51
1,22,40,29,1,2,0,43,0,73,36,51
1,22,41,29,1,2,0,43,0,73,36,51
1,23,42,29,1,2,1,43,0,73,36,51
2,23,43,30,1,2,1,43,0,73,36,51
1,24,45,31,0,2,1,43,0,73,36,51
0,24,46,32,0,2,1,43,0,73,36,51
1,24,47,33,1,2,1,43,0,73,36,51
1,25,49,34,0,2,0,43,0,73,36,51
0,25,50,34,0,2,1,43,0,73,36,51
2,25,50,35,1,2,1,43,0,73,36,51
2,26,51,36,0,2,1,43,0,73,36,51
0,26,53,37,1,2,1,43,0,73,36,51
1,27,53,38,1,2,1,43,0,73,36,51
2,27,54,39,1,2,1,43,0,73,36,51
0,28,56,40,1,2,0,43,0,73,36,51
