Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.1,2000,2000
0,0,0,40.0,40,0,1.4,2000,2000
0,0,0,60.0,60,0,2.0,2000,2000
0,0,0,80.0,80,0,2.8,2000,2000
0,0,0,100.0,100,0,3.2,2000,2000
0,0,0,120.0,120,0,3.4,2000,2000
0,0,0,140.0,140,0,3.6,2000,2000
0,0,0,160.0,160,0,4.0,2000,2000
0,0,0,179.9,180,0,5.3,2000,2000
0,0,0,198.6,200,0,14.3,1986,1986
0,0,0,219.9,220,0,5.4,2000,2000
0,0,0,239.6,240,0,5.8,2000,2000
0,0,0,259.5,260,0,6.4,2000,2000
0,0,0,279.8,280,0,7.3,2000,2000
0,0,0,299.6,300,0,7.7,2000,2000
0,0,0,319.6,320,0,9.1,2000,2000
0,0,0,339.4,340,0,14.6,1999,1999
0,0,0,359.5,360,0,12.2,2000,2000
0,0,0,305.2,380,0,53.4,1896,1898
0,0,0,277.4,400,0,111.5,1609,1659
0,0,0,287.0,420,0,141.3,1611,1652
0,0,0,223.5,440,0,256.7,1101,1241
0,0,0,244.5,460,0,204.6,1201,1305
0,0,0,223.6,480,0,247.7,1062,1155
0,0,0,226.4,500,0,263.7,986,1131
0,0,0,226.9,520,0,234.6,986,1097
0,0,0,237.2,540,0,250.2,986,1117
0,0,0,222.1,560,0,257.8,864,1015
0,0,0,222.6,580,0,245.2,858,990
0,0,0,241.0,600,0,255.6,919,1043
0,0,0,262.9,620,0,233.6,999,1118
0,0,0,264.8,640,0,226.1,948,1093
0,0,0,247.2,660,0,251.8,859,996
0,0,0,170.3,680,0,136.4,554,670
0,0,0,241.4,700,0,258.0,808,931
0,0,0,243.2,720,0,269.1,759,920
0,0,0,241.6,740,0,279.5,729,895
0,0,0,221.2,760,0,270.4,636,803
0,0,0,224.9,780,0,287.7,611,804
0,0,0,218.7,800,0,281.7,591,767
0,0,0,215.8,820,0,302.6,570,742
0,0,0,201.2,840,0,322.2,510,680
0,0,0,151.6,860,0,253.4,311,504
0,0,0,166.4,880,0,368.6,373,546
0,0,0,181.7,900,0,327.7,415,585
0,0,0,177.4,920,0,410.7,349,563
0,0,0,167.2,940,0,381.8,309,523
0,0,0,178.4,960,0,311.9,408,550
0,0,0,189.6,980,0,340.5,379,577
0,0,0,177.3,1000,0,343.1,317,532
