Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,4.0,19.0,19.0,0.8,2000,19.0,1.0,0,19.0,12.0,21.0,1.0,0,20.0,2.0,20.0,1.0,0,2000,1.0,19.0,20,19.0
1.0,0,39.0,1.0,8.0,39.0,39.0,1.3,2000,39.0,4.0,0,39.0,15.0,40.0,1.0,0,39.0,6.0,40.0,2.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,10.0,59.0,59.0,2.2,2000,59.0,7.0,0,59.0,16.0,61.0,2.0,0,60.0,8.0,60.0,5.0,0,2000,3.0,59.0,60,60.0
3.0,0,80.0,1.0,12.0,79.0,79.0,2.9,2000,79.0,8.0,0,79.0,17.0,81.0,4.0,0,80.0,11.0,80.0,6.0,0,2000,4.0,79.0,80,79.0
3.0,0,100.0,2.0,14.0,99.0,99.0,3.4,2000,100.0,9.0,0,99.0,24.0,101.0,4.0,0,100.0,12.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
4.0,0,120.0,2.0,15.0,119.0,119.0,3.9,2000,120.0,10.0,0,120.0,22.0,121.0,5.0,0,120.0,12.0,120.0,8.0,0,2000,6.0,119.0,120,120.0
4.0,0,140.0,3.0,14.0,140.0,140.0,4.2,2000,140.0,10.0,0,140.0,26.0,141.0,5.0,0,140.0,12.0,139.9,8.0,0,2000,6.0,139.0,140,140.0
4.0,0,160.0,3.0,16.0,159.0,159.0,4.6,2000,160.0,11.0,0,160.0,22.0,161.0,6.0,0,160.0,14.0,160.0,8.0,0,2000,7.0,159.0,160,160.0
5.0,0,182.0,4.0,26.0,179.0,179.0,5.7,2000,180.0,15.0,0,179.0,44.0,183.0,7.0,0,182.0,21.0,180.0,11.0,0,2000,8.0,179.0,180,182.0
7.0,0,203.0,4.0,290.0,198.0,202.0,16.2,1962,202.0,32.0,0,202.0,929.0,204.0,8.0,0,203.0,221.0,196.1,15.0,0,1961,9.0,197.0,200,203.0
6.0,0,221.0,4.0,19.0,219.0,220.0,6.1,2000,221.0,14.0,0,221.0,25.0,222.0,7.0,0,221.0,17.0,219.7,11.0,0,2000,8.0,218.0,220,221.0
7.0,0,242.0,5.0,19.0,240.0,240.0,6.2,2000,242.0,14.0,0,241.0,25.0,243.0,8.0,0,242.0,17.0,239.7,11.0,0,2000,8.0,239.0,240,242.0
7.0,0,264.0,5.0,20.0,260.0,261.0,6.8,2000,264.0,15.0,0,261.0,31.0,265.0,8.0,0,264.0,17.0,259.4,13.0,0,2000,9.0,258.0,260,264.0
8.0,0,287.0,6.0,26.0,279.0,282.0,7.9,2000,287.0,17.0,0,282.0,40.0,288.0,10.0,0,287.0,21.0,279.3,14.0,0,2000,11.0,279.0,280,287.0
9.0,0,301.0,7.0,25.0,298.0,298.0,8.5,2000,301.0,18.0,0,298.0,38.0,302.0,10.0,0,301.0,22.0,299.1,15.0,0,2000,12.0,298.0,300,301.0
12.0,0,320.0,8.0,104.0,318.0,318.0,14.5,2000,320.0,46.0,0,318.0,263.0,321.0,14.0,0,320.0,73.0,319.0,24.0,0,2000,16.0,316.0,320,320.0
15.0,0,352.0,10.0,109.0,338.0,339.0,17.7,1994,352.0,61.0,0,339.0,230.0,353.0,19.0,0,352.0,84.0,292.0,40.0,0,1994,22.0,333.0,340,352.0
21.0,0,371.0,14.0,131.0,361.0,361.0,25.5,1991,371.0,81.0,0,361.0,521.0,372.0,27.0,0,371.0,115.0,357.4,58.0,0,1991,34.0,358.0,360,371.0
27.0,0,386.0,16.0,342.0,375.0,375.0,40.7,1969,386.0,143.0,0,375.0,930.0,387.0,47.0,0,386.0,260.0,362.1,95.0,0,1966,61.0,373.0,380,386.0
93.0,0,372.0,73.0,678.0,325.0,325.0,107.2,1662,372.0,348.0,0,325.0,994.0,373.0,111.0,0,372.0,610.0,277.1,277.0,0,1603,126.0,310.0,400,372.0
62.0,0,374.0,44.0,718.0,373.0,373.0,81.7,1830,374.0,313.0,0,373.0,971.0,375.0,72.0,0,374.0,420.0,329.1,254.0,0,1820,87.0,367.0,420,374.0
220.0,0,295.0,129.0,942.0,261.0,261.0,212.9,1317,295.0,735.0,0,261.0,989.0,296.0,312.0,0,295.0,917.0,241.4,505.0,0,1197,354.0,256.0,440,295.0
157.0,0,350.0,97.0,903.0,350.0,350.0,181.7,1509,350.0,670.0,0,350.0,992.0,351.0,262.0,0,350.0,801.0,282.1,428.0,0,1455,312.0,316.0,460,350.0
