Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,7.0,19.0,19.0,1.1,2000,19.0,3.0,0,19.0,25.0,21.0,1.0,0,20.0,5.0,20.0,1.0,0,2000,1.0,19.0,20,19.0
1.0,0,39.0,1.0,8.0,39.0,39.0,1.5,2000,39.0,4.0,0,39.0,15.0,40.0,1.0,0,39.0,6.0,40.0,3.0,0,2000,1.0,39.0,40,39.0
1.0,0,59.0,1.0,11.0,59.0,59.0,2.1,2000,59.0,6.0,0,59.0,16.0,60.0,2.0,0,59.0,9.0,60.0,4.0,0,2000,2.0,59.0,60,59.0
1.0,0,80.0,1.0,11.0,79.0,79.0,2.4,2000,79.0,8.0,0,79.0,31.0,81.0,2.0,0,80.0,10.0,80.0,5.0,0,2000,3.0,79.0,80,80.0
2.0,0,100.0,1.0,14.0,99.0,99.0,3.1,2000,100.0,8.0,0,100.0,24.0,101.0,4.0,0,100.0,12.0,100.0,7.0,0,2000,4.0,99.0,100,100.0
3.0,0,121.0,2.0,14.0,119.0,120.0,3.4,2000,120.0,9.0,0,120.0,22.0,122.0,4.0,0,121.0,12.0,120.0,7.0,0,2000,5.0,119.0,120,121.0
3.0,0,141.0,2.0,16.0,139.0,140.0,3.8,2000,140.0,10.0,0,140.0,32.0,142.0,4.0,0,141.0,14.0,140.0,8.0,0,2000,5.0,139.0,140,141.0
4.0,0,161.0,3.0,16.0,159.0,159.0,4.3,2000,160.0,12.0,0,160.0,33.0,162.0,5.0,0,161.0,15.0,160.1,8.0,0,2000,6.0,159.0,160,161.0
5.0,0,181.0,3.0,33.0,180.0,180.0,5.5,2000,180.0,15.0,0,180.0,142.0,182.0,6.0,0,181.0,23.0,179.9,11.0,0,2000,7.0,179.0,180,181.0
9.0,0,234.0,5.0,411.0,200.0,200.0,43.5,1962,234.0,222.0,0,200.0,976.0,235.0,17.0,0,234.0,291.0,196.2,148.0,0,1962,81.0,199.0,200,234.0
5.0,0,222.0,4.0,20.0,220.0,221.0,5.5,2000,222.0,13.0,0,221.0,28.0,223.0,7.0,0,222.0,17.0,219.9,11.0,0,2000,7.0,220.0,220,222.0
6.0,0,241.0,4.0,20.0,240.0,240.0,5.7,2000,241.0,13.0,0,240.0,28.0,242.0,7.0,0,241.0,17.0,239.4,11.0,0,2000,8.0,239.0,240,241.0
6.0,0,260.0,4.0,18.0,259.0,260.0,5.9,2000,260.0,13.0,0,260.0,26.0,261.0,7.0,0,260.0,16.0,259.9,11.0,0,2000,8.0,258.0,260,260.0
7.0,0,284.0,5.0,20.0,279.0,281.0,6.8,2000,284.0,15.0,0,281.0,36.0,285.0,8.0,0,284.0,19.0,279.5,12.0,0,2000,9.0,277.0,280,284.0
9.0,0,302.0,6.0,29.0,298.0,300.0,8.3,2000,302.0,18.0,0,300.0,36.0,303.0,10.0,0,302.0,24.0,300.0,15.0,0,2000,12.0,297.0,300,302.0
10.0,0,331.0,7.0,112.0,319.0,320.0,12.3,1995,331.0,28.0,0,320.0,311.0,332.0,12.0,0,331.0,75.0,318.7,18.0,0,1995,13.0,318.0,320,331.0
10.0,0,343.0,8.0,32.0,342.0,342.0,9.9,2000,343.0,23.0,0,342.0,49.0,344.0,12.0,0,343.0,28.0,339.3,17.0,0,2000,13.0,340.0,340,343.0
20.0,0,363.0,13.0,140.0,353.0,356.0,26.4,1986,363.0,90.0,0,356.0,587.0,364.0,29.0,0,363.0,113.0,325.6,64.0,0,1986,36.0,352.0,360,363.0
60.0,0,381.0,26.0,324.0,371.0,371.0,57.4,1912,381.0,207.0,0,371.0,872.0,382.0,73.0,0,381.0,309.0,362.5,115.0,0,1912,84.0,369.0,380,381.0
105.0,0,391.0,75.0,682.0,370.0,370.0,120.7,1750,391.0,387.0,0,370.0,944.0,392.0,136.0,0,391.0,617.0,295.0,305.0,0,1729,161.0,353.0,400,391.0
