Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.2,2000,2000
0,0,0,40.0,40,0,1.5,2000,2000
0,0,0,60.0,60,0,1.7,2000,2000
0,0,0,80.0,80,0,3.1,2000,2000
0,0,0,100.0,100,0,3.1,2000,2000
0,0,0,120.0,120,0,3.2,2000,2000
0,0,0,140.0,140,0,3.7,2000,2000
0,0,0,160.0,160,0,3.9,2000,2000
0,0,0,179.1,180,0,12.6,1993,1993
0,0,0,199.8,200,0,4.8,2000,2000
0,0,0,219.9,220,0,5.4,2000,2000
0,0,0,238.8,240,0,14.3,1993,1993
0,0,0,259.9,260,0,6.2,2000,2000
0,0,0,279.7,280,0,6.9,2000,2000
0,0,0,299.6,300,0,7.8,2000,2000
0,0,0,319.4,320,0,8.7,2000,2000
0,0,0,339.6,340,0,11.4,2000,2000
0,0,0,282.9,360,0,102.9,1795,1800
0,0,0,282.5,380,0,96.5,1741,1763
0,0,0,301.6,400,0,83.1,1785,1798
0,0,0,296.1,420,0,92.3,1674,1701
0,0,0,261.5,440,0,181.4,1363,1450
0,0,0,246.6,460,0,211.3,1229,1318
0,0,0,242.4,480,0,203.3,1131,1251
0,0,0,247.9,500,0,202.4,1132,1240
0,0,0,245.3,520,0,239.2,1012,1188
0,0,0,272.1,540,0,182.2,1154,1279
0,0,0,255.2,560,0,219.6,1014,1168
0,0,0,262.9,580,0,216.6,1044,1168
0,0,0,242.9,600,0,233.4,882,1053
0,0,0,227.4,620,0,238.9,738,961
0,0,0,233.1,640,0,233.3,763,961
0,0,0,242.4,660,0,232.1,765,979
0,0,0,258.9,680,0,217.5,793,1020
0,0,0,264.4,700,0,212.5,816,1020
0,0,0,250.8,720,0,206.9,733,947
0,0,0,241.0,740,0,225.8,699,895
0,0,0,252.2,760,0,217.6,721,916
0,0,0,226.5,780,0,245.9,597,807
0,0,0,240.5,800,0,225.4,648,844
0,0,0,229.8,820,0,210.5,546,790
0,0,0,216.0,840,0,238.5,516,730
0,0,0,230.1,860,0,203.4,507,765
0,0,0,224.7,880,0,212.3,472,741
0,0,0,207.7,900,0,282.6,412,669
0,0,0,225.3,920,0,241.9,482,722
0,0,0,181.3,940,0,351.7,312,567
0,0,0,205.1,960,0,241.5,411,636
0,0,0,187.0,980,0,343.4,318,569
0,0,0,221.7,1000,0,228.8,412,665
