Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,1.2,2000,2000
0,0,0,40.0,40,0,1.2,2000,2000
0,0,0,60.0,60,0,1.9,2000,2000
0,0,0,80.0,80,0,2.8,2000,2000
0,0,0,100.0,100,0,3.4,2000,2000
0,0,0,120.0,120,0,3.5,2000,2000
0,0,0,140.0,140,0,4.0,2000,2000
0,0,0,159.8,160,0,4.4,2000,2000
0,0,0,179.9,180,0,5.3,2000,2000
0,0,0,192.1,200,0,26.8,1921,1922
0,0,0,219.8,220,0,5.4,2000,2000
0,0,0,239.7,240,0,6.4,2000,2000
0,0,0,259.2,260,0,6.1,2000,2000
0,0,0,279.9,280,0,6.9,2000,2000
0,0,0,298.8,300,0,8.1,2000,2000
0,0,0,319.5,320,0,9.3,2000,2000
0,0,0,339.2,340,0,12.8,2000,2000
0,0,0,359.1,360,0,14.3,2000,2000
0,0,0,300.6,380,0,78.4,1868,1875
0,0,0,235.3,400,0,169.4,1297,1406
0,0,0,221.3,420,0,228.8,1171,1273
0,0,0,228.4,440,0,231.5,1176,1266
0,0,0,238.3,460,0,228.4,1164,1274
0,0,0,252.7,480,0,212.2,1200,1304
0,0,0,240.5,500,0,231.7,1062,1201
0,0,0,243.1,520,0,247.5,1053,1178
0,0,0,164.5,540,0,199.6,635,775
0,0,0,214.5,560,0,259.3,824,980
0,0,0,242.0,580,0,277.2,940,1077
0,0,0,255.7,600,0,245.2,965,1106
0,0,0,239.6,620,0,258.7,861,1013
0,0,0,266.8,640,0,230.3,970,1100
0,0,0,235.3,660,0,258.3,813,948
0,0,0,246.8,680,0,266.0,780,974
0,0,0,241.7,700,0,254.0,768,932
0,0,0,223.4,720,0,298.5,666,844
0,0,0,243.6,740,0,254.8,740,901
0,0,0,227.3,760,0,279.3,627,825
0,0,0,227.3,780,0,294.7,614,810
0,0,0,222.9,800,0,247.1,617,780
0,0,0,219.0,820,0,256.3,581,753
0,0,0,200.0,840,0,266.1,511,676
0,0,0,197.6,860,0,287.1,441,657
0,0,0,207.0,880,0,253.1,482,677
0,0,0,209.5,900,0,286.2,447,675
0,0,0,173.6,920,0,316.4,342,551
0,0,0,176.1,940,0,323.9,342,557
0,0,0,166.1,960,0,363.9,315,581
0,0,0,174.1,980,0,380.1,319,532
0,0,0,201.8,1000,0,301.7,424,604
