Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,6.0,19.0,19.0,1.0,2000,19.0,3.0,0,19.0,15.0,21.0,1.0,0,20.0,4.0,20.0,1.0,0,2000,1.0,19.0,20,20.0
1.0,0,39.0,1.0,8.0,39.0,39.0,1.3,2000,39.0,4.0,0,39.0,15.0,40.0,1.0,0,39.0,7.0,40.0,2.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,11.0,59.0,59.0,2.1,2000,59.0,7.0,0,59.0,24.0,61.0,2.0,0,60.0,9.0,60.0,5.0,0,2000,3.0,59.0,60,59.0
1.0,0,80.0,1.0,11.0,79.0,79.0,2.3,2000,79.0,7.0,0,79.0,16.0,81.0,3.0,0,80.0,9.0,80.0,5.0,0,2000,3.0,79.0,80,80.0
3.0,0,100.0,2.0,12.0,99.0,99.0,3.2,2000,100.0,8.0,0,100.0,19.0,101.0,4.0,0,100.0,11.0,100.0,7.0,0,2000,5.0,99.0,100,100.0
4.0,0,120.0,2.0,14.0,119.0,119.0,3.7,2000,120.0,10.0,0,119.0,28.0,121.0,4.0,0,120.0,12.0,120.0,8.0,0,2000,5.0,119.0,120,120.0
4.0,0,140.0,2.0,15.0,139.0,139.0,3.8,2000,140.0,9.0,0,140.0,27.0,141.0,5.0,0,140.0,12.0,140.0,8.0,0,2000,5.0,139.0,140,140.0
4.0,0,160.0,3.0,15.0,159.0,159.0,4.3,2000,160.0,11.0,0,160.0,22.0,161.0,5.0,0,160.0,13.0,160.0,8.0,0,2000,6.0,159.0,160,160.0
5.0,0,181.0,3.0,31.0,180.0,180.0,5.6,2000,180.0,14.0,0,180.0,69.0,182.0,7.0,0,181.0,22.0,180.1,11.0,0,2000,8.0,179.0,180,181.0
7.0,0,206.0,5.0,254.0,199.0,202.0,24.9,1986,202.0,166.0,0,202.0,555.0,207.0,9.0,0,206.0,232.0,198.5,96.0,0,1986,12.0,198.0,200,206.0
6.0,0,222.0,4.0,18.0,220.0,220.0,5.7,2000,222.0,13.0,0,222.0,25.0,223.0,7.0,0,222.0,17.0,219.9,11.0,0,2000,8.0,219.0,220,222.0
6.0,0,242.0,4.0,17.0,239.0,239.0,5.7,2000,242.0,13.0,0,240.0,31.0,243.0,7.0,0,242.0,16.0,239.9,11.0,0,2000,8.0,238.0,240,242.0
