Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,3.0,19.0,19.0,0.7,2000,19.0,1.0,0,19.0,8.0,21.0,1.0,0,20.0,2.0,20.0,1.0,0,2000,1.0,19.0,20,19.0
1.0,0,39.0,1.0,4.0,39.0,39.0,0.8,2000,39.0,1.0,0,39.0,12.0,40.0,1.0,0,39.0,3.0,40.0,1.0,0,2000,1.0,39.0,40,39.0
1.0,0,60.0,1.0,10.0,59.0,59.0,1.5,2000,59.0,5.0,0,59.0,21.0,60.0,1.0,0,60.0,8.0,60.0,3.0,0,2000,1.0,59.0,60,59.0
2.0,0,80.0,1.0,12.0,79.0,79.0,2.7,2000,79.0,8.0,0,79.0,38.0,80.0,3.0,0,80.0,10.0,80.0,6.0,0,2000,4.0,79.0,80,79.0
3.0,0,100.0,1.0,12.0,99.0,99.0,3.0,2000,99.0,8.0,0,99.0,18.0,101.0,4.0,0,100.0,10.0,100.0,6.0,0,2000,4.0,99.0,100,100.0
3.0,0,120.0,2.0,14.0,120.0,120.0,3.3,2000,120.0,8.0,0,120.0,24.0,121.0,4.0,0,120.0,12.0,120.0,7.0,0,2000,5.0,119.0,120,120.0
4.0,0,141.0,2.0,15.0,139.0,140.0,4.1,2000,140.0,10.0,0,140.0,27.0,142.0,5.0,0,141.0,13.0,139.9,8.0,0,2000,6.0,139.0,140,141.0
4.0,0,160.0,2.0,15.0,159.0,160.0,3.9,2000,160.0,10.0,0,160.0,22.0,161.0,5.0,0,160.0,13.0,159.9,8.0,0,2000,5.0,159.0,160,160.0
4.0,0,181.0,3.0,19.0,179.0,180.0,4.7,2000,180.0,12.0,0,180.0,46.0,182.0,6.0,0,181.0,16.0,180.0,9.0,0,2000,6.0,179.0,180,181.0
4.0,0,202.0,3.0,34.0,201.0,201.0,5.1,2000,201.0,13.0,0,201.0,65.0,203.0,6.0,0,202.0,20.0,199.8,9.0,0,2000,6.0,198.0,200,202.0
5.0,0,222.0,4.0,18.0,220.0,221.0,5.4,2000,222.0,12.0,0,221.0,30.0,223.0,7.0,0,222.0,15.0,219.8,10.0,0,2000,7.0,220.0,220,222.0
5.0,0,242.0,4.0,18.0,241.0,241.0,5.3,2000,242.0,12.0,0,241.0,27.0,243.0,6.0,0,242.0,15.0,240.1,10.0,0,2000,7.0,239.0,240,242.0
6.0,0,261.0,4.0,22.0,259.0,261.0,6.3,2000,261.0,14.0,0,261.0,35.0,262.0,8.0,0,261.0,19.0,259.4,11.0,0,2000,9.0,258.0,260,261.0
6.0,0,282.0,5.0,22.0,280.0,281.0,6.7,2000,282.0,16.0,0,281.0,37.0,283.0,8.0,0,282.0,20.0,279.6,13.0,0,2000,9.0,279.0,280,282.0
9.0,0,308.0,6.0,38.0,300.0,301.0,9.1,2000,308.0,24.0,0,301.0,63.0,309.0,11.0,0,308.0,34.0,299.6,17.0,0,2000,12.0,298.0,300,308.0
10.0,0,326.0,7.0,44.0,319.0,322.0,10.5,2000,326.0,26.0,0,322.0,72.0,327.0,12.0,0,326.0,33.0,319.8,21.0,0,2000,14.0,318.0,320,326.0
23.0,0,371.0,15.0,125.0,337.0,337.0,26.6,1994,371.0,83.0,0,337.0,315.0,372.0,34.0,0,371.0,111.0,338.3,61.0,0,1994,47.0,334.0,340,371.0
63.0,0,386.0,38.0,523.0,330.0,353.0,70.8,1847,386.0,297.0,0,353.0,964.0,387.0,84.0,0,386.0,338.0,286.6,162.0,0,1835,94.0,304.0,360,386.0
51.0,0,380.0,29.0,314.0,351.0,373.0,50.4,1921,380.0,160.0,0,373.0,725.0,381.0,63.0,0,380.0,300.0,307.9,105.0,0,1920,75.0,348.0,380,380.0
205.0,0,291.0,134.0,844.0,277.0,277.0,201.1,1396,291.0,615.0,0,277.0,961.0,292.0,277.0,0,291.0,743.0,232.8,432.0,0,1316,344.0,231.0,400,291.0
273.0,0,262.0,171.0,852.0,208.0,208.0,252.1,1219,262.0,728.0,0,208.0,973.0,263.0,366.0,0,262.0,813.0,212.3,621.0,0,1115,400.0,204.0,420,262.0
212.0,0,283.0,143.0,859.0,275.0,275.0,218.6,1321,283.0,725.0,0,275.0,984.0,284.0,328.0,0,283.0,830.0,238.4,540.0,0,1210,371.0,217.0,440,283.0
276.0,0,271.0,204.0,900.0,185.0,185.0,269.6,1141,271.0,785.0,0,185.0,981.0,272.0,400.0,0,271.0,872.0,213.3,661.0,0,971,442.0,178.0,460,271.0
192.0,0,314.0,129.0,930.0,274.0,274.0,207.3,1246,314.0,669.0,0,274.0,985.0,315.0,322.0,0,314.0,874.0,240.9,436.0,0,1135,350.0,228.0,480,314.0
218.0,0,304.0,159.0,870.0,195.0,195.0,224.8,1120,304.0,704.0,0,304.0,937.0,305.0,336.0,0,304.0,824.0,224.6,513.0,0,972,393.0,187.0,500,304.0
299.0,0,279.0,169.0,862.0,231.0,231.0,250.6,1127,279.0,754.0,0,279.0,987.0,280.0,370.0,0,279.0,830.0,232.8,638.0,0,967,413.0,215.0,520,279.0
244.0,0,308.0,162.0,953.0,222.0,222.0,231.3,1101,308.0,770.0,0,308.0,1000.0,309.0,348.0,0,308.0,921.0,234.2,512.0,0,942,385.0,212.0,540,308.0
264.0,0,281.0,166.0,847.0,227.0,227.0,246.0,1080,281.0,740.0,0,281.0,996.0,282.0,377.0,0,281.0,819.0,236.3,546.0,0,940,404.0,218.0,560,281.0
232.0,0,353.0,161.0,864.0,232.0,232.0,227.6,1155,353.0,739.0,0,353.0,994.0,354.0,335.0,0,353.0,823.0,260.0,553.0,0,1021,388.0,196.0,580,353.0
296.0,0,246.0,161.0,959.0,222.0,222.0,263.1,1008,246.0,803.0,0,246.0,991.0,247.0,407.0,0,246.0,910.0,232.7,675.0,0,865,445.0,194.0,600,246.0
330.0,0,228.0,202.0,961.0,182.0,182.0,291.4,941,228.0,868.0,0,228.0,998.0,229.0,427.0,0,228.0,947.0,222.7,694.0,0,729,476.0,163.0,620,228.0
351.0,0,292.0,184.0,929.0,179.0,179.0,275.7,914,292.0,825.0,0,292.0,991.0,293.0,395.0,0,292.0,901.0,221.7,704.0,0,752,427.0,137.0,640,292.0
301.0,0,241.0,195.0,909.0,200.0,200.0,268.4,853,241.0,816.0,0,241.0,986.0,242.0,397.0,0,241.0,898.0,211.7,665.0,0,677,424.0,139.0,660,241.0
341.0,0,262.0,188.0,939.0,189.0,262.0,271.3,890,262.0,846.0,0,262.0,995.0,263.0,379.0,0,262.0,894.0,226.0,680.0,0,736,418.0,189.0,680,262.0
330.0,0,283.0,217.0,907.0,160.0,283.0,273.5,825,283.0,765.0,0,283.0,995.0,284.0,394.0,0,283.0,855.0,214.2,624.0,0,629,448.0,160.0,700,283.0
278.0,0,296.0,206.0,942.0,160.0,296.0,259.8,868,296.0,826.0,0,296.0,997.0,297.0,339.0,0,296.0,904.0,229.3,714.0,0,689,451.0,160.0,720,296.0
329.0,0,244.0,233.0,977.0,126.0,244.0,297.2,742,244.0,888.0,0,244.0,995.0,245.0,438.0,0,244.0,964.0,199.7,703.0,0,522,470.0,126.0,740,244.0
386.0,0,202.0,241.0,977.0,187.0,202.0,322.0,773,202.0,856.0,0,202.0,991.0,203.0,445.0,0,202.0,920.0,212.9,722.0,0,554,501.0,187.0,760,202.0
274.0,0,210.0,179.0,956.0,143.0,210.0,264.7,626,210.0,831.0,0,210.0,977.0,211.0,402.0,0,210.0,928.0,175.7,651.0,0,372,435.0,143.0,780,210.0
487.0,0,141.0,342.0,976.0,81.0,141.0,412.7,465,141.0,843.0,0,141.0,990.0,142.0,601.0,0,141.0,946.0,132.9,778.0,0,311,665.0,81.0,800,141.0
452.0,0,158.0,289.0,963.0,117.0,158.0,370.6,573,158.0,864.0,0,158.0,986.0,159.0,544.0,0,158.0,923.0,166.6,762.0,0,382,629.0,117.0,820,158.0
482.0,0,144.0,356.0,985.0,100.0,144.0,430.3,557,144.0,899.0,0,144.0,993.0,145.0,652.0,0,144.0,957.0,164.8,830.0,0,343,719.0,100.0,840,144.0
450.0,0,141.0,298.0,977.0,114.0,141.0,386.0,552,141.0,906.0,0,141.0,993.0,142.0,525.0,0,141.0,959.0,166.0,800.0,0,354,616.0,114.0,860,141.0
440.0,0,146.0,330.0,947.0,116.0,146.0,383.8,559,146.0,817.0,0,146.0,964.0,147.0,561.0,0,146.0,926.0,170.8,757.0,0,359,648.0,116.0,880,146.0
429.0,0,177.0,281.0,978.0,103.0,177.0,340.2,593,177.0,877.0,0,177.0,994.0,178.0,536.0,0,177.0,954.0,183.9,758.0,0,372,604.0,103.0,900,177.0
528.0,0,145.0,347.0,990.0,81.0,145.0,394.8,508,145.0,896.0,0,145.0,995.0,146.0,582.0,0,145.0,953.0,160.1,833.0,0,296,656.0,81.0,920,145.0
548.0,0,90.0,395.0,994.0,86.0,90.0,464.0,463,90.0,922.0,0,90.0,1001.0,91.0,644.0,0,90.0,989.0,147.5,838.0,0,243,704.0,86.0,940,90.0
423.0,0,136.0,341.0,979.0,101.0,136.0,392.0,508,136.0,876.0,0,136.0,994.0,137.0,502.0,0,136.0,941.0,164.8,773.0,0,327,580.0,101.0,960,136.0
497.0,0,128.0,343.0,948.0,80.0,128.0,401.5,462,128.0,847.0,0,128.0,992.0,129.0,551.0,0,128.0,931.0,152.0,796.0,0,273,658.0,80.0,980,128.0
