Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,3.7,2000,2000
0,0,0,35.1,40,0,34.6,1404,1756
0,0,0,58.7,60,0,36.9,1974,2000
0,0,0,79.5,80,0,78.1,1871,1987
0,0,0,98.8,100,0,46.6,1965,1999
0,0,0,108.8,120,0,36.2,1809,1954
0,0,0,135.7,140,0,33.3,1950,1993
0,0,0,149.5,160,0,26.2,1983,2000
0,0,0,177.8,180,0,35.9,1971,2000
0,0,0,190.5,200,0,18.1,1894,1983
0,0,0,208.5,220,0,29.1,1914,1979
0,0,0,231.9,240,0,14.3,1870,1957
0,0,0,244.4,260,0,14.7,1875,1957
0,0,0,237.2,280,0,58.2,1680,1775
0,0,0,279.8,300,0,27.0,1844,1914
0,0,0,230.2,320,0,24.0,1820,1896
0,0,0,241.2,340,0,27.8,1816,1888
0,0,0,276.7,360,0,24.7,1841,1907
0,0,0,297.0,380,0,24.2,1849,1910
0,0,0,260.8,400,0,74.0,1718,1773
0,0,0,318.9,420,0,54.8,1742,1807
0,0,0,293.8,440,0,112.1,1559,1633
0,0,0,298.7,460,0,131.9,1498,1570
0,0,0,254.6,480,0,95.2,1496,1566
0,0,0,248.0,500,0,187.9,1110,1252
0,0,0,285.8,520,0,165.7,1317,1393
0,0,0,270.5,540,0,180.7,1162,1272
0,0,0,236.2,560,0,250.0,919,1087
0,0,0,232.3,580,0,239.7,915,1044
0,0,0,243.6,600,0,223.8,968,1057
0,0,0,238.4,620,0,254.2,861,1007
0,0,0,231.8,640,0,259.8,799,956
0,0,0,229.6,660,0,237.3,760,925
0,0,0,218.1,680,0,307.3,694,862
0,0,0,234.8,700,0,288.9,700,915
0,0,0,226.8,720,0,287.4,660,862
0,0,0,209.1,740,0,317.2,560,775
0,0,0,229.3,760,0,273.9,619,835
0,0,0,184.1,780,0,372.5,437,656
0,0,0,208.9,800,0,333.0,482,733
0,0,0,193.0,820,0,355.4,393,665
0,0,0,197.0,840,0,342.2,426,673
0,0,0,193.2,860,0,340.4,426,644
0,0,0,192.3,880,0,362.1,425,633
0,0,0,225.0,900,0,290.9,543,758
0,0,0,187.6,920,0,392.0,365,602
0,0,0,154.3,940,0,433.8,318,536
0,0,0,216.8,960,0,377.5,423,677
0,0,0,245.7,980,0,360.0,559,747
0,0,0,338.4,1000,0,213.0,1184,1296
