Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,18.0,2000,2000
0,0,0,39.1,40,0,183.8,1884,1991
0,0,0,58.3,60,0,84.4,1675,1941
0,0,0,77.0,80,0,21.7,1786,1925
0,0,0,100.0,100,0,15.4,1998,2000
0,0,0,117.8,120,0,30.3,1957,2000
0,0,0,137.2,140,0,36.5,1952,1961
0,0,0,148.4,160,0,42.4,1949,1993
0,0,0,179.5,180,0,40.2,1972,1996
0,0,0,193.2,200,0,28.0,1926,1980
0,0,0,215.5,220,0,31.9,1927,1968
0,0,0,234.5,240,0,34.9,1914,1958
0,0,0,249.1,260,0,25.3,1816,1938
0,0,0,249.3,280,0,13.0,1805,1918
0,0,0,283.6,300,0,30.2,1818,1905
0,0,0,300.9,320,0,15.9,1802,1886
0,0,0,313.5,340,0,23.8,1754,1845
0,0,0,309.5,360,0,39.1,1735,1834
0,0,0,345.3,380,0,27.5,1732,1823
0,0,0,306.2,400,0,38.2,1718,1777
0,0,0,277.7,420,0,112.6,1481,1590
0,0,0,267.2,440,0,154.4,1379,1481
0,0,0,272.9,460,0,144.9,1344,1458
0,0,0,208.3,480,0,190.1,908,1076
0,0,0,241.3,500,0,188.5,1010,1204
0,0,0,267.1,520,0,174.1,1164,1294
0,0,0,290.7,540,0,159.0,1247,1367
0,0,0,259.5,560,0,217.2,983,1182
0,0,0,275.7,580,0,195.0,1076,1226
0,0,0,281.2,600,0,194.3,1071,1230
0,0,0,298.6,620,0,198.1,1130,1271
0,0,0,273.9,640,0,242.0,979,1132
0,0,0,279.8,660,0,225.1,1005,1130
0,0,0,280.3,680,0,214.9,995,1113
0,0,0,245.9,700,0,292.0,754,949
0,0,0,268.6,720,0,258.7,799,1019
0,0,0,218.1,740,0,310.4,607,812
0,0,0,212.1,760,0,314.2,567,770
0,0,0,236.4,780,0,287.2,653,848
0,0,0,247.3,800,0,284.1,648,868
0,0,0,216.1,820,0,320.9,526,747
0,0,0,213.0,840,0,311.6,496,727
0,0,0,176.9,860,0,387.3,343,593
0,0,0,191.4,880,0,365.1,385,627
0,0,0,184.2,900,0,392.1,342,598
0,0,0,183.2,920,0,330.9,342,581
0,0,0,193.2,940,0,350.8,331,606
0,0,0,67.3,960,0,356.9,115,211
0,0,0,148.3,980,0,471.7,197,451
0,0,0,173.7,1000,0,419.3,264,526
