Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,22.0,1.0,107.0,19.0,19.0,6.8,2000,20.0,29.0,0,19.0,845.0,23.0,1.0,0,21.0,56.0,20.0,11.0,0,2000,2.0,19.0,20,20.0
1.0,0,45.0,1.0,877.0,40.0,41.0,56.7,1999,42.0,572.0,0,41.0,990.0,46.0,2.0,0,45.0,815.0,40.0,84.0,0,1987,4.0,39.0,40,43.0
2.0,0,62.0,1.0,553.0,55.0,57.0,15.3,1937,59.0,11.0,0,59.0,1000.0,63.0,4.0,0,62.0,199.0,57.1,7.0,0,1834,4.0,53.0,60,61.0
4.0,0,82.0,2.0,736.0,79.0,79.0,23.5,1988,81.0,13.0,0,80.0,996.0,83.0,5.0,0,82.0,559.0,77.5,8.0,0,1928,6.0,77.0,80,82.0
4.0,0,101.0,3.0,436.0,99.0,100.0,13.7,2000,101.0,14.0,0,100.0,782.0,102.0,6.0,0,101.0,137.0,100.0,9.0,0,1987,7.0,98.0,100,101.0
5.0,0,121.0,3.0,198.0,119.0,120.0,11.1,2000,121.0,15.0,0,121.0,887.0,122.0,7.0,0,121.0,95.0,116.8,11.0,0,1996,7.0,118.0,120,121.0
5.0,0,141.0,4.0,132.0,139.0,139.0,9.2,2000,141.0,15.0,0,140.0,898.0,142.0,7.0,0,141.0,32.0,138.5,11.0,0,1996,8.0,138.0,140,141.0
7.0,0,162.0,4.0,182.0,159.0,159.0,11.9,1995,161.0,30.0,0,159.0,945.0,163.0,8.0,0,162.0,82.0,159.5,15.0,0,1993,10.0,158.0,160,162.0
6.0,0,183.0,5.0,408.0,180.0,180.0,13.0,2000,180.0,16.0,0,180.0,840.0,184.0,8.0,0,183.0,53.0,171.2,12.0,0,1997,9.0,178.0,180,183.0
7.0,0,203.0,5.0,722.0,200.0,200.0,18.4,1994,203.0,18.0,0,200.0,993.0,204.0,8.0,0,203.0,101.0,199.3,13.0,0,1984,10.0,196.0,200,203.0
8.0,0,222.0,6.0,395.0,218.0,219.0,16.2,1996,222.0,19.0,0,220.0,946.0,223.0,10.0,0,222.0,40.0,219.2,14.0,0,1977,11.0,217.0,220,222.0
9.0,0,242.0,7.0,441.0,239.0,239.0,17.1,1990,242.0,20.0,0,240.0,981.0,243.0,11.0,0,242.0,28.0,238.6,16.0,0,1972,12.0,234.0,240,242.0
11.0,0,264.0,8.0,504.0,260.0,262.0,19.8,1987,264.0,26.0,0,262.0,970.0,265.0,14.0,0,264.0,41.0,258.0,20.0,0,1962,16.0,250.0,260,264.0
15.0,0,278.0,11.0,536.0,273.0,276.0,22.3,1980,278.0,39.0,0,276.0,937.0,279.0,18.0,0,278.0,62.0,275.8,28.0,0,1943,20.0,269.0,280,278.0
18.0,0,294.0,13.0,82.0,280.0,281.0,18.5,1958,294.0,49.0,0,281.0,261.0,295.0,21.0,0,294.0,66.0,259.4,36.0,0,1902,25.0,280.0,300,294.0
35.0,0,318.0,19.0,247.0,301.0,311.0,33.1,1936,318.0,84.0,0,311.0,996.0,319.0,48.0,0,318.0,102.0,281.6,71.0,0,1880,56.0,295.0,320,318.0
65.0,0,347.0,43.0,574.0,295.0,299.0,67.7,1816,347.0,288.0,0,299.0,968.0,348.0,78.0,0,347.0,365.0,267.5,127.0,0,1764,89.0,282.0,340,347.0
45.0,0,355.0,31.0,362.0,344.0,349.0,51.2,1882,355.0,146.0,0,349.0,956.0,356.0,55.0,0,355.0,296.0,309.2,106.0,0,1829,63.0,321.0,360,355.0
46.0,0,372.0,33.0,278.0,353.0,361.0,40.4,1916,372.0,78.0,0,361.0,857.0,373.0,52.0,0,372.0,251.0,313.9,68.0,0,1859,56.0,326.0,380,372.0
78.0,0,341.0,56.0,803.0,337.0,337.0,102.3,1431,341.0,373.0,0,337.0,998.0,342.0,105.0,0,341.0,709.0,241.0,271.0,0,1346,125.0,249.0,400,341.0
91.0,0,410.0,63.0,801.0,349.0,349.0,118.2,1593,410.0,435.0,0,349.0,997.0,411.0,124.0,0,410.0,735.0,278.3,339.0,0,1496,149.0,271.0,420,410.0
71.0,0,407.0,53.0,704.0,363.0,363.0,97.5,1666,407.0,344.0,0,363.0,986.0,408.0,85.0,0,407.0,627.0,300.5,286.0,0,1595,100.0,332.0,440,407.0
87.0,0,482.0,70.0,689.0,337.0,337.0,115.7,1611,482.0,359.0,0,337.0,998.0,483.0,98.0,0,482.0,630.0,298.8,310.0,0,1553,117.0,300.0,460,482.0
101.0,0,507.0,74.0,734.0,309.0,309.0,123.2,1528,507.0,396.0,0,309.0,990.0,508.0,120.0,0,507.0,674.0,294.4,325.0,0,1477,151.0,295.0,480,507.0
124.0,0,497.0,88.0,807.0,295.0,295.0,156.1,1385,497.0,568.0,0,295.0,999.0,498.0,167.0,0,497.0,758.0,271.1,359.0,0,1300,295.0,229.0,500,497.0
112.0,0,435.0,82.0,819.0,351.0,351.0,147.5,1437,435.0,550.0,0,435.0,985.0,436.0,145.0,0,435.0,736.0,296.6,357.0,0,1365,272.0,343.0,520,435.0
116.0,0,450.0,82.0,850.0,389.0,389.0,165.1,1419,450.0,704.0,0,450.0,998.0,451.0,254.0,0,450.0,792.0,301.8,385.0,0,1318,315.0,258.0,540,450.0
128.0,0,472.0,87.0,793.0,347.0,347.0,168.3,1359,472.0,654.0,0,472.0,966.0,473.0,255.0,0,472.0,765.0,296.0,385.0,0,1254,312.0,214.0,560,472.0
124.0,0,479.0,92.0,798.0,330.0,330.0,172.0,1267,479.0,614.0,0,479.0,935.0,480.0,298.0,0,479.0,747.0,285.9,368.0,0,1172,321.0,214.0,580,479.0
144.0,0,473.0,110.0,859.0,301.0,301.0,192.4,1250,473.0,690.0,0,473.0,1000.0,474.0,308.0,0,473.0,816.0,287.8,379.0,0,1147,334.0,186.0,600,473.0
288.0,0,441.0,139.0,923.0,233.0,233.0,235.1,1126,441.0,797.0,0,441.0,997.0,442.0,348.0,0,441.0,879.0,264.5,507.0,0,978,384.0,177.0,620,441.0
271.0,0,469.0,116.0,867.0,267.0,267.0,216.3,1127,469.0,734.0,0,469.0,949.0,470.0,327.0,0,469.0,840.0,271.0,529.0,0,988,348.0,152.0,640,469.0
273.0,0,459.0,105.0,864.0,308.0,308.0,211.0,1116,459.0,751.0,0,459.0,993.0,460.0,310.0,0,459.0,811.0,274.9,561.0,0,1012,323.0,152.0,660,459.0
192.0,0,425.0,130.0,856.0,212.0,425.0,221.1,1031,425.0,741.0,0,425.0,990.0,426.0,330.0,0,425.0,827.0,260.5,569.0,0,898,361.0,212.0,680,425.0
165.0,0,411.0,121.0,854.0,242.0,411.0,192.0,1011,411.0,618.0,0,411.0,980.0,412.0,284.0,0,411.0,803.0,261.0,403.0,0,867,325.0,242.0,700,411.0
162.0,0,417.0,120.0,857.0,239.0,417.0,223.6,1072,417.0,751.0,0,417.0,1000.0,418.0,328.0,0,417.0,821.0,281.6,589.0,0,910,349.0,239.0,720,417.0
307.0,0,385.0,140.0,822.0,265.0,385.0,242.3,1031,385.0,719.0,0,385.0,944.0,386.0,344.0,0,385.0,801.0,277.9,568.0,0,891,362.0,265.0,740,385.0
180.0,0,353.0,129.0,869.0,316.0,353.0,228.7,1043,353.0,760.0,0,353.0,951.0,354.0,334.0,0,353.0,826.0,286.5,578.0,0,868,359.0,316.0,760,353.0
329.0,0,312.0,158.0,850.0,287.0,312.0,260.1,950,312.0,789.0,0,312.0,943.0,313.0,362.0,0,312.0,840.0,265.1,643.0,0,775,383.0,287.0,780,312.0
214.0,0,348.0,136.0,848.0,300.0,348.0,225.4,972,348.0,670.0,0,348.0,976.0,349.0,344.0,0,348.0,822.0,274.7,434.0,0,788,362.0,300.0,800,348.0
318.0,0,317.0,172.0,910.0,203.0,317.0,270.7,844,317.0,812.0,0,317.0,986.0,318.0,369.0,0,317.0,885.0,243.9,631.0,0,631,391.0,203.0,820,317.0
320.0,0,317.0,157.0,915.0,258.0,317.0,258.7,929,317.0,789.0,0,317.0,968.0,318.0,360.0,0,317.0,889.0,272.2,574.0,0,699,388.0,258.0,840,317.0
281.0,0,384.0,146.0,879.0,178.0,384.0,241.9,843,384.0,744.0,0,384.0,945.0,385.0,351.0,0,384.0,856.0,250.9,596.0,0,617,390.0,178.0,860,384.0
369.0,0,258.0,186.0,952.0,193.0,258.0,308.6,756,258.0,856.0,0,258.0,993.0,259.0,419.0,0,258.0,919.0,229.7,718.0,0,525,452.0,193.0,880,258.0
342.0,0,293.0,190.0,958.0,172.0,293.0,288.0,787,293.0,854.0,0,293.0,994.0,294.0,373.0,0,293.0,910.0,242.8,600.0,0,561,421.0,172.0,900,293.0
386.0,0,248.0,206.0,941.0,180.0,248.0,322.7,742,248.0,882.0,0,248.0,966.0,249.0,434.0,0,248.0,915.0,232.5,768.0,0,519,459.0,180.0,920,248.0
367.0,0,244.0,207.0,955.0,120.0,244.0,321.3,683,244.0,874.0,0,244.0,994.0,245.0,402.0,0,244.0,927.0,218.4,779.0,0,432,450.0,120.0,940,244.0
294.0,0,279.0,200.0,926.0,114.0,279.0,290.3,721,279.0,818.0,0,279.0,992.0,280.0,396.0,0,279.0,916.0,232.7,630.0,0,450,426.0,114.0,960,279.0
294.0,0,219.0,193.0,960.0,151.0,219.0,303.5,665,219.0,863.0,0,219.0,985.0,220.0,401.0,0,219.0,930.0,217.9,682.0,0,406,428.0,151.0,980,219.0
88.0,0,766.0,58.0,791.0,632.0,766.0,117.0,1646,766.0,389.0,0,766.0,996.0,767.0,105.0,0,766.0,752.0,467.6,296.0,0,1607,123.0,632.0,1000,766.0
