Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
7.0,0,20.0,1.0,21.0,19.0,19.0,5.0,2000,20.0,14.0,0,19.0,205.0,21.0,9.0,0,20.0,18.0,20.0,11.0,0,2000,9.0,19.0,20,20.0
1.0,0,39.0,1.0,976.0,26.0,28.0,22.4,1906,32.0,10.0,0,29.0,999.0,40.0,1.0,0,38.0,433.0,38.1,5.0,0,1274,2.0,25.0,40,38.0
4.0,0,63.0,1.0,487.0,59.0,60.0,28.9,2000,61.0,164.0,0,60.0,965.0,64.0,6.0,0,63.0,281.0,58.7,97.0,0,1971,8.0,58.0,60,62.0
4.0,0,80.0,2.0,968.0,75.0,76.0,32.8,1984,80.0,13.0,0,76.0,1000.0,81.0,5.0,0,80.0,824.0,78.8,8.0,0,1813,6.0,70.0,80,80.0
5.0,0,103.0,3.0,569.0,101.0,101.0,28.6,2000,101.0,208.0,0,101.0,980.0,104.0,7.0,0,103.0,340.0,100.0,14.0,0,1991,8.0,99.0,100,103.0
5.0,0,122.0,3.0,931.0,111.0,113.0,27.7,1966,119.0,13.0,0,115.0,1000.0,123.0,6.0,0,122.0,745.0,111.6,10.0,0,1842,7.0,109.0,120,122.0
6.0,0,141.0,4.0,374.0,140.0,140.0,21.8,2000,141.0,92.0,0,141.0,964.0,142.0,7.0,0,141.0,301.0,138.1,12.0,0,1971,8.0,137.0,140,141.0
9.0,0,166.0,6.0,545.0,157.0,160.0,43.9,1996,161.0,262.0,0,160.0,847.0,167.0,12.0,0,166.0,468.0,154.3,136.0,0,1982,20.0,157.0,160,166.0
7.0,0,179.0,4.0,744.0,175.0,177.0,24.1,1994,177.0,17.0,0,177.0,996.0,180.0,8.0,0,179.0,378.0,168.2,12.0,0,1938,9.0,173.0,180,179.0
7.0,0,199.0,5.0,25.0,188.0,189.0,12.2,1966,191.0,15.0,0,189.0,996.0,200.0,8.0,0,199.0,20.0,185.4,12.0,0,1884,9.0,186.0,200,199.0
7.0,0,221.0,5.0,24.0,204.0,206.0,12.8,1955,221.0,14.0,0,212.0,994.0,222.0,8.0,0,221.0,19.0,212.0,12.0,0,1878,9.0,202.0,220,221.0
7.0,0,242.0,6.0,23.0,223.0,225.0,10.9,1944,242.0,16.0,0,226.0,998.0,243.0,9.0,0,242.0,20.0,209.6,13.0,0,1879,10.0,222.0,240,242.0
10.0,0,249.0,7.0,959.0,247.0,247.0,24.0,1946,249.0,28.0,0,248.0,1000.0,250.0,12.0,0,249.0,62.0,229.1,19.0,0,1887,13.0,238.0,260,249.0
12.0,0,283.0,9.0,53.0,261.0,261.0,15.0,1941,283.0,28.0,0,261.0,992.0,284.0,14.0,0,283.0,42.0,245.2,21.0,0,1868,16.0,257.0,280,283.0
14.0,0,293.0,10.0,55.0,277.0,280.0,18.0,1927,293.0,29.0,0,280.0,999.0,294.0,16.0,0,293.0,41.0,262.8,24.0,0,1871,18.0,272.0,300,293.0
20.0,0,309.0,13.0,105.0,296.0,303.0,21.0,1918,309.0,58.0,0,303.0,277.0,310.0,25.0,0,309.0,88.0,266.7,41.0,0,1865,29.0,296.0,320,309.0
24.0,0,323.0,16.0,88.0,314.0,318.0,25.4,1921,323.0,69.0,0,318.0,488.0,324.0,34.0,0,323.0,83.0,262.7,58.0,0,1868,42.0,308.0,340,323.0
64.0,0,340.0,33.0,525.0,314.0,318.0,61.7,1823,340.0,267.0,0,318.0,997.0,341.0,76.0,0,340.0,335.0,292.7,112.0,0,1761,84.0,289.0,360,340.0
27.0,0,377.0,17.0,250.0,350.0,351.0,28.6,1903,377.0,71.0,0,351.0,605.0,378.0,38.0,0,377.0,86.0,304.6,60.0,0,1860,45.0,338.0,380,377.0
47.0,0,412.0,26.0,308.0,371.0,371.0,46.2,1861,412.0,121.0,0,371.0,626.0,413.0,57.0,0,412.0,286.0,317.1,87.0,0,1825,63.0,349.0,400,412.0
58.0,0,379.0,30.0,626.0,379.0,379.0,73.5,1751,379.0,337.0,0,379.0,939.0,380.0,78.0,0,379.0,446.0,303.7,147.0,0,1676,97.0,360.0,420,379.0
34.0,0,403.0,20.0,706.0,391.0,391.0,68.6,1692,403.0,341.0,0,391.0,999.0,404.0,61.0,0,403.0,539.0,259.5,147.0,0,1620,97.0,220.0,440,403.0
130.0,0,355.0,107.0,858.0,297.0,297.0,168.4,1408,355.0,591.0,0,297.0,992.0,356.0,195.0,0,355.0,773.0,262.2,375.0,0,1293,304.0,254.0,460,355.0
151.0,0,394.0,103.0,875.0,293.0,293.0,176.9,1368,394.0,596.0,0,293.0,994.0,395.0,259.0,0,394.0,808.0,263.6,394.0,0,1287,308.0,246.0,480,394.0
112.0,0,390.0,84.0,811.0,336.0,336.0,162.3,1443,390.0,637.0,0,336.0,992.0,391.0,255.0,0,390.0,766.0,287.0,356.0,0,1382,291.0,329.0,500,390.0
