Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,10.1,2000,2000
0,0,0,38.5,40,0,195.6,714,1924
0,0,0,57.6,60,0,121.6,1658,1943
0,0,0,77.0,80,0,59.7,1827,1972
0,0,0,93.0,100,0,43.7,1904,1988
0,0,0,112.3,120,0,50.4,1932,1978
0,0,0,129.7,140,0,52.8,1919,1981
0,0,0,146.6,160,0,53.4,1888,1959
0,0,0,165.6,180,0,18.0,1896,1968
0,0,0,180.9,200,0,42.9,1937,1990
0,0,0,176.8,220,0,45.0,1854,1939
0,0,0,184.7,240,0,24.2,1751,1893
0,0,0,195.6,260,0,21.4,1715,1840
0,0,0,203.8,280,0,21.3,1706,1814
0,0,0,213.6,300,0,11.7,1678,1787
0,0,0,215.1,320,0,29.4,1639,1740
0,0,0,216.5,340,0,62.0,1571,1674
0,0,0,230.6,360,0,42.2,1644,1736
0,0,0,243.8,380,0,40.3,1605,1692
0,0,0,244.2,400,0,41.8,1626,1695
0,0,0,261.9,420,0,44.5,1612,1690
0,0,0,258.9,440,0,63.2,1548,1633
0,0,0,317.9,460,0,41.4,1621,1701
0,0,0,303.9,480,0,72.8,1546,1615
0,0,0,288.4,500,0,63.1,1576,1639
0,0,0,282.9,520,0,164.1,1279,1370
0,0,0,220.8,540,0,194.8,1061,1168
0,0,0,269.4,560,0,145.4,1274,1357
0,0,0,290.9,580,0,151.9,1215,1293
0,0,0,319.4,600,0,116.7,1309,1384
0,0,0,294.7,620,0,183.6,1145,1253
0,0,0,280.2,640,0,184.6,1041,1165
0,0,0,248.8,660,0,245.2,926,1010
0,0,0,254.7,680,0,259.0,896,1009
0,0,0,253.2,700,0,252.2,876,985
0,0,0,252.7,720,0,250.8,821,960
0,0,0,247.6,740,0,255.6,788,919
0,0,0,230.2,760,0,262.4,702,837
0,0,0,239.4,780,0,289.7,701,853
0,0,0,199.9,800,0,333.2,580,707
0,0,0,99.6,820,0,293.6,185,345
0,0,0,196.5,840,0,351.3,441,670
0,0,0,167.6,860,0,386.5,377,559
0,0,0,182.8,880,0,384.5,399,601
0,0,0,221.9,900,0,321.1,518,722
0,0,0,189.5,920,0,373.9,381,606
0,0,0,169.0,940,0,382.8,344,533
0,0,0,201.3,960,0,361.9,394,622
0,0,0,178.4,980,0,373.7,337,548
0,0,0,159.4,1000,0,431.2,265,481
