Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,3.1,2000,2000
0,0,0,40.0,40,0,7.7,2000,2000
0,0,0,59.7,60,0,56.1,1926,1991
0,0,0,78.2,80,0,17.7,1844,1956
0,0,0,97.9,100,0,19.3,1992,2000
0,0,0,119.5,120,0,19.9,1945,1993
0,0,0,136.5,140,0,26.7,1945,1950
0,0,0,159.9,160,0,14.9,1996,2000
0,0,0,180.0,180,0,8.8,1999,2000
0,0,0,199.8,200,0,14.0,1991,2000
0,0,0,203.5,220,0,22.6,1988,1999
0,0,0,226.5,240,0,21.3,1974,1995
0,0,0,236.8,260,0,16.8,1946,1990
0,0,0,247.6,280,0,13.8,1924,1972
0,0,0,257.5,300,0,19.7,1906,1958
0,0,0,288.2,320,0,12.6,1896,1951
0,0,0,296.5,340,0,20.2,1905,1942
0,0,0,304.8,360,0,21.0,1899,1945
0,0,0,318.9,380,0,23.4,1891,1932
0,0,0,325.9,400,0,30.6,1876,1920
0,0,0,324.8,420,0,69.0,1801,1847
0,0,0,336.3,440,0,47.2,1819,1868
0,0,0,318.7,460,0,89.4,1656,1701
0,0,0,312.3,480,0,61.5,1760,1806
0,0,0,326.5,500,0,118.3,1578,1641
0,0,0,318.9,520,0,143.9,1496,1545
0,0,0,304.4,540,0,186.4,1358,1431
0,0,0,308.3,560,0,189.7,1303,1404
0,0,0,333.4,580,0,134.1,1413,1489
0,0,0,311.6,600,0,158.9,1268,1349
0,0,0,316.2,620,0,162.9,1222,1332
0,0,0,144.6,640,0,247.1,476,600
0,0,0,277.3,660,0,185.0,1007,1127
0,0,0,308.0,680,0,192.8,1090,1218
0,0,0,265.9,700,0,251.0,864,1028
0,0,0,280.8,720,0,233.5,930,1066
0,0,0,236.3,740,0,296.4,661,876
0,0,0,269.7,760,0,285.5,821,979
0,0,0,83.6,780,0,181.4,168,300
0,0,0,237.0,800,0,316.5,614,833
0,0,0,203.9,820,0,344.9,468,707
0,0,0,211.1,840,0,344.4,481,720
0,0,0,201.6,860,0,355.9,472,671
0,0,0,196.0,880,0,366.5,429,647
0,0,0,210.8,900,0,320.1,475,680
0,0,0,192.7,920,0,395.7,362,616
0,0,0,197.3,940,0,354.2,396,620
0,0,0,171.7,960,0,430.9,298,533
0,0,0,202.8,980,0,364.1,405,623
0,0,0,209.9,1000,0,356.8,399,635
