Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,20.0,1.0,21.0,19.0,19.0,3.0,2000,20.0,13.0,0,19.0,47.0,21.0,1.0,0,20.0,14.0,20.0,9.0,0,2000,4.0,19.0,20,20.0
1.0,0,45.0,1.0,216.0,39.0,39.0,14.3,2000,41.0,91.0,0,40.0,800.0,46.0,3.0,0,45.0,150.0,40.0,40.0,0,2000,5.0,39.0,40,42.0
3.0,0,63.0,1.0,970.0,58.0,59.0,35.1,1989,60.0,15.0,0,59.0,999.0,64.0,4.0,0,63.0,913.0,58.0,7.0,0,1845,4.0,56.0,60,63.0
3.0,0,81.0,2.0,392.0,79.0,79.0,12.5,1982,80.0,15.0,0,79.0,975.0,82.0,4.0,0,81.0,148.0,79.3,9.0,0,1929,5.0,79.0,80,80.0
4.0,0,109.0,3.0,448.0,99.0,99.0,14.6,2000,101.0,27.0,0,100.0,787.0,110.0,6.0,0,109.0,188.0,99.5,10.0,0,1992,7.0,99.0,100,102.0
5.0,0,122.0,3.0,186.0,119.0,120.0,11.0,2000,121.0,16.0,0,120.0,790.0,123.0,6.0,0,122.0,96.0,117.2,10.0,0,1985,7.0,118.0,120,122.0
6.0,0,145.0,4.0,226.0,141.0,141.0,14.1,2000,144.0,37.0,0,143.0,950.0,146.0,8.0,0,145.0,128.0,139.9,14.0,0,1998,9.0,139.0,140,145.0
6.0,0,164.0,4.0,287.0,159.0,161.0,13.6,2000,162.0,21.0,0,161.0,899.0,165.0,8.0,0,164.0,98.0,160.0,14.0,0,1997,9.0,158.0,160,164.0
6.0,0,187.0,4.0,155.0,179.0,179.0,12.4,2000,181.0,17.0,0,179.0,917.0,188.0,8.0,0,187.0,75.0,168.4,12.0,0,1996,9.0,179.0,180,187.0
7.0,0,206.0,5.0,773.0,198.0,199.0,24.9,2000,200.0,19.0,0,199.0,978.0,207.0,8.0,0,206.0,488.0,196.2,13.0,0,1992,9.0,197.0,200,206.0
8.0,0,222.0,6.0,916.0,219.0,219.0,29.5,1999,222.0,27.0,0,220.0,980.0,223.0,10.0,0,222.0,572.0,201.8,18.0,0,1982,12.0,216.0,220,222.0
9.0,0,240.0,7.0,416.0,235.0,235.0,19.6,1990,240.0,24.0,0,235.0,993.0,241.0,11.0,0,240.0,77.0,228.6,18.0,0,1952,13.0,233.0,240,240.0
11.0,0,255.0,8.0,44.0,248.0,248.0,16.2,1969,255.0,26.0,0,255.0,906.0,256.0,12.0,0,255.0,36.0,239.4,20.0,0,1917,15.0,246.0,260,255.0
12.0,0,275.0,9.0,69.0,272.0,273.0,19.1,1958,275.0,34.0,0,273.0,983.0,276.0,14.0,0,275.0,56.0,257.6,23.0,0,1917,16.0,271.0,280,275.0
17.0,0,291.0,13.0,64.0,285.0,290.0,19.2,1954,291.0,44.0,0,290.0,952.0,292.0,21.0,0,291.0,56.0,251.8,34.0,0,1891,24.0,284.0,300,291.0
21.0,0,307.0,15.0,263.0,306.0,307.0,25.2,1938,307.0,71.0,0,307.0,601.0,308.0,27.0,0,307.0,96.0,250.1,49.0,0,1869,32.0,306.0,320,307.0
26.0,0,322.0,16.0,100.0,314.0,319.0,26.5,1918,322.0,76.0,0,319.0,311.0,323.0,33.0,0,322.0,92.0,271.6,61.0,0,1868,40.0,311.0,340,322.0
47.0,0,360.0,29.0,305.0,331.0,336.0,44.7,1869,360.0,116.0,0,336.0,998.0,361.0,57.0,0,360.0,263.0,266.8,80.0,0,1817,63.0,325.0,360,360.0
57.0,0,414.0,43.0,279.0,343.0,347.0,50.7,1869,414.0,109.0,0,347.0,503.0,415.0,64.0,0,414.0,242.0,263.3,86.0,0,1828,69.0,329.0,380,414.0
66.0,0,388.0,53.0,532.0,377.0,377.0,76.2,1806,388.0,288.0,0,377.0,989.0,389.0,75.0,0,388.0,358.0,313.3,135.0,0,1749,83.0,344.0,400,388.0
76.0,0,430.0,59.0,640.0,317.0,317.0,92.0,1706,430.0,324.0,0,317.0,985.0,431.0,88.0,0,430.0,547.0,320.7,264.0,0,1647,102.0,303.0,420,430.0
113.0,0,396.0,80.0,709.0,326.0,326.0,141.6,1545,396.0,521.0,0,326.0,989.0,397.0,161.0,0,396.0,655.0,287.2,329.0,0,1486,222.0,269.0,440,396.0
84.0,0,430.0,70.0,610.0,366.0,366.0,110.5,1658,430.0,336.0,0,366.0,986.0,431.0,96.0,0,430.0,545.0,310.1,285.0,0,1620,109.0,334.0,460,430.0
95.0,0,433.0,79.0,746.0,359.0,359.0,140.8,1562,433.0,406.0,0,359.0,1000.0,434.0,121.0,0,433.0,639.0,301.8,327.0,0,1495,263.0,308.0,480,433.0
136.0,0,379.0,97.0,728.0,320.0,320.0,168.0,1462,379.0,525.0,0,379.0,811.0,380.0,285.0,0,379.0,685.0,293.0,350.0,0,1385,302.0,312.0,500,379.0
182.0,0,382.0,115.0,835.0,321.0,321.0,205.9,1259,382.0,647.0,0,321.0,921.0,383.0,316.0,0,382.0,809.0,250.9,397.0,0,1160,335.0,235.0,520,382.0
154.0,0,340.0,109.0,821.0,300.0,300.0,198.9,1323,340.0,691.0,0,340.0,997.0,341.0,311.0,0,340.0,763.0,281.4,392.0,0,1229,331.0,296.0,540,340.0
300.0,0,294.0,139.0,853.0,242.0,242.0,243.5,1116,294.0,752.0,0,294.0,998.0,295.0,348.0,0,294.0,810.0,244.2,590.0,0,1011,369.0,236.0,560,294.0
301.0,0,296.0,127.0,819.0,280.0,280.0,232.3,1118,296.0,738.0,0,280.0,964.0,297.0,336.0,0,296.0,790.0,214.7,559.0,0,994,354.0,214.0,580,296.0
316.0,0,283.0,128.0,874.0,263.0,263.0,249.5,1143,283.0,764.0,0,283.0,914.0,284.0,348.0,0,283.0,846.0,251.8,619.0,0,1015,366.0,236.0,600,283.0
257.0,0,331.0,119.0,843.0,321.0,321.0,215.6,1184,331.0,718.0,0,331.0,977.0,332.0,322.0,0,331.0,806.0,280.4,404.0,0,1076,342.0,253.0,620,331.0
327.0,0,257.0,142.0,876.0,227.0,227.0,254.8,980,257.0,787.0,0,257.0,938.0,258.0,361.0,0,257.0,849.0,235.7,600.0,0,828,379.0,220.0,640,257.0
366.0,0,221.0,177.0,904.0,195.0,195.0,312.1,857,221.0,826.0,0,221.0,974.0,222.0,397.0,0,221.0,889.0,211.5,774.0,0,693,422.0,177.0,660,221.0
365.0,0,222.0,188.0,943.0,186.0,222.0,312.9,817,222.0,841.0,0,222.0,1002.0,223.0,398.0,0,222.0,884.0,205.9,764.0,0,645,418.0,186.0,680,222.0
339.0,0,248.0,163.0,914.0,241.0,248.0,268.0,950,248.0,813.0,0,248.0,993.0,249.0,370.0,0,248.0,873.0,244.7,578.0,0,773,395.0,241.0,700,248.0
344.0,0,255.0,171.0,928.0,222.0,255.0,292.8,860,255.0,819.0,0,255.0,998.0,256.0,383.0,0,255.0,865.0,226.1,742.0,0,696,410.0,222.0,720,255.0
368.0,0,204.0,182.0,906.0,200.0,204.0,308.1,783,204.0,840.0,0,204.0,949.0,205.0,404.0,0,204.0,889.0,211.2,705.0,0,589,426.0,200.0,740,204.0
360.0,0,209.0,183.0,934.0,193.0,209.0,298.0,776,209.0,811.0,0,209.0,1000.0,210.0,394.0,0,209.0,889.0,212.1,691.0,0,568,425.0,193.0,760,209.0
393.0,0,194.0,199.0,949.0,184.0,194.0,326.9,755,194.0,857.0,0,194.0,992.0,195.0,420.0,0,194.0,918.0,210.1,775.0,0,546,437.0,184.0,780,194.0
410.0,0,147.0,224.0,958.0,143.0,147.0,363.3,629,147.0,903.0,0,147.0,963.0,148.0,450.0,0,147.0,936.0,178.5,851.0,0,434,606.0,143.0,800,147.0
404.0,0,167.0,213.0,944.0,155.0,167.0,352.4,648,167.0,875.0,0,167.0,998.0,168.0,459.0,0,167.0,916.0,186.7,829.0,0,448,593.0,155.0,820,167.0
408.0,0,161.0,251.0,944.0,156.0,161.0,354.8,623,161.0,862.0,0,161.0,980.0,162.0,455.0,0,161.0,913.0,183.4,765.0,0,408,478.0,156.0,840,161.0
411.0,0,176.0,256.0,976.0,131.0,176.0,364.6,654,176.0,902.0,0,176.0,994.0,177.0,456.0,0,176.0,967.0,195.8,822.0,0,421,512.0,131.0,860,176.0
401.0,0,142.0,224.0,933.0,138.0,142.0,345.2,647,142.0,864.0,0,142.0,949.0,143.0,463.0,0,142.0,907.0,197.7,809.0,0,415,579.0,138.0,880,142.0
454.0,0,148.0,402.0,985.0,108.0,148.0,421.1,575,148.0,926.0,0,148.0,995.0,149.0,510.0,0,148.0,974.0,178.7,871.0,0,366,672.0,108.0,900,148.0
408.0,0,164.0,250.0,987.0,102.0,102.0,374.7,502,164.0,919.0,0,164.0,997.0,165.0,452.0,0,164.0,973.0,120.7,879.0,0,295,498.0,26.0,920,164.0
338.0,0,185.0,246.0,933.0,120.0,185.0,308.2,600,185.0,819.0,0,185.0,969.0,186.0,419.0,0,185.0,909.0,190.4,673.0,0,376,452.0,120.0,940,185.0
420.0,0,128.0,275.0,947.0,116.0,128.0,376.7,527,128.0,887.0,0,128.0,975.0,129.0,465.0,0,128.0,933.0,169.1,835.0,0,308,504.0,116.0,960,128.0
436.0,0,158.0,356.0,983.0,104.0,158.0,392.7,552,158.0,827.0,0,158.0,995.0,159.0,497.0,0,158.0,966.0,170.1,782.0,0,318,627.0,104.0,980,158.0
45.0,0,994.0,36.0,538.0,635.0,994.0,65.9,1750,994.0,278.0,0,994.0,995.0,995.0,52.0,0,994.0,309.0,444.2,131.0,0,1686,61.0,635.0,1000,994.0
