Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
1.0,0,25.0,1.0,8.0,19.0,19.0,2.7,2000,20.0,3.0,0,19.0,531.0,26.0,1.0,0,20.0,5.0,20.0,1.0,0,2000,1.0,19.0,20,20.0
1.0,0,39.0,1.0,15.0,39.0,39.0,8.6,1996,39.0,6.0,0,39.0,994.0,40.0,1.0,0,39.0,9.0,38.5,4.0,0,1963,1.0,39.0,40,39.0
2.0,0,60.0,1.0,13.0,59.0,59.0,5.0,1979,59.0,8.0,0,59.0,997.0,61.0,4.0,0,60.0,11.0,56.2,6.0,0,1954,4.0,59.0,60,59.0
3.0,0,80.0,1.0,15.0,79.0,79.0,5.5,1977,79.0,8.0,0,79.0,960.0,81.0,4.0,0,80.0,12.0,74.8,7.0,0,1940,5.0,79.0,80,80.0
4.0,0,101.0,2.0,16.0,99.0,99.0,7.6,1977,99.0,10.0,0,99.0,991.0,102.0,5.0,0,101.0,13.0,90.6,8.0,0,1944,6.0,99.0,100,100.0
4.0,0,121.0,2.0,17.0,119.0,119.0,8.6,1987,120.0,11.0,0,119.0,1000.0,122.0,5.0,0,121.0,14.0,114.2,8.0,0,1975,6.0,119.0,120,121.0
5.0,0,141.0,3.0,16.0,139.0,139.0,6.6,1988,140.0,11.0,0,140.0,997.0,142.0,6.0,0,141.0,15.0,122.9,8.0,0,1961,7.0,138.0,140,141.0
11.0,0,205.0,6.0,729.0,156.0,158.0,65.9,1797,161.0,398.0,0,160.0,995.0,206.0,21.0,0,205.0,660.0,125.5,245.0,0,1754,48.0,149.0,160,205.0
6.0,0,182.0,4.0,21.0,179.0,179.0,9.0,1993,180.0,14.0,0,180.0,991.0,183.0,7.0,0,182.0,17.0,155.4,11.0,0,1987,8.0,177.0,180,182.0
7.0,0,202.0,5.0,23.0,198.0,200.0,9.8,1977,201.0,15.0,0,200.0,957.0,203.0,8.0,0,202.0,19.0,165.0,12.0,0,1949,9.0,197.0,200,202.0
7.0,0,221.0,5.0,21.0,219.0,220.0,8.2,1976,221.0,15.0,0,220.0,1000.0,222.0,8.0,0,221.0,19.0,178.7,12.0,0,1941,9.0,216.0,220,221.0
7.0,0,245.0,5.0,20.0,237.0,239.0,7.8,1977,241.0,15.0,0,239.0,996.0,246.0,8.0,0,245.0,18.0,196.2,12.0,0,1949,9.0,233.0,240,245.0
7.0,0,263.0,5.0,24.0,259.0,259.0,7.0,1956,263.0,17.0,0,261.0,59.0,264.0,8.0,0,263.0,22.0,217.5,13.0,0,1925,9.0,254.0,260,263.0
8.0,0,283.0,7.0,23.0,279.0,279.0,7.9,1952,283.0,17.0,0,280.0,37.0,284.0,10.0,0,283.0,21.0,239.8,14.0,0,1931,11.0,273.0,280,283.0
10.0,0,298.0,7.0,70.0,298.0,298.0,11.6,1941,298.0,39.0,0,298.0,88.0,299.0,12.0,0,298.0,64.0,232.6,20.0,0,1910,14.0,291.0,300,298.0
45.0,0,345.0,21.0,284.0,302.0,325.0,40.7,1899,345.0,126.0,0,325.0,539.0,346.0,61.0,0,345.0,233.0,262.1,91.0,0,1873,70.0,299.0,320,345.0
14.0,0,334.0,9.0,426.0,332.0,334.0,28.0,1847,334.0,104.0,0,334.0,965.0,335.0,18.0,0,334.0,314.0,237.8,35.0,0,1814,22.0,319.0,340,334.0
