Response time 66%,Response status 4xx,Response rate 99%,Response time 50%,Response time 99%,Response rate 66%,Response rate 75%,Response time,Number of requests,Response rate 90%,Response time 95%,Response status 1xx,Response rate 80%,Response time 100%,Response rate 100%,Response time 75%,Response status 3xx,Response rate 98%,Response time 98%,Request rate,Response time 90%,Response status 5xx,Response status 2xx,Response time 80%,Response rate 50%,Rate,Response rate 95%
2.0,0,20.0,1.0,156.0,19.0,19.0,10.8,2000,20.0,41.0,0,19.0,891.0,21.0,8.0,0,20.0,94.0,20.0,27.0,0,1998,13.0,19.0,20,20.0
3.0,0,50.0,1.0,952.0,42.0,43.0,110.4,1999,46.0,761.0,0,43.0,999.0,51.0,8.0,0,50.0,893.0,40.0,538.0,0,1979,86.0,39.0,40,47.0
3.0,0,61.0,1.0,990.0,54.0,56.0,52.6,1926,59.0,494.0,0,58.0,1000.0,62.0,4.0,0,61.0,965.0,57.5,10.0,0,1725,5.0,49.0,60,61.0
4.0,0,85.0,2.0,901.0,77.0,78.0,35.5,1963,82.0,296.0,0,79.0,999.0,86.0,5.0,0,85.0,642.0,78.3,10.0,0,1834,6.0,75.0,80,84.0
4.0,0,104.0,2.0,574.0,100.0,101.0,23.4,2000,103.0,67.0,0,102.0,925.0,105.0,6.0,0,104.0,416.0,100.0,11.0,0,1976,7.0,99.0,100,104.0
5.0,0,123.0,3.0,374.0,120.0,120.0,16.2,2000,121.0,52.0,0,120.0,825.0,124.0,7.0,0,123.0,234.0,118.9,12.0,0,2000,7.0,119.0,120,123.0
5.0,0,142.0,4.0,163.0,139.0,141.0,10.6,2000,141.0,24.0,0,141.0,715.0,143.0,7.0,0,142.0,107.0,140.0,12.0,0,1994,8.0,139.0,140,142.0
7.0,0,176.0,4.0,250.0,159.0,160.0,15.9,1997,161.0,53.0,0,161.0,987.0,177.0,9.0,0,176.0,171.0,159.7,21.0,0,1988,11.0,157.0,160,176.0
6.0,0,187.0,4.0,507.0,178.0,181.0,16.6,2000,182.0,18.0,0,181.0,969.0,188.0,8.0,0,187.0,204.0,180.0,13.0,0,1995,9.0,178.0,180,187.0
7.0,0,203.0,5.0,772.0,200.0,201.0,19.6,1995,201.0,16.0,0,201.0,995.0,204.0,8.0,0,203.0,72.0,199.4,13.0,0,1966,9.0,198.0,200,203.0
8.0,0,223.0,6.0,485.0,218.0,219.0,19.4,1988,223.0,22.0,0,220.0,937.0,224.0,9.0,0,223.0,212.0,218.2,15.0,0,1968,11.0,218.0,220,223.0
9.0,0,241.0,7.0,364.0,235.0,235.0,17.9,1976,241.0,20.0,0,239.0,967.0,242.0,11.0,0,241.0,55.0,237.0,16.0,0,1953,12.0,234.0,240,241.0
11.0,0,257.0,8.0,663.0,254.0,256.0,23.8,1978,257.0,26.0,0,256.0,999.0,258.0,14.0,0,257.0,287.0,257.0,20.0,0,1939,15.0,254.0,260,257.0
14.0,0,285.0,10.0,507.0,269.0,284.0,26.0,1970,285.0,57.0,0,284.0,962.0,286.0,18.0,0,285.0,273.0,275.5,32.0,0,1940,21.0,268.0,280,285.0
15.0,0,302.0,11.0,45.0,280.0,285.0,14.6,1955,302.0,33.0,0,285.0,873.0,303.0,18.0,0,302.0,40.0,292.8,26.0,0,1893,20.0,278.0,300,302.0
28.0,0,328.0,16.0,275.0,297.0,304.0,35.7,1925,328.0,86.0,0,304.0,1000.0,329.0,38.0,0,328.0,239.0,305.0,73.0,0,1883,47.0,294.0,320,328.0
31.0,0,317.0,19.0,129.0,307.0,316.0,31.8,1910,317.0,76.0,0,316.0,595.0,318.0,45.0,0,317.0,93.0,280.3,66.0,0,1860,52.0,306.0,340,317.0
83.0,0,338.0,63.0,579.0,293.0,295.0,88.0,1716,338.0,308.0,0,295.0,1000.0,339.0,102.0,0,338.0,393.0,283.0,159.0,0,1676,117.0,266.0,360,338.0
39.0,0,360.0,26.0,267.0,345.0,357.0,37.2,1882,360.0,77.0,0,357.0,539.0,361.0,47.0,0,360.0,119.0,300.7,67.0,0,1843,52.0,339.0,380,360.0
51.0,0,358.0,41.0,540.0,339.0,346.0,63.7,1651,358.0,235.0,0,346.0,996.0,359.0,58.0,0,358.0,322.0,253.9,99.0,0,1571,64.0,324.0,400,358.0
110.0,0,375.0,73.0,770.0,285.0,295.0,132.2,1561,375.0,422.0,0,295.0,996.0,376.0,143.0,0,375.0,678.0,252.3,345.0,0,1450,166.0,270.0,420,375.0
72.0,0,361.0,59.0,699.0,344.0,344.0,105.6,1587,361.0,368.0,0,344.0,988.0,362.0,84.0,0,361.0,647.0,280.6,293.0,0,1522,98.0,332.0,440,361.0
110.0,0,350.0,84.0,860.0,317.0,317.0,165.9,1498,350.0,636.0,0,317.0,989.0,351.0,216.0,0,350.0,766.0,281.5,355.0,0,1420,300.0,298.0,460,350.0
108.0,0,339.0,83.0,763.0,320.0,320.0,149.5,1482,339.0,555.0,0,320.0,989.0,340.0,132.0,0,339.0,685.0,287.0,335.0,0,1401,279.0,306.0,480,339.0
150.0,0,320.0,110.0,810.0,314.0,314.0,198.8,1342,320.0,736.0,0,320.0,985.0,321.0,298.0,0,320.0,786.0,268.5,559.0,0,1258,330.0,307.0,500,320.0
125.0,0,356.0,91.0,804.0,341.0,341.0,172.9,1411,356.0,590.0,0,356.0,979.0,357.0,289.0,0,356.0,731.0,291.7,361.0,0,1317,316.0,300.0,520,356.0
129.0,0,336.0,99.0,878.0,329.0,329.0,185.2,1296,336.0,611.0,0,336.0,985.0,337.0,292.0,0,336.0,783.0,274.8,390.0,0,1209,320.0,263.0,540,336.0
190.0,0,320.0,106.0,868.0,295.0,295.0,209.8,1259,320.0,708.0,0,320.0,1001.0,321.0,318.0,0,320.0,807.0,275.5,561.0,0,1144,338.0,266.0,560,320.0
307.0,0,298.0,133.0,880.0,269.0,269.0,236.6,1153,298.0,777.0,0,298.0,997.0,299.0,349.0,0,298.0,842.0,238.4,587.0,0,1007,372.0,260.0,580,298.0
315.0,0,285.0,130.0,820.0,260.0,260.0,238.0,1097,285.0,745.0,0,285.0,986.0,286.0,344.0,0,285.0,791.0,253.5,567.0,0,1004,360.0,253.0,600,285.0
338.0,0,246.0,145.0,877.0,236.0,236.0,266.1,1024,246.0,782.0,0,246.0,929.0,247.0,366.0,0,246.0,825.0,242.5,625.0,0,883,388.0,212.0,620,246.0
353.0,0,213.0,183.0,910.0,182.0,182.0,311.5,870,213.0,847.0,0,213.0,992.0,214.0,397.0,0,213.0,900.0,211.0,777.0,0,693,435.0,147.0,640,213.0
357.0,0,234.0,179.0,902.0,204.0,204.0,310.5,905,234.0,829.0,0,234.0,959.0,235.0,398.0,0,234.0,859.0,225.0,776.0,0,738,447.0,176.0,660,234.0
301.0,0,281.0,127.0,884.0,243.0,281.0,241.1,1000,281.0,709.0,0,281.0,996.0,282.0,336.0,0,281.0,799.0,253.9,596.0,0,868,360.0,243.0,680,281.0
346.0,0,291.0,163.0,854.0,207.0,291.0,291.3,867,291.0,770.0,0,291.0,1000.0,292.0,381.0,0,291.0,823.0,224.8,687.0,0,715,405.0,207.0,700,291.0
378.0,0,256.0,207.0,885.0,183.0,183.0,329.4,804,256.0,835.0,0,256.0,980.0,257.0,423.0,0,256.0,868.0,180.1,783.0,0,627,552.0,136.0,720,256.0
315.0,0,396.0,149.0,871.0,169.0,396.0,263.1,862,396.0,794.0,0,396.0,981.0,397.0,361.0,0,396.0,846.0,233.1,648.0,0,691,383.0,169.0,740,396.0
300.0,0,453.0,150.0,908.0,188.0,453.0,257.6,914,453.0,797.0,0,453.0,999.0,454.0,358.0,0,453.0,859.0,251.9,647.0,0,755,392.0,188.0,760,453.0
283.0,0,397.0,154.0,828.0,199.0,397.0,246.3,873,397.0,742.0,0,397.0,993.0,398.0,348.0,0,397.0,795.0,243.6,617.0,0,705,377.0,199.0,780,397.0
322.0,0,347.0,164.0,873.0,285.0,347.0,276.0,890,347.0,787.0,0,347.0,998.0,348.0,372.0,0,347.0,845.0,254.4,714.0,0,745,392.0,285.0,800,347.0
317.0,0,351.0,171.0,897.0,180.0,351.0,269.1,801,351.0,795.0,0,351.0,947.0,352.0,370.0,0,351.0,863.0,233.0,653.0,0,630,398.0,180.0,820,351.0
328.0,0,347.0,176.0,919.0,239.0,347.0,281.3,830,347.0,789.0,0,347.0,999.0,348.0,374.0,0,347.0,847.0,243.7,701.0,0,683,400.0,239.0,840,347.0
259.0,0,334.0,135.0,824.0,262.0,334.0,229.3,863,334.0,671.0,0,334.0,987.0,335.0,327.0,0,334.0,778.0,258.2,544.0,0,704,365.0,262.0,860,334.0
344.0,0,296.0,179.0,907.0,240.0,296.0,283.0,773,296.0,804.0,0,296.0,964.0,297.0,392.0,0,296.0,871.0,234.0,629.0,0,597,411.0,240.0,880,296.0
386.0,0,268.0,242.0,951.0,209.0,268.0,338.1,680,268.0,839.0,0,268.0,989.0,269.0,431.0,0,268.0,919.0,210.8,774.0,0,526,546.0,209.0,900,268.0
358.0,0,263.0,194.0,911.0,186.0,263.0,303.8,726,263.0,812.0,0,263.0,986.0,264.0,411.0,0,263.0,867.0,226.8,645.0,0,521,445.0,186.0,920,263.0
388.0,0,301.0,219.0,944.0,166.0,301.0,333.9,730,301.0,853.0,0,301.0,987.0,302.0,431.0,0,301.0,925.0,233.0,777.0,0,535,462.0,166.0,940,301.0
349.0,0,342.0,194.0,917.0,123.0,342.0,297.5,688,342.0,780.0,0,342.0,979.0,343.0,387.0,0,342.0,888.0,221.4,697.0,0,517,417.0,123.0,960,342.0
368.0,0,321.0,219.0,874.0,131.0,321.0,316.8,663,321.0,769.0,0,321.0,977.0,322.0,420.0,0,321.0,839.0,215.6,683.0,0,492,447.0,131.0,980,321.0
316.0,0,413.0,171.0,960.0,413.0,413.0,279.7,756,413.0,797.0,0,413.0,1000.0,414.0,371.0,0,413.0,898.0,252.1,616.0,0,627,389.0,34.0,1000,413.0
