10.3.120.2:InPkts,192.168.1.120:OutPkts,10.3.120.4:OutPkts,10.2.120.5:OutPkts,10.2.120.4:InBytes,10.3.120.5:OutPkts,10.3.120.5:InPkts,10.2.120.3:Conns,10.3.120.6:InPkts,10.3.120.2:Conns,192.168.1.120:InPkts,10.2.120.7:OutBytes,10.3.120.7:Conns,10.2.120.6:InBytes,10.2.120.2:InBytes,10.3.120.4:Conns,172.16.254.225:OutBytes,172.16.254.1:Conns,172.16.254.225:OutPkts,10.3.120.4:InPkts,172.16.254.225:InBytes,10.3.120.7:OutBytes,10.3.120.4:InBytes,172.16.254.225:Conns,10.2.120.3:OutPkts,10.3.120.6:Conns,10.2.120.5:InPkts,172.16.254.1:OutPkts,10.2.120.4:OutBytes,10.3.120.8:Conns,10.3.120.8:OutBytes,10.2.120.3:InBytes,10.2.120.3:InPkts,10.3.120.2:InBytes,10.2.120.6:OutBytes,10.3.120.7:InPkts,10.3.120.6:OutBytes,10.3.120.3:OutPkts,10.2.120.8:InPkts,10.2.120.8:InBytes,10.3.120.3:InBytes,192.168.1.120:InBytes,10.3.120.4:OutBytes,10.3.120.5:InBytes,10.2.120.4:InPkts,10.2.120.5:OutBytes,192.168.1.120:OutBytes,172.16.254.225:InPkts,10.2.120.7:OutPkts,10.3.120.3:InPkts,10.3.120.6:InBytes,172.16.254.1:OutBytes,10.3.120.5:OutBytes,10.2.120.7:InPkts,172.16.254.1:InBytes,10.2.120.6:OutPkts,10.3.120.2:OutPkts,10.2.120.6:Conns,10.3.120.7:OutPkts,10.2.120.8:Conns,10.3.120.2:OutBytes,10.2.120.5:InBytes,10.2.120.8:OutPkts,10.3.120.7:InBytes,10.2.120.2:OutBytes,10.2.120.4:Conns,10.2.120.2:InPkts,10.3.120.8:OutPkts,10.3.120.8:InBytes,10.2.120.6:InPkts,10.3.120.3:OutBytes,10.2.120.5:Conns,10.2.120.4:OutPkts,10.2.120.3:OutBytes,10.3.120.5:Conns,10.2.120.8:OutBytes,10.2.120.2:Conns,10.2.120.7:InBytes,172.16.254.1:InPkts,10.2.120.7:Conns,10.3.120.3:Conns,10.2.120.2:OutPkts,10.3.120.6:OutPkts,10.3.120.8:InPkts,192.168.1.120:Conns
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
