10.2.120.17:InBytes,192.168.1.120:OutPkts,10.2.120.13:Conns,10.2.120.14:InPkts,10.3.120.12:InBytes,10.3.120.17:OutPkts,10.2.120.11:Conns,172.16.254.252:InBytes,172.16.254.252:InPkts,192.168.1.120:InPkts,10.2.120.11:InPkts,10.3.120.12:OutBytes,10.3.120.10:InPkts,10.3.120.10:Conns,10.2.120.12:OutBytes,172.16.254.1:Conns,10.2.120.10:Conns,10.2.120.17:Conns,10.3.120.11:Conns,10.3.120.11:OutPkts,10.3.120.14:Conns,10.3.120.17:OutBytes,10.2.120.10:InBytes,10.3.120.13:OutPkts,172.16.254.1:OutPkts,10.2.120.13:InPkts,10.2.120.10:OutBytes,10.3.120.12:OutPkts,10.2.120.12:OutPkts,172.16.254.252:OutBytes,10.2.120.14:OutBytes,10.3.120.14:OutPkts,10.3.120.13:InPkts,10.2.120.14:InBytes,10.2.120.13:OutPkts,10.2.120.13:InBytes,10.2.120.10:InPkts,10.3.120.10:InBytes,10.3.120.15:OutBytes,10.3.120.15:InBytes,10.3.120.10:OutBytes,10.3.120.13:InBytes,192.168.1.120:InBytes,10.2.120.11:OutPkts,10.2.120.12:InBytes,10.2.120.17:OutBytes,192.168.1.120:OutBytes,10.3.120.14:OutBytes,10.3.120.11:OutBytes,172.16.254.1:OutBytes,10.3.120.11:InBytes,172.16.254.1:InBytes,10.2.120.11:OutBytes,10.3.120.10:OutPkts,10.2.120.12:InPkts,172.16.254.252:OutPkts,10.3.120.17:InBytes,10.2.120.17:InPkts,10.2.120.14:OutPkts,10.2.120.17:OutPkts,10.2.120.10:OutPkts,10.2.120.13:OutBytes,10.3.120.15:InPkts,10.3.120.13:OutBytes,10.3.120.14:InPkts,10.3.120.14:InBytes,10.3.120.15:Conns,10.3.120.13:Conns,10.2.120.14:Conns,10.3.120.12:Conns,10.2.120.12:Conns,172.16.254.252:Conns,10.3.120.17:Conns,10.3.120.11:InPkts,172.16.254.1:InPkts,10.3.120.15:OutPkts,10.3.120.12:InPkts,10.3.120.17:InPkts,10.2.120.11:InBytes,192.168.1.120:Conns
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
